name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
abbey	02667379	Abbey	=		Abbey	Q160742	Mx4rGphw-inAQdiM5KzBxwwzkw				a monastery ruled by an abbot	core
abdomen	05556943	Abdomen	=			Q1029907	Mx4rvVjgyZwpEbGdrcN5Y29ycA				the region of the body of a vertebrate between the thorax and the pelvis	core
aberration	11420139	RadiatingLight	+			Q186634					an optical phenomenon resulting from the failure of a lens or mirror to produce a good ima	core
ability	05200169	Attribute	+				Mx4rvh57iJwpEbGdrcN5Y29ycA				the quality of being able to perform; a quality that permits or facilitates achievement or	core
abortion	00230324	Destruction	+								termination of pregnancy	core
absence	01234345	Process	+								failure to be present	core
absorption	13423922	Wetting	+			Q332828					(chemistry) a process in which one substance permeates another; a fluid permeates or is di	core
abuse	06715223	Expressing	+								"a rude expression intended to offend or hurt; ""when a student made a stupid mistake he spa"	core
academic-degree	06697331	AcademicDegree	=		Academic_degree						an award conferred by a college or university signifying that the recipient has satisfacto	core
academy	02669885	EducationalOrganization	+		Academy	Q162633	Mx4rpo0ncHqGQdeOwLvZU0r7Hw				a learned establishment for the advancement of knowledge	core
accelerator	02670683	GasPedal	=			Q961356					"a pedal that controls the throttle valve; ""he stepped on the gas"""	core
access	05175467	NormativeAttribute	+			Q494852					the right to obtain or make use of or take advantage of something (as services or membersh	core
accident	07301336	Process	+		Accident	Q171558	Mx4rvViib5wpEbGdrcN5Y29ycA				an unfortunate mishap; especially one causing damage or injury	core
accomplishment	00035189	IntentionalProcess	=						accomplishment		the action of accomplishing something	core
account	13354985	FinancialText	+				Mx4rTXWNgDjCEd2AAADggVbxzQ				"a statement of recent transactions and the resulting balance; ""they send me an accounting "	core
accountant	09761403	Accountant	+			Q471066					someone who maintains and audits business accounts	core
accretion	13424865	Increasing	+								an increase by natural growth or addition	core
accusation	06730780	Stating	+								"an assertion that someone is guilty of a fault or offence; ""the newspaper published charge"	core
ace	09762509	Human	+			Q378907					someone who is dazzlingly skilled in any field	core
acid	14607521	ChemicalAcid	=		Acid	Q11158					any of various water-soluble compounds having a sour taste and capable of turning litmus r	core
acknowledgment	14411981	SubjectiveAssessmentAttribute	+				Mx4rvVkMQZwpEbGdrcN5Y29ycA				"the state or quality of being recognized or acknowledged; ""the partners were delighted wit"	core
acquaintance	09763784	SocialRole	+			Q28008277					"a person with whom you are acquainted; ""I have trouble remembering the names of all my acq"	core
acquired-knowledge	05984287	EducationalProcess	=								"knowledge acquired by learning and instruction; ""it was clear that he had a very broad edu"	core
acquisition	13253255	Getting	+				Mx4rg_O_VFaUQdiKWM5U7IxE6A				"something acquired; ""a recent acquisition by the museum"""	core
act	00030358	IntentionalProcess	=			Q421744					something that people do or cause to happen	core
act-of-play	07009640	PerformanceAct	=								a subdivision of a play or opera or ballet	core
action	06373513	Proposition	+	schema:Action		Q3678445	Mx4rvVioQZwpEbGdrcN5Y29ycA			Action	"the series of events that form a plot; ""his novels always have a lot of action"""	core
activeness	04635104	BiologicalAttribute	+								"the trait of being active; moving or acting rapidly and energetically; ""the level of activ"	core
activity	00407535	IntentionalProcess	=				Mx4rlgRwgoDjQ2Wo8XdS2_fXuw				"any specific behavior; ""they avoided all recreational activity"""	core
actor	09765278	Actor	=			Q33999	Mx4rvVjaHZwpEbGdrcN5Y29ycA				a theatrical performer	core
ad	07248801	Advertising	=			Q37038					a public promotion of some product or service	core
adaptation	06408779	Text	+			Q483921	Mx4rz8Y1HDAEQdieyelU0gk2PQ				"a written work (as a novel) that has been recast in a new form; ""the play is an adaptation"	core
addiction	14062725	DiseaseOrSyndrome	+			Q12029					being abnormally tolerant to and dependent on something that is psychologically or physica	core
addition	02679415	Putting	+			Q32043					"a component that is added to something to improve it; ""the addition of a bathroom was a ma"	core
address	08491027	PostalPlace	=				Mx4rkGMnxHtwEd2AAABQjYGu0g				the place where a person or organization can be found or communicated with	core
adeptness	05642175	PsychologicalAttribute	+								"skillful performance or ability without difficulty; ""his quick adeptness was a product of "	core
administrative-division	08220714	Organization	+								an administrative unit in government or business	core
administrator	09770949	Position	+								someone who administers a business	core
admiration	07500741	EmotionalState	+				Mx4rvViyC5wpEbGdrcN5Y29ycA				a feeling of delighted approval and liking	core
admission	07215948	Stating	+			Q904175	Mx4rvcBbxpwpEbGdrcN5Y29ycA				an acknowledgment of the truth of something	core
admonition	06672297	NormativeAttribute	+			Q4683829					cautionary advice about something imminent (especially imminent danger or other unpleasant	core
adolescent	09772029	Teenager	=			Q1492760					a juvenile between the onset of puberty and maturity	core
adoption	00180413	Getting	+			Q180472					"the act of accepting with approval; favorable reception; ""its adoption by society""; ""the p"	core
adult	09605289	HumanAdult	=			Q9584157	Mx4rwQBnMZwpEbGdrcN5Y29ycA				a fully developed person from maturity onward	core
advance	13375891	CreditAccount	+								an amount paid before it is earned	core
advancement	00249501	SubjectiveAssessmentAttribute	+			Q2351730					"gradual improvement or growth or development; ""advancement of knowledge""; ""great progress "	core
advantage	05142863	SubjectiveAssessmentAttribute	+								"benefit resulting from some event or action; ""it turned out to my advantage""; ""reaping the"	core
adventure	00796315	SubjectiveAssessmentAttribute	+			Q1436734					a wild and exciting undertaking (not necessarily lawful)	core
adversary	09773245	Human	+			Q12829182					someone who offers opposition	core
adversity	14475661	SubjectiveAssessmentAttribute	+								"a state of misfortune or affliction; ""debt-ridden farmers struggling with adversity""; ""a l"	core
advice	06671484	Requesting	=				Mx4rv16ko5wpEbGdrcN5Y29ycA				a proposal for an appropriate course of action	core
adviser	09774266	SocialRole	+								"an expert who gives advice; ""an adviser helped students select their courses""; ""the United"	core
advocate	09774783	Human	+			Q380075					a person who pleads for a cause or propounds an idea	core
affair	13931889	SocialInteraction	+								a usually secretive or illicit sexual relationship	core
affiliation	13930385	SocialInteraction	+								"a social or business relationship; ""a valuable financial affiliation""; ""he was sorry he ha"	core
affinity	04688648	SubjectiveAssessmentAttribute	+				Mx4rFhNT5DAIQdiT5uThdT9q3A				"a natural attraction or feeling of kinship; ""an affinity for politics""; ""the mysterious af"	core
affinity.relation	13811410	SocialInteraction	+								a close connection marked by community of interests or similarity in nature or character; 	core
affirmation	07203126	Stating	=				Mx4rBy_4XF3fEdaAAABQ2sS97g				the act of affirming or asserting or stating something	core
afternoon	15166191	Afternoon	=				Mx4rvViGOpwpEbGdrcN5Y29ycA				"the part of the day between noon and evening; ""he spent a quiet afternoon in the park"""	core
age	04924103	Attribute	+								"how long something has existed; ""it was replaced because of its age"""	core
agency	08057206	TravelAgencies	=			Q3951828					a business that serves other businesses	core
agenda	06485261	Text	+			Q4174106					a list of matters to be taken up (as at a meeting)	core
agent	00007347	AutonomousAgent	=			Q392648				Agent	any entity that produces an effect or is responsible for events or results	core
aggression	00964569	ViolentContest	+								violent action that is hostile and usually unprovoked	core
agitation	00554300	SubjectiveAssessmentAttribute	+								disturbance usually in protest	core
agony	07495551	EmotionalState	+				Mx4rhZjNsB62QdiECZQD_tmZAw				"intense feelings of suffering; acute mental or physical pain; ""an agony of doubt""; ""the to"	core
agreement	13971065	Cooperation	+								"harmony of people's opinions or actions or characters; ""the two parties were in agreement"""	core
aid	13265904	Funding	+			Q2827815					money to support a worthy person or cause	core
aids	14127782	AcquiredImmunoDeficiencySyndrome	=			Q12199	Mx4rwP1LGpwpEbGdrcN5Y29ycA				a serious (often fatal) disease of the immune system transmitted through blood products es	core
air	14841267	Air	=				Mx4rvVjADJwpEbGdrcN5Y29ycA				a mixture of gases (especially oxygen) required for breathing; the stuff that the wind con	core
aircraft	02686568	Aircraft	=		Aircraft	Q11436	Mx4rvViuUJwpEbGdrcN5Y29ycA				a vehicle that can fly	core
aircraft-wing	04592741	WingDevice	+			Q20078304					one of the horizontal airfoils on either side of the fuselage of an airplane	core
airline	02690081	Airline	=	schema:Airline	Airline	Q46970	Mx4rvViq7pwpEbGdrcN5Y29ycA				a commercial enterprise that provides scheduled flights for passengers	core
airplane	02691156	Airplane	=		Airplane	Q197	Mx4rvViCi5wpEbGdrcN5Y29ycA				"an aircraft that has a fixed wing and is powered by propellers or jets; ""the flight was de"	core
airport	02692232	Airport	=	schema:Airport	Airport	Q1248784					an airfield equipped with control tower and hangars as well as accommodations for passenge	core
aisle	02694045	LandTransitway	+			Q939723	Mx4rwP1KR5wpEbGdrcN5Y29ycA				part of a church divided laterally from the nave proper by rows of pillars or columns	core
alarm	02694426	SecurityAlarm	+								a device that signals the occurrence of some undesirable event	core
alarm-clock	02694662	AlarmClock	=			Q212758	Mx4r9gzS1MJsEdmAAACQJw5drg				a clock that wakes a sleeper at some preset time	core
album	02695079	Book	+			Q1173065					a book of blank pages with pockets or envelopes; for organizing photographs or stamp colle	core
alcohol	07884567	AlcoholicBeverage	+		Alcohol	Q154	Mx4rvVim-JwpEbGdrcN5Y29ycA				"a liquor or brew containing alcohol as the active agent; ""alcohol (or drink) ruined him"""	core
alimony	13283620	Giving	+								court-ordered support paid by one spouse to another after they are separated	core
alliance	13792183	Relation	+		Alliance	Q878249	Mx4r-GjensiWEdmAAAACs6hRjg				"a connection based on kinship or marriage or common interest; ""the shifting alliances with"	core
allotment	13289467	Entity	+				Mx4rrgDAIK6SQdiUL5E1hbfyaw				a share set aside for a specific purpose	core
allowance	13286254	Entity	+			Q2364815	Mx4r1wuYRkPeQdmNxIu5Qhs3SQ				"an amount allowed or granted (as during a given period); ""travel allowance""; ""my weekly al"	core
ally	08305942	Nation	+								a friendly nation	core
aloofness	07505871	PsychologicalAttribute	+								"indifference by personal withdrawal; ""emotional distance"""	core
altar	02699494	Artifact	+		Altar	Q101687	Mx4rvViUsJwpEbGdrcN5Y29ycA				a raised structure on which gifts or sacrifices to a god are made	core
altitude	05131647	AltitudeMeasure	=								"elevation especially above sea level or above the earth's surface; ""the altitude gave her "	core
aluminum	14627820	Aluminum	=			Q663					a silvery ductile metallic element found primarily in bauxite	core
alumnus	09786338	SocialRole	+			Q508719					a person who has received a degree from a school (high school or college or university)	core
amateur	09786585	SubjectiveAssessmentAttribute	=			Q455595	Mx8NhB4rwP1IC5wpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rsCN6vMCfEdmAAACQJw5drh4rHIBS0h_TEdaAAABQ2rksLw				someone who pursues a study or sport as a pastime	core
ambiance	14524849	SubjectiveAssessmentAttribute	=								"a particular environment or surrounding influence; ""there was an atmosphere of excitement"""	core
ambiguity	04825114	Attribute	+			Q1140419					unclearness by virtue of having more than one meaning	core
ambition	04836268	PsychologicalAttribute	+								a strong drive for success	core
ambulance	02701002	Ambulance	+			Q180481	Mx4rvViM0pwpEbGdrcN5Y29ycA				a vehicle that takes people to and from hospitals	core
amendment	06723635	Stating	+		Amendment		Mx4rxom0dBbwQdiPupwJcaCIdA				a statement that is added to or revises or improves a proposal or document (a bill or cons	core
amphetamine	02704153	Stimulant	+			Q179452	Mx4rwP1bk5wpEbGdrcN5Y29ycA				a central nervous system stimulant that increases energy and decreases appetite; used to t	core
amphibian	01627424	Amphibian	=			Q10908	Mx4rvVjgJJwpEbGdrcN5Y29ycA				cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae und	core
analogue	04746430	SubjectiveAssessmentAttribute	+								something having the property of being analogous to something else	core
analogy	05780339	Reasoning	+								an inference that if things agree in some respects they probably agree in others	core
analyst	09790278	Position	+				Mx4rvViq2JwpEbGdrcN5Y29ycA				a licensed practitioner of psychoanalysis	core
ancestor	09792555	BiologicalAttribute	+			Q402152					someone from whom you are descended (but usually more remote than a grandparent)	core
angel	09538915	Angel	=		Angel	Q235113	Mx4rwQBmFJwpEbGdrcN5Y29ycA				spiritual being attendant upon God	core
anger	07516354	Anger	=			Q79871	Mx4rvVjESJwpEbGdrcN5Y29ycA				a strong emotion; a feeling that is oriented toward some real or supposed grievance	core
angle	13887509	TwoDimensionalAngle	=			Q11352					the space between two lines or planes that intersect; the inclination of one line to anoth	core
animal	00015388	Animal	=			Q729					a living organism characterized by voluntary movement	core
animal-pack	07994941	GroupOfAnimals	+			Q1758639					a group of hunting animals	core
ankle	05578442	Ankle	+			Q168002	Mx4rvVi-R5wpEbGdrcN5Y29ycA				a gliding joint between the distal ends of the tibia and fibula and the proximal end of th	core
annex	02713594	Room	+				Mx4rly8RpiqlQdiS787W5uNgVg				an addition that extends a main building	core
anniversary	15249799	Day	+		Anniversary	Q1062856					the date on which an event occurred in some previous year (or the celebration of it)	core
annotation	06763273	Text	+			Q857525	Mx4rvVjSCJwpEbGdrcN5Y29ycA				"a comment or instruction (usually added); ""his notes were appended at the end of the artic"	core
announcement	06726158	Disseminating	+			Q1572600					"a formal public statement; ""the government made an announcement about changes in the drug "	core
answer	07200527	Answering	=	schema:Answer		Q1920566					the speech act of replying to a question	core
ant	02219486	AntInsect	+			Q7386	Mx4rvVjecpwpEbGdrcN5Y29ycA				social insect living in organized colonies; characteristically the males and fertile queen	core
anteroom	02715513	Room	+			Q240854					a large entrance or reception room or area	core
anticipation	07511080	EmotionalState	+			Q255266					an expectation	core
anxiety	14374432	Anxiety	=			Q154430					(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety 	core
apartment	02726305	ApartmentUnit	=	schema:Apartment	Apartment	Q188507	Mx4rvVixF5wpEbGdrcN5Y29ycA				a suite of rooms usually on one floor of an apartment house	core
apathy	07483622	PsychologicalAttribute	+			Q309406					an absence of emotion or enthusiasm	core
apology	06633363	Expressing	+			Q273668					"an expression of regret at having caused trouble for someone; ""he wrote a letter of apolog"	core
apparatus	02727825	Device	+			Q620681					equipment designed to serve a specific function	core
apparel	02728440	Clothing	+								"clothing in general; ""she was refined in her choice of apparel""; ""he always bought his clo"	core
appeal	04687333	SubjectiveAssessmentAttribute	+			Q329777					"attractiveness that interests or pleases or stimulates; ""his smile was part of his appeal "	core
appearance	04673965	SubjectiveAssessmentAttribute	+				Mx4rwJZJIZwpEbGdrcN5Y29ycA				outward or visible aspect of a person or thing	core
appendix	05537576	BodyPart	+			Q9656	Mx4rPXNN8iQNQdeZzd0BRieWGw				a vestigial process that extends from the lower end of the cecum and that resembles a smal	core
appetite	07485626	PsychologicalAttribute	+			Q28578	Mx4r0wITiCzsQdiQ-51ndcJW8w				"a feeling of craving something; ""an appetite for life""; ""the object of life is to satisfy "	core
apple	07739125	Apple	=			Q89	Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvVjBnZwpEbGdrcN5Y29ycA				fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	core
appliance	02729965	Device	+			Q339084					a device or control that is very useful for a particular job	core
applicant	09607280	SocialRole	+				Mx4rZisceCthQdiJGZT_4gMiZg				a person who requests or seeks something such as assistance or employment or admission	core
application	06570110	ComputerProgram	+			Q166142	Mx4rvViM8ZwpEbGdrcN5Y29ycA				a program that gives a computer instructions that provide the user with tools to accomplis	core
appointment	00586105	Declaring	+				Mx4rvVieKpwpEbGdrcN5Y29ycA				"the job to which you are (or hope to be) appointed; ""he applied for an appointment in the "	core
appraisal	05733583	Comparing	+				Mx4rvWotk5wpEbGdrcN5Y29ycA				the classification of someone or something with respect to its worth	core
appraisal-report	06528783	Certificate	+				Mx4rwOD_GpwpEbGdrcN5Y29ycA				a document appraising the value of something (as for insurance or taxation)	core
aquarium	02732072	FishTank	=	schema:Aquarium	Aquarium	Q45782					a tank or pool or bowl filled with water for keeping live fish and underwater animals	core
arachnid	01769347	Arachnid	=			Q1358	Mx4rvVifK5wpEbGdrcN5Y29ycA				air-breathing arthropods characterized by simple eyes and four pairs of legs	core
arch	02734217	StationaryArtifact	+		Arch	Q12277	Mx4rero7lCTVQdeAWbti1baqSw				"a passageway under a curved masonry construction; ""they built a triumphal arch to memorial"	core
architect	09805475	Designer	=			Q42973	Mx4rwQxF25wpEbGdrcN5Y29ycA				someone who creates plans to be used in making something (such as buildings)	core
architecture	06123363	Architecture	=		Architecture	Q12271	Mx8Ngh4rwQrxJ5wpEbGdrcN5Y29ycB4rvVjNP5wpEbGdrcN5Y29ycA				the discipline dealing with the principles of design and construction and ornamentation of	core
archive	02735086	EducationalOrganization	+			Q166118	Mx8Ngh4rwP1_U5wpEbGdrcN5Y29ycB4rvVj2rJwpEbGdrcN5Y29ycA				a depository containing historical records and documents	core
ardor	07481375	EmotionalState	+								"feelings of great warmth and intensity; ""he spoke with great ardor"""	core
arena	08497107	StationaryArtifact	+		Arena						the central area of an ancient Roman amphitheater where contests and spectacles were held;	core
argument	07140978	Debating	=		Argument	Q179875					"a discussion in which reasons are advanced for and against some proposition or proposal; """	core
argumentation	05773049	Reasoning	+								a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process 	core
arm	05563770	Arm	=			Q43471	Mx4rvVjp5ZwpEbGdrcN5Y29ycA				a human limb; technically the part of the superior limb between the shoulder and the elbow	core
armchair	02738535	Chair	+				Mx4rvVii15wpEbGdrcN5Y29ycA				chair with a support on each side for arms	core
army	08191230	Army	+		Army						a permanent organization of the military land forces of a nation or state	core
