# offset	name	cpc	note — GENERATED by tools/align_cpc.py from the UN CPC 2.1 goods sections (0-4, 53); do not edit (sense picks in cpc-picks.tsv, hand names in names.tsv). An empty name is a synset core already has: the code is CPC's witness for it; a named row is a good or material core lacked. UPPER.md §12.
07802417		011	core: grain — cpc 011 cereals
07803545		0111	core: wheat-berry — cpc 0111 wheat
12143676	maize	0112	cpc 0112 maize (corn): maize — tall annual cereal grass bearing kernels on large ears: widely cultivated in America in ma
07804323		0113	core: rice — cpc 0113 rice
12137120	sorghum	0114	cpc 0114 sorghum: sorghum — economically important Old World tropical cereal grass
07803093		0115	core: barley — cpc 0115 barley
12157179	rye.cpc	0116	cpc 0116 rye: rye — the seed of the cereal grass
07804152	oat	0117	cpc 0117 oats: oats — seed of the annual grass Avena sativa (spoken of primarily in the plural as `oats')
07802963		0118	core: millet — cpc 0118 millet
07803310		01192	core: buckwheat — cpc 01192 buckwheat
07719213		01211	core: asparagus — cpc 01211 asparagus
07713895		01212	core: cabbage — cpc 01212 cabbages
07715103		01213	core: cauliflower — cpc 01213 cauliflowers and broccoli
07714990		01213	core: broccoli — cpc 01213 cauliflowers and broccoli
07723559		01214	core: lettuce — cpc 01214 lettuce and chicory
07730855		01214	core: chicory — cpc 01214 lettuce and chicory
07736692		01215	core: spinach — cpc 01215 spinach
07718747		01216	core: artichoke — cpc 01216 artichokes
07755411		0122	core: melon — cpc 0122 melons
07756951	watermelon	01221	cpc 01221 watermelons: watermelons — large oblong or roundish melon with a hard green rind and sweet watery red or occasionally
07755929	cantaloup	01229	cpc 01229 cantaloupes and other melons: cantaloupes — the fruit of a cantaloup vine
07721456	chili	01231	cpc 01231 chillies and peppers, green (<i>capsicum</i> spp. : chillies — very hot and finely tapering pepper of special pungency
07720442		01231	core: capsicum-pepper — cpc 01231 chillies and peppers, green (<i>capsicum</i> spp. and <i>pim
07718472		01232	core: cucumber — cpc 01232 cucumbers and gherkins
07718671	gherkin	01232	cpc 01232 cucumbers and gherkins: gherkins — small prickly cucumber
07713074		01233	core: eggplant — cpc 01233 eggplants (aubergines)
07734017		01234	core: tomato — cpc 01234 tomatoes
07735510		01235	core: pumpkin — cpc 01235 pumpkins, squash and gourds
07715561	squash	01235	cpc 01235 pumpkins, squash and gourds: squash — edible fruit of a squash plant
