# offset-or-name	reason — concepts left out of the pack on review (Peter, 2026-09-02)
# synonym pairs: one word kept, the other dropped so filers converge on one name
aim	synonym of goal (kept)
emotional-state	synonym of emotion (kept)
assembly	synonym of meeting (kept)
contest.act	synonym of competition (kept)
convention	synonym of conference (kept)
dialogue.communication	synonym of conversation (kept)
farewell	synonym of departure (kept)
embarrassment	synonym of shame (kept)
employment.act	synonym of occupation (kept)
sense.communication	synonym of meaning (kept)
monetary-value	synonym of worth (kept)
mercantile-establishment	synonym of shop (kept)
platform	synonym of stage (kept)
soul	close synonym of spirit (kept)
landscape	folded into region
vicinity	folded into region
site	folded into region
frustration.feeling	folded into anger
flight-of-stairs	not needed
# not worth a node (decision 6)
08253268	the people at a dance: not a category anyone files under (ball.group)
09864536	not needed (bomber.person)
09900981	not needed (catch.person)
06842660	punctuation marks are out of scope (colon.communication)
10060904	not needed (green.person)
06692238	not needed (hand.communication)
01103614	not needed (issue.act)
03599628	job-as-workplace: not needed (job.artifact)
06642356	near-synonym of news (news.communication)
01062817	not needed (pause.act)
06891022	near-synonym; the act sense (presentation.communication)
01241997	not needed (rehabilitation.act)
08277393	near-synonym of school (school.group)
04384199	not needed (tail.artifact)
08425303	not needed (traffic.group)
08286163	near-synonym of university (university.group)
03234306	near-synonym of drawing (drawing.artifact)
00322634	the forceful-insertion sense; the medical one takes the word (injection)
08630039	core region moves to the larger synset 08630985; this narrower one folds in
# not shipped (found in entry batch 1)
02083672	slur under the plain word; Core WordNet lists it for frequency (bitch)
09982873	slur; not a category (cunt)
06634376	near-duplicate of information (the 'message received and understood' synset) (info)
08565506	mythical place (eden)
# not shipped (entry batch 4)
09879144	slang for policeman (bull)
10021892	an abbreviation, not a category name (dr.)
# decision 7 casualties
05707718	the intuition sense of feeling; the affective sense takes the word
00809465	possession as the act of possessing; the owned-things sense takes the word
13956488	unusable name (the-true)
# unit nouns: spellings owned by the unit registry (length(1mi) is the concept), never categories
13726562	unit noun; registry spelling (calorie)
13650045	unit noun; registry spelling (ft)
13619764	unit noun; registry spelling (gallon)
13649791	unit noun; registry spelling (inch)
13720096	unit noun; registry spelling (lb)
13721529	unit noun; registry spelling (short-ton)
13608788	unit noun; registry spelling (weight-unit)
13650447	unit noun; registry spelling (yard.quantity)
13714184	unit noun; registry spelling (degree.quantity)
# dimension heads: the prelude owns these names; the pack connects at kind level instead (extra-edges.tsv)
04571292	prelude dimension head (weight)
05133107	prelude dimension head (length)
05128519	prelude dimension head (area)
04990220	prelude dimension head (volume)
05011790	prelude dimension head (temperature)
05035961	prelude dimension head (energy)
05098942	prelude dimension head (size)
15133621	prelude dimension head (duration)
15282696	prelude dimension head (speed)
05724475	prelude dimension head (pressure)
# currency denominations: synonyms of the fiat pack's unit spellings (dollar = USD); one owner, the registry
13395897	currency denomination = unit spelling (dollar)
13390626	currency denomination = unit spelling (penny)
13390244	currency denomination = unit spelling (quarter-coin)
05026843	prelude dimension head (weight, the force sense)
05051249	prelude dimension head (duration, second synset)
05930736	shape as perceptual structure; the attribute sense takes the word
05809878	world as one's experience; the plain word means the Earth
# decision 6 pass 2: near-duplicates and non-categories
14002279	near-synonym of equilibrium (balance.state)
05784831	near-synonym of deliberation (consideration.cognition)
03655838	slang for a defective product (lemon)
00172710	near-synonym of method (means.act)
13920169	not a category (medium.state)
07565083	the dishes of a meal; not a category (menu.food)
14578471	near-synonym of motivation (motivation.state)
05836921	near-synonym of preoccupation (preoccupation.cognition)
04756172	near-synonym of probability (probability.attribute)
05091194	near-synonym of magnitude (proportion.attribute)
13815742	near-synonym of ratio (proportion.relation)
14539960	near-synonym of safety (protection.state)
05710573	not a category (remark.cognition)
04981658	not a category (ring.attribute)
00623862	trouble as inconvenient effort (trouble)
05687338	a source of difficulty; not a category (trouble.cognition)
