# offset	name	note — everyday goods a marketplace needs that the Google Product Taxonomy has no node for; hand list 2026-09-03, read by align.py like names.tsv
00458890	video-game	a game played against a computer
00502415	board-game	a game played on a specially designed board
02674482	paracetamol	an analgesic for mild pain but not for inflammation
02707683	painkiller	a medicine used to relieve pain
02720725	antihistamine	a medicine used to treat allergies and hypersensitive reactions and co
02748618	aspirin	the acetylated derivative of salicylic acid
02790669	barbecue-grill	a rack to hold meat for cooking over hot charcoal usually out of doors
02799323	baseball-cap	a cap with a bill
02807616	bathrobe	a loose-fitting robe of towelling
02816768	beanie	a small skullcap
02831237	beret	a cap with no brim or bill
02837789	bikini	a woman's very brief bathing suit
02850358	blazer	lightweight single-breasted jacket
02871439	bookshelf	a shelf on which to keep books
02883205	bow-tie	a man's tie that ties in a bow
02890662	brake-pad	one of the pads that apply friction to both sides of the brake disk
02920259	bunk-bed	beds built one above the other
02942349	camcorder	a portable television camera and videocassette recorder
02961225	car-battery	a lead-acid storage battery in a motor vehicle
02963159	cardigan	knitted jacket that is fastened up the front with buttons or a zipper
02978753	casserole-dish	large deep dish in which food can be cooked and served
03025755	chopsticks	one of a pair of slender sticks used as oriental tableware to eat food
03079230	cd	a digitally encoded recording on an optical disk that is smaller than 
03101796	baking-tray	a cooking utensil consisting of a flat rectangular metal sheet used fo
03594734	jeans	(usually plural) close-fitting trousers of heavy denim for manual work or casual wear
03201208	dining-table	a table at which meals are served
03245889	drone-aircraft	an aircraft without a pilot that is operated by remote control
03255030	dumbbell	an exercising weight
03266749	duvet	a soft quilt usually filled with the down of the eider
03297495	espresso-maker	a coffee maker that forces live steam under pressure through dark roas
03349469	first-aid-kit	kit consisting of a set of bandages and medicines for giving first aid
03378174	food-processor	a kitchen appliance with interchangeable blades
03454885	grater	utensil with sharp perforations for shredding foods (as vegetables or 
03472535	sneaker	a canvas shoe with a pliable rubber sole
03475581	hairbrush	a brush used to groom a person's hair
03492542	hard-disk	a rigid magnetic disk mounted permanently in a drive unit
03556281	ibuprofen	a nonsteroidal anti-inflammatory and analgesic medicine (trade names A
03655072	leggings	a garment covering the leg (usually extending from the knee to the ank
03655295	lego	(trademark) a child's plastic construction set for making mechanical m
03680355	loafer	a low leather step-in shoe
03775199	kitchen-mixer	a kitchen utensil that is used for mixing foods
03791053	motor-scooter	a wheeled vehicle with small wheels and a low-powered gasoline engine 
03874599	padlock	a detachable lock
03876231	paintbrush	a brush used as an applicator (to apply paint)
03877472	pajama	(usually plural) loose-fitting nightclothes worn for sleeping or loung
03885028	panty	short underpants for women or children (usually used in the plural)
03904909	peeler	a device for peeling vegetables or fruits
03978966	polo-shirt	a shirt with short sleeves designed for comfort and casual wear
04049405	raincoat	a water-resistant coat
04135315	sanitary-napkin	a disposable absorbent pad (trade name Kotex)
04148054	scissors	an edge tool having two crossed pivoting blades
04241394	slipper	low footwear that can be slipped on and off easily
04323819	stocking	close-fitting hosiery to cover the foot and leg
04356595	sunhat	a hat with a broad brim that protects the face from direct exposure to
04367746	swab	implement consisting of a small piece of cotton that is used to apply 
04370456	sweatshirt	cotton knit pullover with long sleeves worn during athletic activity
04390577	tank-top	a tight-fitting sleeveless shirt with wide shoulder straps and low nec
04399382	teddy-bear	plaything consisting of a child's toy bear (usually plush and stuffed 
04421872	thermometer	measuring instrument for measuring temperature
04434932	tights	skintight knit hose covering the body from the waist to the feet worn 
04467099	trailer	a wheeled vehicle that can be pulled by a car or truck and is equipped
04506289	ukulele	a small guitar having four strings
04508489	underpants	an undergarment that covers the body from the waist no further than to
04520382	caravan	a camper equipped with living quarters
04590746	windshield-wiper	a mechanical device that cleans the windshield
04592099	wine-glass	a glass that has a stem and in which wine is served
04607869	wristwatch	a watch that is worn strapped to the wrist
06259297	sticky-note	brand name for a slip of notepaper that has an adhesive that allows it
06816106	sheet-music	a musical composition in printed or written form
07607967	cough-drop	a medicated lozenge used to soothe the throat
07645469	fryer	flesh of a medium-sized young chicken suitable for frying
07668702	pork	meat from a domestic hog or pig
07674508	olive-oil	oil from olives
07699584	noodle	a ribbonlike strip of pasta
07711080	chips	strips of potato fried in deep fat
07780627	tuna	important warm-water fatty fish of the genus Thunnus of the family Sco
07794159	shrimp	any of various edible decapod crustaceans
07805731	pet-food	food prepared for animal pets
07874995	oatmeal	porridge made of rolled oats
07936745	mineral-water	water naturally or artificially impregnated with mineral salts or gass
12454159	tulip	any of numerous perennial bulbous herbs having linear or broadly lance
14778019	antacid	an agent that counteracts or neutralizes acidity (especially in the st
02766534	stroller	a small vehicle with four wheels in which a baby or child is pushed around
