# offset	name	note — hand-chosen names for concepts whose word is taken by another sense
# Claude's drafts 2026-09-02 (decision 6, option B)
07301336	accident	an unfortunate mishap; especially one causing dama
07009640	act-of-play	a subdivision of a play or opera or ballet
07238694	formal-address	the act of delivering a formal spoken communicatio
01185292	child-adoption	a legal proceeding that creates a parent-child rel
06399337	book-appendix	supplementary material that is collected and appen
06512580	formal-application	a verbal or written request for assistance or empl
06528783	appraisal-report	a document appraising the value of something (as f
08049401	member-association	a formal organization of people or groups of peopl
01220619	verbal-attack	strong criticism; "he published an unexpected atta
06615561	public-attraction	an entertainment that is offered to the public
06260518	frequency-band	a range of frequencies between two limits
08249038	music-band	instrumentalists not including string players
02790154	horizontal-bar	a horizontal rod that serves as a support for gymn
02819474	garden-bed	a plot of ground in which plants are growing; "the
06892534	benefit-performance	a performance to raise money for a charitable caus
08322981	board-of-directors	a committee having supervisory powers; "the board 
02870092	book-copy	physical objects consisting of a number of pages b
02932400	log-cabin	a small house built of wood; usually in a wooded a
02954938	bottle-cap	a top (as for a bottle)
08518505	capital-city	a seat of government
08523483	central-area	an area that is approximately central within some 
09241247	water-channel	a deep and relatively narrow body of water (as in 
08055824	charitable-organization	an institution set up to provide help to the needy
08238463	school-class	a body of students who are taught together; "early
08374049	settler-colony	a body of people who settle far from home but main
06770875	contract-condition	(usually plural) a statement of what is required a
07279285	communicative-contact	a communicative interaction; "the pilot made conta
03178782	decorative-design	a decorative or artistic work; "the coach had a de
07557434	prepared-dish	a particular item of prepared food; "she prepared 
08213205	army-division	an army unit large enough to sustain combat; "two 
08220714	administrative-division	an administrative unit in government or business
03239726	drill-tool	a tool with a sharp point and cutting edges for ma
07362386	free-fall	a free and rapid descent by the force of gravity; 
06783598	cost-estimate	a statement indicating the likely cost of some job
07134706	heated-exchange	a mutual expression of views (especially an unplea
07232421	explaining	the act of explaining; making something plain or i
13134947	botanical-fruit	the ripened reproductive body of a seed plant
00430606	pastime-game	an amusement or pastime; "they played word games";
14881303	glass-material	a brittle transparent solid with irregular atomic 
00187337	scored-goal	a successful attempt at scoring; "the winning goal
03442756	goalposts	game equipment consisting of the place toward whic
03478907	assembly-hall	a large room for gatherings or entertainment; "lec
07956887	card-hand	the cards held in a card game by a given player at
06491786	book-index	an alphabetical listing of names and topics along 
00697365	injection	the act of putting a liquid into the body by means
06414849	introductory-text	a basic or elementary instructional text
08414807	competition-jury	a committee appointed to judge a competition
06492188	legend-key	a list of words or phrases that explain symbols or
07655505	leg-of-meat	the limb of an animal used for food
07012534	line-of-text	text consisting of a row of words written across a
07470671	match	a formal contest in which two or more persons or t
03768346	ore-mine	excavation in the earth from which ores and minera
00166172	game-move	(game) a player's turn to take some action permitt
03816394	indicator-needle	a slender pointer for indicating the reading on th
06415419	notebook	a book with blank pages for recording notes or mem
01095966	business-operation	a business especially one run on a large scale; "a
07994941	animal-pack	a group of hunting animals
06400271	text-passage	a section of text; particularly a section of mediu
00550771	performing	the act of presenting a play or a piece of music o
07000065	tracking-chart	a chart or map showing the movements or progress o
08620881	geographic-pole	one of two antipodal points where the Earth's axis
03990474	cooking-pot	metal or earthenware cooking vessel that is usuall
07006951	stage-production	a presentation for the stage or screen or radio or
06647614	formal-proof	a formal series of statements showing that if one 
07930554	punch-drink	an iced mixed drink usually containing alcohol and
13390244	quarter-coin	a United States or Canadian coin worth one fourth 
06756267	price-quotation	a statement of the current market price of a secur
08254331	reception-party	a formal party of people; as after a wedding
13403643	transaction-record	a document that can serve as legal evidence of a t
06597758	review-periodical	a periodical that publishes critical essays on cur
01117541	selling	the general activity of selling; "they tried to bo
04151581	screen-netting	a protective covering consisting of netting; can b
06855985	seal-stamp	a stamp affixed to a document (as to attest to its
04161981	seat	furniture that is designed for sitting on; "there 
08568256	surroundings	the context and environment in which something is 
11683556	nutshell	the hard usually fibrous outer layer of some fruit
06646243	telltale-sign	a perceptible indication of something not immediat
14589223	chemical-solution	a homogeneous mixture of two or more substances; f
13910384	empty-space	an empty area (usually bounded in some way between
08439955	staff	personnel who assist their superior in carrying ou
00977301	military-strike	an attack that is intended to seize or inflict dam
04359589	support-device	any device that bears the weight of another thing;
04371774	playground-swing	mechanical device used as a plaything to support s
06558678	traffic-ticket	a summons issued to an offender (especially to som
08663156	tip-end	the extreme end of something; especially something
06346461	section-title	a general or descriptive heading for a section of 
07173585	version-of-events	an interpretation of a matter from a particular vi
08672397	city-ward	a district into which a city or town is divided fo
04592741	aircraft-wing	one of the horizontal airfoils on either side of t
00892413	training-workshop	a brief intensive course for a small group; emphas
06586098	computer-worm	a software program capable of reproducing itself t
# swaps: the old bare sense renamed so the qualified sense can take the word
07300960	chance-event	anything that happens suddenly or by chance withou
03728437	matchstick	lighter consisting of a thin piece of wood or card
03832673	notebook-computer	a small compact portable computer
08647616	seating-place	a space reserved for sitting (as in a theater or o
07267160	staff-rod	a rod carried as a symbol
# more swaps after seeing the bare glosses
06730563	claim	an assertion that something is true (takes the word)
01061945	rightful-claim	demand for something as rightful or due
06646243	sign	a perceptible indication (takes the word)
06876144	sign-language-sign	a gesture in a sign language
03768346	mine	excavation for ores (takes the word)
03768132	landmine	explosive device
08049401	association	formal organization (takes the word)
05763916	mental-association	bringing ideas together in memory
# ===== Peter, 2026-09-02 — decision 7: new branches attribute, state, feeling, possession; body-part; the physical process
00024264	attribute	an abstraction belonging to or characteristic of an entity (new root)
00024720	state	the way something is with respect to its main attributes (takes the word)
08654360	constituent-state	the territory of one constituent administrative district of a nation
00026192	feeling	the experiencing of affective and emotional states (takes the word)
00032613	possession	anything owned or possessed (new root)
05220461	body-part	any part of an organism such as an organ or extremity
00029677	process	a sustained phenomenon or one marked by gradual changes (takes the word)
01023820	procedure	a particular course of action intended to achieve a result (takes the word)
01023636	legal-procedure	a mode of conducting legal and parliamentary proceedings
# the prelude owns the name `dimension` (registry kind root); WordNet's sense is renamed
05093581	spatial-extent	the magnitude of something in a particular direction
06413666	book-volume	a publication that is one of a set; the plain word is the prelude head
00023271	cognition	the psychological result of perception and learning and reasoning (new root)
00027807	shape	the spatial arrangement of something (takes the word)
13125117	plant-root	the underground organ of a plant; `root` reads as the DAG root
05874232	scientific-principle	a rule or law concerning a natural phenomenon (core name that escaped the naming pass)
# ===== decision 6 pass 2 (2026-09-02, late): the 106 field-suffixed names that escaped the first pass
09763784	acquaintance	a person with whom you are acquainted; "I have tro
09770472	government-administrator	someone who manages a government agency or departm
09777353	representative-agent	a representative who acts on behalf of other perso
14486122	hopeful-anticipation	anticipating with confidence of fulfillment
09824609	authorities	(usually plural) persons who exercise (administrat
14478433	insolvency	inability to discharge all your debts as they come
13901211	barrel-shape	a bulging cylindrical shape; hollow with flat ends
02798574	stand-base	a flat bottom on which something is intended to si
13897837	geometric-base	the bottom side of a geometric figure from which t
02880308	ribbon-bow	a decorative interlacing of ribbons
08006094	bracket-category	a category falling within certain defined limits
09876701	religious-brother	(Roman Catholic Church) a title given to a monk an
13353607	capital	wealth in the form of money or property owned by a
06627006	greeting-card	a rectangular piece of stiff paper used to send me
08057816	chain-of-stores	(business) a number of similar establishments (sto
13932948	challenging-situation	a demanding or stimulating situation; "they reacte
13387479	small-change	money received in return for its equivalent in a l
14438693	good-repute	good repute; "he is a man of character"
06999802	data-chart	a visual display of information
03053788	club-card	a playing card in the minor suit that has one or m
07504841	sympathetic-concern	a feeling of sympathy for someone or something; "S
13920835	condition	a state at a particular time; "a condition (or sta
14821043	electrical-conductor	a substance that readily conducts e.g. electricity
13929852	trust-relationship	a trustful relationship; "he took me into his conf
13980845	conflict	a state of opposition between persons or ideas or 
09956147	influential-contact	(usually plural) a person who is influential and t
07847198	cream	the part of milk containing the butterfat
13378518	credit	money available for a client to borrow
06194409	culture	the attitudes and behavior that are characteristic
13289159	share-of-profits	a share of the profits; "everyone got a cut of the
05094565	severity	the seriousness of something (e.g., a burn or crim
05728678	arrangement-scheme	an arrangement scheme; "the awkward design of the 
13469674	course-drift	the gradual departure from an intended course due 
04835724	motivational-drive	the trait of being highly motivated; "his drive an
05158857	competitive-edge	a slight competitive advantage; "he had an edge on
05984287	acquired-knowledge	knowledge acquired by learning and instruction; "i
14477877	failure	lack of success; "he felt that his entire life had
05849789	feature	a prominent attribute or aspect of something; "the
07775375	fish-meat	the flesh of fish used as food; "in Japan most fis
11460488	weather-front	(meteorology) the atmospheric phenomenon created a
05149325	intended-use	what something is used for; "the function of an au
08438067	vegetation-growth	vegetation that has grown; "a growth of trees"; "t
14234074	tissue-growth	(pathology) an abnormal proliferation of tissue (a
10150071	guard	a person who keeps watch over something or someone
13923779	health-condition	the general condition of body and mind; "his delic
13865904	heart-shape	a plane figure with rounded sides curving inward a
08583095	hemisphere	half of the terrestrial globe
08163025	legislative-house	an official assembly having legislative powers; "a
03618219	king-card	one of the four playing cards in a deck bearing th
05157143	competitive-lead	an advantage held by a competitor in a race; "he t
07749582	lemon	yellow oval fruit with juicy acidic flesh
08430203	line-formation	a formation of people or things one behind another
06364641	literary-works	creative writing of recognized artistic value
13327676	lost-item	something that is lost; "the car was a total loss"
14947807	marble	a hard crystalline metamorphic rock that takes a h
05935060	memory	something that is remembered; "search as he would,
05029137	momentum	the product of a body's mass and its velocity; "th
13250542	monetary-wealth	wealth reckoned in terms of money; "all his money 
12997919	mushroom	any of various fleshy fungi of the subdivision Bas
05581693	fingernail	horny plate covering and protecting part of the do
14438788	good-name	a person's reputation; "he wanted to protect his g
06782019	opinion	a message expressing a belief about something; the
13241600	purchase-option	the right to buy or sell property at an agreed pri
07747607	orange	round yellow to orange fruit of any of several cit
05297523	organ	a fully differentiated structural and functional u
14974264	paper	a material made of cellulose pulp derived mainly f
13970236	peacetime	the state prevailing during the absence of war
07967982	racial-group	people who are believed to belong to the same gene
08625073	right-side	location near or direction toward the right side; 
04092959	boxing-ring	a platform usually marked off by ropes in which co
13257982	royalty-payment	payment to the holder of a patent or copyright or 
05846054	rule	a principle or condition that customarily governs 
06788897	game-rule	directions that define the way a game or sport is 
13328073	financial-sacrifice	a loss entailed by giving up or selling something 
04182514	mine-shaft	a long vertical passage sunk into the earth, as fo
04190464	artillery-shell	ammunition consisting of a cylindrical metal casin
05548840	shoulder	the part of the body between the neck and the uppe
08510666	side	a surface forming part of the outside of an object
13898899	sphere	a three-dimensional closed surface such that every
13881644	star-shape	a plane figure with 5 or more points; often used a
13333833	share-capital	the capital raised by a corporation through the is
04335209	roadway	the part of a thoroughfare between the sidewalks; 
05602683	temple-of-head	the flat area on either side of the forehead; "the
05282746	tooth	hard bonelike structures in the jaws of vertebrate
07289014	trouble	an event causing distress or pain; "what is the tr
05923983	ideal-value	an ideal accepted by some individual or group; "he
10767020	legal-ward	a person who is under the protection or in the cus
07944050	young-people	young people collectively; "rock music appeals to 
# bare senses that lose the word to the more-filed sense
05817145	personal-knowledge	personal knowledge or information about someone or
06824227	capital-letter	one of the large alphabetic characters used as the
06755568	precondition	an assumption on which rests the validity or effec
04714679	scheduling-conflict	an incompatibility of dates or events; "he noticed
03128519	skin-cream	toiletry consisting of any of various substances i
00065855	course-credit	recognition by a college or university that a cour
00920510	cell-culture	(biology) the growing of microorganisms in a nutri
10273064	unsuccessful-person	a person with a record of failing; someone who los
05601758	facial-feature	the characteristic parts of a person's face: eyes 
08215603	guard-unit	a military unit serving to protect some place or p
05476915	cerebral-hemisphere	either half of the cerebrum
03507048	heart-card	a playing card in the major suit that has one or m
03618101	chess-king	(chess) the weakest but the most important piece
03671272	railway-line	the road consisting of railroad track and roadbed
03721047	toy-marble	a small ball of glass that is used in various game
03744276	computer-memory	an electronic memory device; "a memory and the CPU
05035820	impetus	an impelling force or strength; "the car's momentu
13001041	edible-mushroom	common name for an edible agaric (contrasting with
06551784	judicial-opinion	the legal document stating the reasons for a judic
04965179	orange-colour	orange color or pigment; any of a range of colors 
03854065	pipe-organ	wind instrument whose sound is produced by means o
06269956	scholarly-paper	a scholarly article describing the results of obse
04118776	ruler	measuring stick consisting of a strip of wood or m
04206948	road-shoulder	a narrow edge of land (usually unpaved) along the 
06783265	opposing-view	an opinion that is held in opposition to another i
08653570	sphere-of-influence	the geographical area in which one nation is very 
04453037	gear-tooth	one of a number of uniform projections on a gear
08381820	government-cabinet	persons appointed by a head of state to head departments (placed by Wikidata + WordNet)
14643467	lead-metal	the element (WordNet's lemma is `pb`; core's `lead` is the leadership position)
02481629	genus-pan	the chimpanzee genus; `pan` is a cooking vessel to everyone else
