# offset	name	cpc	note — the services layer (2026-09-07, core v7): WordNet act synsets a marketplace trades as services, selected against the UN CPC 2.1 service sections (the code is CPC's witness for `X ⊑ service` and for the layer's structure; empty when CPC has no node). Read by align.py like names.tsv; the cpc column by tools/align.py read_cpc_map. UPPER.md §11.
# --- personal care and beauty
00261797	beauty-treatment	972	enhancement of someone's personal beauty
00257228	hairdressing	97210	care for the hair: washing, cutting, curling, arranging
00254769	shaving	97210	the act of removing hair with a razor (the barber's)
00660783	manicure	97220	professional care for the hands and fingernails
00660957	pedicure	97220	professional care for the feet and toenails
00665781	facial	97220	care for the face: cleansing, massage, cosmetics
00665679	skin-care	97220	care for the skin
00660570	makeover	97290	an overall beauty treatment
00659048	massage	97230	kneading and rubbing parts of the body
00263353	tattooing	97290	the practice of making a design on the skin
# --- health and care
00657604	medical-care	9312	professional treatment for illness or injury
00656292	dental-care	93123	care for the teeth
00665079	nursing	93192	the work of caring for the sick or injured or infirm
00665476	personal-care	934	care for someone who is disabled or otherwise unable to care for themselves
00656524	first-aid		emergency care given before regular medical aid can be obtained
00142361	checkup		a thorough physical examination (⊑ medical-care by ruling; CPC has no node finer than medical services)
01059900	health-care	93	preserving health by preventing or treating illness through services
01209963	childcare	9351	a service involving care for other people's children
01210439	daycare	93510	childcare during the day while parents work
00655727	babysitting	9351	the work of a baby sitter
00655878	pet-sitting		the work of a pet sitter
00921530	tree-surgery	85970	treatment of damaged or decaying trees
# --- cleaning and domestic work
00251013	cleaning	853	the act of making something clean
00580370	housecleaning	85330	cleaning the rooms and furnishings of a house
00252169	dry-cleaning	97120	cleaning fabrics with a solvent other than water
00578708	laundering	971	washing clothes and bed linens
00581090	ironing	97140	smoothing washed clothes with heat
00254415	sanitation	945	making something sanitary
00251520	pest-control	85310	the activity of getting rid of vermin (WordNet: disinfestation)
00580961	housework	98000	the work of cleaning and running a house
# --- repair, maintenance, installation, trades
00266806	repair	87	the act of putting something in working order again
00268557	restoration		the act of restoring something to a satisfactory state
00267917	car-care	87141	keeping a car in good working order
00240938	installation	873	the act of installing something (as equipment)
00199707	alteration	87230	making something different (as the size of a garment)
01120348	upholstery	87240	the craft of upholstering
00618436	tailoring	882	the occupation of a tailor
00608162	dressmaking	882	the craft of making dresses
01104637	construction	54	the commercial activity of repairing old structures or constructing new ones
00609669	plumbing-work	54621	the occupation of a plumber (core's plumbing is the pipes)
00607775	carpentry	54760	the craft of a carpenter
00608896	masonry-work	54560	the craft of a mason (core's masonry is the stonework)
00617989	roofing-work	54530	the craft of a roofer (core's roofing is the material)
00609236	house-painting	54730	the occupation of a house painter
00608265	electrical-work	5461	the craft of an electrician
00714806	wiring	54611	installing the wires for an electrical system
00921160	landscaping	85970	working as a landscape gardener
00918383	gardening		the cultivation of plants (landscaping's WordNet hypernym)
00608354	interior-design	83911	planning the layout and furnishings of an interior
# --- transport, logistics, hospitality
01210816	accommodation	631	the act of providing lodging or seat or food to meet a need
01104324	catering	63391	providing food and services
01111375	rental	73	the act of paying for the use of something (apartment, house, car)
00811661	storage	672	the commercial enterprise of storing goods and materials
01103788	packaging	854	the business of packing
# --- education and training
00889294	tutoring	92919	teaching pupils individually (WordNet: tutelage, tuition)
00889760	music-lesson		a lesson in performing music
00889883	piano-lesson		a lesson in playing the piano
00270800	coaching	92912	the job of a professional coach
# --- professional and business
00577749	consulting	8311	service provided by a professional advisor (WordNet: consulting service)
00618734	accounting	82221	maintaining and auditing records and preparing financial reports
00619230	bookkeeping	82222	recording business transactions
00632104	law-practice	821	the practice of law
01101329	advertising	8361	the business of drawing public attention to goods and services
01101958	publishing	8911	the business of issuing printed matter
01103159	printing	89121	the business of producing printed material
00928947	programming	83141	creating a sequence of instructions for a computer
01210547	help-desk	85939	a service providing information and assistance to users of a computer network
00823316	security	852	measures taken as a precaution against theft or espionage or sabotage
00730538	guard-duty	85250	the duty of serving as a sentry
01263711	recruitment	851	enlisting people for a job or a cause
00039990	job-placement	85112	contact established between applicants and prospective employers (WordNet: placement)
# --- utilities and waste
00579334	utility-service	69	the service (electric power, water, transportation) provided by a public utility (core's utility is the facility)
00091893	sewage-disposal	94110	the disposal of sewage
01015843	trash-collection	9423	the collection and removal of garbage (computing owns garbage-collection)
00948868	recycling	894	processing used materials for use in new products
# --- death care, public and social
01120259	funeral-directing	97320	the trade of a funeral director (WordNet: undertaking; core's undertaking is the piece of work)
00378880	cremation	97310	the incineration of a dead body
01210281	public-service	91	a service performed for the benefit of the public or its institutions
00582195	social-service	935	organized activity to improve the condition of disadvantaged people
