name	issue	gloss
account	ambiguous in yago: ['Chronicle', 'History']	
achievement	ambiguous in dolce: ['accomplishment', 'achievement']	
affair	ambiguous in yago: ['Matter', 'Thing']	
airport	ambiguous in yago: ['Aerodrome', 'Airport']	
alcohol	ambiguous in yago: ['Alcohol', 'Alcoholic_drink']	
brand	ambiguous in yago: ['Brand', 'Trade_name']	
buffet	ambiguous in yago: ['Buffet', 'Sideboard']	
cake	ambiguous in yago: ['Bar', 'Cake']	
car	ambiguous in yago: ['Car', 'Machine']	
castle	ambiguous in yago: ['Castle', 'Palace']	
cemetery	ambiguous in yago: ['Cemetery', 'Necropolis']	
certificate	ambiguous in schemaorg: ['schema:Certification', 'schema:Credential']	
church	ambiguous in yago: ['Christian_Church', 'Church']	
city	ambiguous in yago: ['City', 'Metropolis']	
coalition	ambiguous in yago: ['Alliance', 'Coalition']	
coffin	ambiguous in yago: ['Casket', 'Coffin']	
cottage	ambiguous in yago: ['Bungalow', 'Cottage']	
country	ambiguous in schemaorg: ['schema:Country', 'schema:State']	
country	ambiguous in yago: ['Country', 'Land', 'Nation', 'State']	
course	ambiguous in schemaorg: ['schema:Class', 'schema:Course']	
court	ambiguous in yago: ['Court', 'Tribunal']	
craft	ambiguous in yago: ['Craft', 'Trade']	
credit-card	ambiguous in yago: ['Credit_card', 'Plastic']	
culture	ambiguous in yago: ['Civilization', 'Culture']	
debate	ambiguous in yago: ['Argument', 'Debate']	
dialect	ambiguous in yago: ['Dialect', 'Idiom']	
dictionary	ambiguous in yago: ['Dictionary', 'Lexicon']	
district	ambiguous in yago: ['District', 'Territory']	
drama	ambiguous in yago: ['Drama', 'Play']	
drop	ambiguous in yago: ['Bead', 'Pearl']	
economy	ambiguous in yago: ['Economic_system', 'Economy']	
education	ambiguous in yago: ['Education', 'Pedagogy']	
effect	ambiguous in yago: ['Event', 'Result']	
fair	ambiguous in yago: ['Carnival', 'Fair']	
faith	ambiguous in yago: ['Religion', 'Religious_belief']	
family	ambiguous in yago: ['Family', 'Home', 'House']	
flavour	ambiguous in yago: ['Feeling', 'Spirit']	
flood	ambiguous in yago: ['Flood', 'Inundation']	
forest	ambiguous in yago: ['Forest', 'Wood']	
god	ambiguous in yago: ['Deity', 'God']	
government	ambiguous in yago: ['Government', 'Regime']	
grade	ambiguous in schemaorg: ['schema:Class', 'schema:Course']	
graphics	ambiguous in yago: ['Art', 'Graphics']	
greeting	ambiguous in yago: ['Greeting', 'Salutation']	
hat	ambiguous in yago: ['Hat', 'Lid']	
home	ambiguous in yago: ['Home', 'Place']	
inn	ambiguous in yago: ['Hostel', 'Inn']	
job	ambiguous in yago: ['Business', 'Job', 'Occupation']	
journal	ambiguous in yago: ['Diary', 'Journal']	
kingdom	ambiguous in yago: ['Land', 'Realm']	
legend	ambiguous in yago: ['Fable', 'Legend']	
legislature	ambiguous in yago: ['Legislative_assembly', 'Legislature']	
lot	ambiguous in schemaorg: ['schema:Mass', 'schema:Mountain']	
lot	ambiguous in yago: ['Mess', 'Mountain']	
marsh	ambiguous in yago: ['Fen', 'Marsh']	
negotiation	ambiguous in yago: ['Dialogue', 'Negotiation']	
news	ambiguous in yago: ['News', 'Word']	
notion	ambiguous in yago: ['Belief', 'Feeling']	
object	ambiguous in dul: ['Object', 'PhysicalObject']	
organisation	ambiguous in yago: ['Governing_body', 'Organization']	
party	ambiguous in yago: ['Party', 'Political_party']	
pattern	ambiguous in yago: ['Pattern', 'Shape']	
philosophy	ambiguous in yago: ['Doctrine', 'Philosophy', 'School_of_thought']	
pier	ambiguous in yago: ['Pier', 'Wharf']	
prize	ambiguous in yago: ['Award', 'Prize']	
problem	ambiguous in yago: ['Job', 'Problem']	
project	ambiguous in dul: ['Project', 'Task']	
question	ambiguous in yago: ['Inquiry', 'Question']	
railcar	ambiguous in yago: ['Car', 'Railcar', 'Railroad_car']	
ritual	ambiguous in yago: ['Rite', 'Ritual']	
role	ambiguous in bfo: ['BFO_0000023', 'BFO_0000034']	
role	ambiguous in yago: ['Office', 'Role']	
satellite	ambiguous in yago: ['Orbiter', 'Satellite']	
seat	ambiguous in schemaorg: ['schema:Place', 'schema:Seat']	
seat	ambiguous in yago: ['Place', 'Seat']	
slogan	ambiguous in yago: ['Motto', 'Slogan']	
state	ambiguous in yago: ['Province', 'State']	
stream	ambiguous in yago: ['Stream', 'Watercourse']	
structure	ambiguous in yago: ['Construction', 'Structure']	
summit	ambiguous in yago: ['Pinnacle', 'Summit']	
sword	ambiguous in yago: ['Brand', 'Steel', 'Sword']	
technology	ambiguous in yago: ['Engineering', 'Technology']	
television	ambiguous in yago: ['Television', 'Video']	
theatre	ambiguous in yago: ['House', 'Theatre']	
tragedy	ambiguous in yago: ['Disaster', 'Tragedy']	
treaty	ambiguous in yago: ['Pact', 'Treaty']	
