# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
0	agriculture, forestry and fishery products	fishery products
2	food products, beverages and tobacco; textiles, apparel and leather products	leather products
4	metal products, machinery and equipment	metal products
03	forestry and logging products	logging products
12	crude petroleum and natural gas	crude petroleum
13	uranium and thorium ores and concentrates	thorium ores
14	metal ores	metal ores
18	natural water	natural water
22	dairy products and egg products	egg products
23	grain mill products, starches and starch products; other food products	grain mill products
23	grain mill products, starches and starch products; other food products	starch products
25	tobacco products	tobacco products
26	yarn and thread; woven and tufted textile fabrics	tufted textile fabrics
27	textile articles other than apparel	textile articles
28	knitted or crocheted fabrics; wearing apparel	crocheted fabrics
29	leather and leather products; footwear	leather products
32	pulp, paper and paper products; printed matter and related articles	paper products
32	pulp, paper and paper products; printed matter and related articles	related articles
33	coke oven products; refined petroleum products; nuclear fuel	coke oven products
33	coke oven products; refined petroleum products; nuclear fuel	refined petroleum products
34	basic chemicals	basic chemicals
35	other chemical products; man-made fibres	man-made fibres
36	rubber and plastics products	plastics products
37	glass and glass products and other non-metallic products n.e.c.	glass products
41	basic metals	basic metals
42	fabricated metal products, except machinery and equipment	fabricated metal products
48	medical appliances, precision and optical instruments, watches and clocks	medical appliances
014	oilseeds and oleaginous fruits	oleaginous fruits
016	stimulant, spice and aromatic crops	aromatic crops
018	sugar crops	sugar crops
019	forage products; fibre crops; plants used in perfumery, pharmacy, or for insecti	forage products
019	forage products; fibre crops; plants used in perfumery, pharmacy, or for insecti	fibre crops
019	forage products; fibre crops; plants used in perfumery, pharmacy, or for insecti	forage plant
019	forage products; fibre crops; plants used in perfumery, pharmacy, or for insecti	flower seeds
019	forage products; fibre crops; plants used in perfumery, pharmacy, or for insecti	living plants
024	reproductive materials of animals	reproductive materials
032	non-wood forest products	non-wood forest products
042	fish live, fresh or chilled for human consumption	fish live
044	molluscs live, fresh or chilled	molluscs live
120	crude petroleum and natural gas	crude petroleum
130	uranium and thorium ores and concentrates	thorium ores
142	non-ferrous metal ores and concentrates (other than uranium or thorium ores and 	non-ferrous metal ores
151	monumental or building stone	monumental
151	monumental or building stone	building stone
152	gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a ki	anhydrite
152	gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a ki	limestone flux
161	chemical and fertilizer minerals	fertilizer minerals
162	salt and pure sodium chloride; sea water	pure sodium chloride
162	salt and pure sodium chloride; sea water	sea water
163	precious and semi-precious stones; pumice stone; emery; natural abrasives; other	precious
163	precious and semi-precious stones; pumice stone; emery; natural abrasives; other	semi-precious stones
163	precious and semi-precious stones; pumice stone; emery; natural abrasives; other	natural abrasives
180	natural water	natural water
211	meat and meat products	meat products
218	cotton linters	cotton linters
219	oil-cake and other residues resulting from the extraction of vegetable fats or o	degras
219	oil-cake and other residues resulting from the extraction of vegetable fats or o	residues resulting
221	processed liquid milk, cream and whey	processed liquid milk
231	grain mill products	grain mill products
232	starches and starch products; sugars and sugar syrups n.e.c.	starch products
233	preparations used in animal feeding; lucerne (alfalfa) meal and pellets	lucerne meal
234	bakery products	bakery products
236	cocoa, chocolate and sugar confectionery	sugar confectionery
244	soft drinks; bottled mineral waters	bottled mineral waters
250	tobacco products	tobacco products
261	natural textile fibres prepared for spinning	natural textile fibres prepared
262	man-made textile staple fibres processed for spinning	man-made textile staple fibres processed
263	textile yarn and thread of natural fibres	textile yarn
