# code	title	label	offset	name	gloss — every aligned code with children: the upper ends of CPC's witness edges (union bins' kinds are leaves beside the bin and are not listed)
24	beverages	beverages	07881800	drink	any liquid suitable for drinking
53	constructions	constructions	04341686	structure	a thing constructed
011	cereals	cereals	07802417	grain	foodstuff prepared from the starchy grains of cereal grasses
012	vegetables	vegetables	07707451	vegetable	edible seeds or roots or stems or leaves or bulbs or tubers 
017	pulses (dried leguminous vegetables)	pulses	07709046	pulse.cpc	edible seeds of various pod-bearing plants (peas or beans or
021	live animals	live animals	00015388	animal	a living organism characterized by voluntary movement
022	raw milk	raw milk	07845702	raw-milk	unpasteurized milk
031	wood in the rough	wood	15098161	wood	the hard fibrous lignified substance under the bark of trees
041	fish, live, not for human consumption	fish	02512053	fish	any of various mostly cold-blooded aquatic vertebrates usual
043	crustaceans, live, fresh or chilled	crustaceans	01974773	crustacean	any mainly aquatic arthropod usually having a segmented body
154	clays	clays	14813182	clay	a very fine-grained soil that is plastic when moist but hard
171	electrical energy	electrical energy	11450566		energy made available by the flow of electric charge through
215	animal fats	animal fats	14787520	animal-fat	any fat obtained from animals
216	vegetable oils	vegetable oils	07673397	vegetable-oil	any of a group of liquid edible fats that are obtained from 
223	eggs, in shell, preserved or cooked	eggs	07840804	egg	oval reproductive body of a fowl (especially a hen) used as 
239	food products n.e.c.	food products	07566340	foodstuff	a substance that can be used or prepared for use as food
242	wines	wines	07891726	wine	fermented juice (of grapes especially)
279	textiles n.e.c.	textiles	03309808	fabric	artifact made by weaving or felting or knitting or crochetin
282	wearing apparel, except fur apparel	wearing apparel	02728440	apparel	clothing in general
322	books, in print	books	06410904	book	a written work or composition that has been published (print
347	plastics in primary forms	plastics	14592610	plastic	generic name for certain synthetic or semisynthetic material
381	furniture	furniture	03405725	furniture	furnishings that make a room or other area ready for occupan
383	musical instruments	musical instruments	03800933	musical-instrument	any of various devices or contrivances that can be used to p
391	wastes from food and tobacco industry	wastes	14856263	waste	any materials unused and rejected as worthless or unwanted
493	ships	ships	04194289	ship	a vessel that carries passengers or freight
531	buildings	buildings	02913152	building	a structure that has a roof and walls and stands more or les
0111	wheat	wheat	07803545	wheat-berry	grains of common wheat
0112	maize (corn)	maize	12143676	maize	tall annual cereal grass bearing kernels on large ears: wide
0113	rice	rice	07804323	rice	grains used as food either unpolished or more often polished
0114	sorghum	sorghum	12137120	sorghum	economically important Old World tropical cereal grass
0115	barley	barley	07803093	barley	a grain of barley
0116	rye	rye	12157179	rye.cpc	the seed of the cereal grass
0117	oats	oats	07804152	oat	seed of the annual grass Avena sativa (spoken of primarily i
0118	millet	millet	07802963	millet	small seed of any of various annual cereal grasses especiall
0122	melons	melons	07755411	melon	any of numerous fruits of the gourd family having a hard rin
0129	vegetables, fresh, n.e.c.	vegetables	07707451	vegetable	edible seeds or roots or stems or leaves or bulbs or tubers 
0132	citrus fruits	citrus fruits	07747055	citrus-fruit	any of numerous fruits of the genus Citrus having thick rind
0133	grapes	grapes	07758680	grape	any of various juicy fruit of the genus Vitis with green or 
0137	nuts (excluding wild edible nuts and groundnuts), in shell	nuts	13136556	nut	usually large hard-shelled seed
0141	soya beans	soya beans	07729485	soy	the most highly proteinaceous vegetable known
0142	groundnuts, excluding shelled	groundnuts	07737745	peanut	pod of the peanut vine containing usually 2 nuts or seeds
0143	cottonseed	cottonseed	11689815	cottonseed	seed of cotton plants
0145	olives	olives	07767344	olive	one-seeded fruit of the European olive tree usually pickled 
0146	coconuts, in shell	coconuts	07772935	cocoanut	large hard-shelled oval nut with a fibrous husk containing t
0151	potatoes	potatoes	07710616	white-potato	an edible tuber native to South America
0152	cassava	cassava	12927013	cassava	cassava root eaten as a staple food after drying and leachin
0153	sweet potatoes	sweet potatoes	07712063	sweet-potato	the edible tuberous root of the sweet potato vine which is g
0154	yams	yams	07711907	yam	edible tuberous root of various yam plants of the genus Dios
0155	taro	taro	07736813	taro-root	tropical starchy tuberous root
0162	tea leaves	tea leaves	07932841	tea-leaf	dried leaves of the tea shrub
0164	cocoa beans	cocoa beans	07754894	cacao-bean	seed of the cacao tree
0170	pulses (dried leguminous vegetables)	pulses	07709046	pulse.cpc	edible seeds of various pod-bearing plants (peas or beans or
0195	natural rubber in primary forms or in plates, sheets or stri	natural rubber	15006258	natural-rubber	an elastic material obtained from the latex sap of trees (es
0197	unmanufactured tobacco	unmanufactured tobacco	04442831	tobacco	leaves of the tobacco plant dried and prepared for smoking o
0215	poultry	poultry	01789740	poultry	a domesticated gallinaceous bird thought to be descended fro
0221	raw milk from bovine animals	raw milk	07845702	raw-milk	unpasteurized milk
0241	semen	semen	05404336	seminal-fluid	the thick white fluid containing spermatozoa that is ejacula
0242	embryos	embryos	01458842	embryo	an animal organism in the early stages of growth and differe
0292	snails, fresh, chilled, frozen, dried, salted or in brine, e	snails	01944390	snail	freshwater or marine or terrestrial gastropod mollusk usuall
