sub	sup	issue
ability		unplaced: best single witness: quality (wordnet)
ability	disposition	disputed: ['opencyc'] vs ['sumo']
ability	tendency	disputed: ['opencyc'] vs ['sumo']
absence		unplaced: best single witness: condition (wordnet)
absorption		unplaced: best single witness: revival (sumo)
abuse		unplaced: best single witness: activity (wordnet)
accent		unplaced: best single witness: ability (sumo)
acceptance		unplaced: best single witness: attitude (wordnet)
access	situation	disputed: ['opencyc'] vs ['sumo']
accountant		unplaced: best single witness: organism (wordnet)
accumulation		unplaced: best single witness: revival (sumo)
acquaintance		unplaced: best single witness: knowledge (wordnet)
act		unplaced: best single witness: legal-document (wordnet)
action	change	disputed: ['sumo'] vs ['opencyc']
action	incentive	disputed: ['sumo'] vs ['opencyc']
action	introduction	disputed: ['sumo'] vs ['wordnet']
action	revival	disputed: ['sumo'] vs ['opencyc']
action	stimulation	disputed: ['sumo'] vs ['wordnet']
action	wake	disputed: ['sumo'] vs ['opencyc']
activity	contribution	disputed: ['sumo'] vs ['wordnet']
addition		unplaced: best single witness: object (wordnet)
address		unplaced: best single witness: bottom (sumo)
address	information	disputed: ['opencyc'] vs ['sumo']
administration	management	disputed: ['wordnet'] vs ['sumo']
administrator	insider	disputed: ['sumo'] vs ['wordnet']
adult	auditor	disputed: ['sumo'] vs ['opencyc']
adult	fossil	disputed: ['sumo'] vs ['wordnet']
advertising		unplaced: best single witness: promotion (wordnet)
advice		unplaced: best single witness: proposal (wordnet)
adviser		unplaced: best single witness: organism (wordnet)
affair		unplaced: best single witness: condition (wordnet)
affair	position	disputed: ['sumo'] vs ['schemaorg']
age		unplaced: best single witness: goal (sumo)
agreement		unplaced: best single witness: statement (wordnet)
airport		unplaced: best single witness: facility (wordnet)
aisle	road	disputed: ['opencyc'] vs ['sumo']
alarm		unplaced: best single witness: emotion (wordnet)
album		unplaced: best single witness: object (wordnet)
allocation		unplaced: best single witness: relation (wordnet)
allocation	average	disputed: ['opencyc'] vs ['sumo']
allocation	formula	disputed: ['opencyc'] vs ['sumo']
allocation	information	disputed: ['opencyc'] vs ['sumo']
allocation	norm	disputed: ['opencyc'] vs ['sumo']
allocation	relation	disputed: ['wordnet'] vs ['sumo']
allowance		unplaced: best single witness: relation (wordnet)
allowance	average	disputed: ['opencyc'] vs ['sumo']
allowance	formula	disputed: ['opencyc'] vs ['sumo']
allowance	information	disputed: ['opencyc'] vs ['sumo']
allowance	norm	disputed: ['opencyc'] vs ['sumo']
allowance	relation	disputed: ['wordnet'] vs ['sumo']
ally		unplaced: best single witness: group (wordnet)
amateur		unplaced: best single witness: organism (wordnet)
ambiguity		unplaced: best single witness: bottom (sumo)
amphibian	vehicle	disputed: ['wordnet', 'yago'] vs ['sumo']
analogy		unplaced: best single witness: knowledge (wordnet)
angel		unplaced: best single witness: belief (wordnet)
angle		unplaced: best single witness: location (wordnet)
announcement		unplaced: best single witness: statement (wordnet)
answer		unplaced: best single witness: statement (wordnet)
anxiety		unplaced: best single witness: condition (wordnet)
apathy		unplaced: best single witness: feeling (wordnet)
apology		unplaced: best single witness: revival (sumo)
appendix		unplaced: best single witness: structure (sumo)
appendix	information	disputed: ['opencyc'] vs ['sumo']
apple		unplaced: best single witness: natural-object (wordnet)
approval		unplaced: best single witness: activity (wordnet)
arch		unplaced: best single witness: curve (wordnet)
arch	curve	disputed: ['wordnet'] vs ['sumo']
architecture	building	disputed: ['wordnet'] vs ['sumo']
archive		unplaced: best single witness: facility (wordnet)
area	center	disputed: ['sumo'] vs ['wordnet']
area	corner	disputed: ['sumo'] vs ['wordnet']
area	home	disputed: ['schemaorg'] vs ['sumo']
area	scene	disputed: ['sumo'] vs ['wordnet']
area	seat	disputed: ['sumo'] vs ['wordnet']
area	venue	disputed: ['sumo'] vs ['wordnet']
argument		unplaced: best single witness: indication (wordnet)
arrangement		unplaced: best single witness: knowledge (wordnet)
arrow		unplaced: best single witness: symbol (wordnet)
artifact		unplaced: best single witness: object (wordnet)
artifact	cut	disputed: ['sumo'] vs ['opencyc']
artifact	import	disputed: ['sumo'] vs ['wordnet']
artifact	layer	disputed: ['sumo'] vs ['wordnet']
artifact	load	disputed: ['sumo'] vs ['wordnet']
artifact	shaft	disputed: ['sumo'] vs ['opencyc']
artifact	surface	disputed: ['sumo'] vs ['wordnet']
ash		unplaced: best single witness: bottom (sumo)
aspect		unplaced: best single witness: idea (wordnet)
aspect	knowledge	disputed: ['wordnet'] vs ['sumo']
assault		unplaced: best single witness: battle (wordnet)
assembly		unplaced: best single witness: machine (wordnet)
assertion		unplaced: best single witness: declaration (wordnet)
asset		unplaced: best single witness: quality (wordnet)
assumption	thesis	disputed: ['sumo'] vs ['wordnet']
attachment		unplaced: best single witness: feeling (wordnet)
attic		unplaced: best single witness: structure (wordnet)
attitude	prejudice	disputed: ['sumo'] vs ['wordnet']
audience		unplaced: best single witness: group (wordnet)
audio		unplaced: best single witness: revival (sumo)
aunt		unplaced: best single witness: organism (wordnet)
authority	power	disputed: ['wordnet'] vs ['sumo']
authority	situation	disputed: ['opencyc'] vs ['sumo']
autonomy		unplaced: best single witness: freedom (wordnet)
avenue		unplaced: best single witness: creation (wordnet)
average		unplaced: best single witness: knowledge (wordnet)
aviation		unplaced: best single witness: group (wordnet)
aviation	group	disputed: ['wordnet'] vs ['sumo']
axis		unplaced: best single witness: location (wordnet)
back		unplaced: best single witness: bottom (sumo)
background		unplaced: no witness places it
balance		unplaced: best single witness: situation (wordnet)
balance	equilibrium	disputed: ['wordnet'] vs ['sumo']
balance	situation	disputed: ['wordnet'] vs ['sumo']
ballot		unplaced: best single witness: document (wordnet)
ban		unplaced: best single witness: act (wordnet)
banana	herb	disputed: ['wordnet'] vs ['sumo']
band	right-wing	disputed: ['sumo'] vs ['wordnet']
bank		unplaced: best single witness: object (wordnet)
bankruptcy		unplaced: best single witness: ability (sumo)
barrier	hedge	disputed: ['sumo'] vs ['wordnet']
base		unplaced: best single witness: facility (wordnet)
baseball		unplaced: best single witness: recreation (wordnet)
basin		unplaced: best single witness: object (wordnet)
basin	container	disputed: ['wordnet'] vs ['sumo']
basis		unplaced: best single witness: relation (wordnet)
basketball		unplaced: best single witness: recreation (wordnet)
beam		unplaced: best single witness: bottom (sumo)
bean		unplaced: best single witness: vegetable (wordnet)
beginning		unplaced: best single witness: natural-event (wordnet)
behaviour		unplaced: best single witness: goal (sumo)
belief		unplaced: best single witness: knowledge (wordnet)
belly		unplaced: best single witness: bottom (sumo)
belt		unplaced: best single witness: curve (wordnet)
beneficiary		unplaced: best single witness: organism (wordnet)
bet		unplaced: best single witness: relation (wordnet)
bill		unplaced: best single witness: legal-document (wordnet)
biscuit		unplaced: best single witness: food (wordnet)
bite		unplaced: best single witness: wound (wordnet)
black		unplaced: no witness places it
block	slab	disputed: ['sumo'] vs ['wordnet']
block	tablet	disputed: ['sumo'] vs ['wordnet']
block	tile	disputed: ['sumo'] vs ['wordnet']
bloodshed	murder	disputed: ['wordnet'] vs ['sumo']
blue		unplaced: no witness places it
bolt		unplaced: best single witness: natural-event (wordnet)
bone	rib	disputed: ['sumo'] vs ['opencyc']
book	notebook	disputed: ['sumo'] vs ['yago']
border		unplaced: best single witness: location (wordnet)
bottom		unplaced: best single witness: location (wordnet)
bottom	location	disputed: ['wordnet'] vs ['sumo']
bottom	object	disputed: ['wordnet'] vs ['sumo']
bottom	region	disputed: ['wordnet'] vs ['sumo']
bottom	side	disputed: ['opencyc'] vs ['sumo']
bow		unplaced: best single witness: object (wordnet)
bowel		unplaced: best single witness: organ (wordnet)
bowel	colon	disputed: ['sumo'] vs ['wordnet']
bowl	container	disputed: ['opencyc', 'wordnet'] vs ['sumo']
bowl	device	disputed: ['opencyc'] vs ['sumo']
bowl	product	disputed: ['yago'] vs ['sumo']
bracket		unplaced: best single witness: group (wordnet)
brand		unplaced: best single witness: relation (wordnet)
bread		unplaced: best single witness: food (wordnet)
break		unplaced: best single witness: natural-event (wordnet)
breakdown		unplaced: best single witness: action (wordnet)
breast		unplaced: best single witness: bottom (sumo)
broadcast		unplaced: best single witness: message (wordnet)
broccoli	herb	disputed: ['wordnet'] vs ['sumo']
brush		unplaced: best single witness: group (wordnet)
buffet	container	disputed: ['opencyc'] vs ['sumo']
buffet	device	disputed: ['opencyc'] vs ['sumo']
buffet	furniture	disputed: ['opencyc', 'wordnet'] vs ['sumo']
building	monastery	disputed: ['sumo'] vs ['wordnet']
bulletin		unplaced: best single witness: information (wordnet)
bulletin	information	disputed: ['wordnet'] vs ['sumo']
bundle		unplaced: best single witness: group (wordnet)
bundle	group	disputed: ['wordnet'] vs ['sumo']
