# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- ai wordnet batch 1: wordnet  ---
android	automaton	accept		02710201	02761392
animatronics	robotics	accept		06133802	06133654
cognitive-science	science	accept		06142861	05999797
cybernetics	science	accept		06142598	05999797
data-mining	process	accept		13455234	00029677
feedback.process	process	accept		13479380	00029677
game-theory	thinking	reject	a theory	06150222	05770926
machine-translation	linguistics	accept		06133503	06172789
natural-language-processing	science	accept		06142412	05999797
neural-network	information	reject	an architecture, not a message	06725467	00033020
computational-ontology	cognition	accept		06162979	00023271
operations-research	research	accept		00637546	00636921
simulation	method	accept		05666700	05660268
# --- ai wordnet batch 2: wordnet  ---
closed-loop	control-system	accept		03049326	03098806
computational-linguistics	linguistics	accept		06168552	06172789
cybernetics	information-science	accept		06142598	06142118
information-science	science	accept		06142118	05999797
natural-language-processing	information-science	accept		06142412	06142118
robotics	artificial-intelligence	accept		06133654	06133203
servo	control-system	accept		04176295	03098806
# --- ai wikidata batch 1: wikidata  ---
affective-computing	artificial-intelligence	accept			06133203
agricultural-robot	automaton	accept			02761392
ai-agent	artificial-intelligence	reject	an agent is not a field		06133203
ai-model	artificial-neural-network	reject	inverted — a neural network is one kind of AI model		06725467
animatronics	automaton	accept		06133802	02761392
animatronics	doll	reject	no	06133802	03219135
articulated-robot	automaton	accept			02761392
artificial-empathy	artificial-intelligence	accept			06133203
artificial-general-intelligence	artificial-intelligence	accept			06133203
autoencoder	artificial-neural-network	accept			06725467
automated-planning	artificial-intelligence	accept			06133203
autonomic-computing	artificial-intelligence	accept			06133203
autonomous-vehicle	automaton	accept			02761392
autoregressive-model	artificial-neural-network	accept			06725467
behavior-based-robotics	robotics	accept			06133654
benchmark-dataset	dataset	accept			
bio-inspired-robotics	robotics	accept			06133654
biorobotics	robotics	accept			06133654
cognitive-robotics	robotics	accept			06133654
collaborative-robot	automaton	accept			02761392
companion-robot	automaton	accept			02761392
compositional-pattern-producing-network	artificial-neural-network	accept			06725467
computational-humor	computational-linguistics	accept			06168552
computational-intelligence	artificial-intelligence	accept			06133203
computer-go	artificial-intelligence	accept			06133203
connectionist-expert-system	artificial-neural-network	accept			06725467
deep-belief-network	artificial-neural-network	accept			06725467
deep-neural-network	artificial-neural-network	accept			06725467
delta-robot	automaton	accept			02761392
dialogue-system	natural-language-processing	accept			06142412
distributed-artificial-intelligence	artificial-intelligence	accept			06133203
