# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
neural-network	concept	accept	a computer architecture modelled on the brain	06725467	05835747
game-theory	concept	accept	a mathematical theory of strategic interaction	06150222	05835747
ai-model	concept	accept	a parameterised computable object; the hub for models [2026-09-03]		05835747
artificial-neural-network	ai-model	accept	a neural network is a model [2026-09-03]	06725467	
language-model	ai-model	accept	ai skeleton [2026-09-03]		
generative-model	ai-model	accept	ai skeleton [2026-09-03]		
latent-variable-model	concept	accept	a statistical model [2026-09-03]		05835747
mixture-model	latent-variable-model	accept	ai skeleton [2026-09-03]		
topic-model	latent-variable-model	accept	ai skeleton [2026-09-03]		
hidden-markov-model	latent-variable-model	accept	ai skeleton [2026-09-03]		
foundation-model	ai-model	accept	ai skeleton [2026-09-03]		
energy-based-model	ai-model	accept	ai skeleton [2026-09-03]		
world-model	ai-model	accept	ai skeleton [2026-09-03]		
bayesian-network	concept	accept	a probabilistic graphical model [2026-09-03]		05835747
markov-decision-process	concept	accept	a mathematical model of decision making [2026-09-03]		05835747
gaussian-process	concept	accept	a stochastic process [2026-09-03]		05835747
deep-learning	machine-learning	accept	ML with deep neural networks [2026-09-03]		
supervised-learning	machine-learning	accept	ai skeleton [2026-09-03]		
unsupervised-learning	machine-learning	accept	ai skeleton [2026-09-03]		
reinforcement-learning	machine-learning	accept	ai skeleton [2026-09-03]		
self-supervised-learning	unsupervised-learning	accept	Wikidata files it under supervised, which is the joke of the name [2026-09-03]		
machine-learning-algorithm	algorithm	accept	ai skeleton [2026-09-03]		05847438
classification-algorithm	machine-learning-algorithm	accept	ai skeleton [2026-09-03]		
clustering-algorithm	machine-learning-algorithm	accept	ai skeleton [2026-09-03]		
decision-tree-learning	machine-learning-algorithm	accept	ai skeleton [2026-09-03]		
random-forest	ensemble-learning	accept	ai skeleton [2026-09-03]		
k-nearest-neighbors	classification-algorithm	accept	ai skeleton [2026-09-03]		
linear-classifier	classification-algorithm	accept	ai skeleton [2026-09-03]		
perceptron	linear-classifier	accept	ai skeleton [2026-09-03]		
kalman-filter	algorithm	accept	an estimation algorithm [2026-09-03]		05847438
particle-filter	algorithm	accept	ai skeleton [2026-09-03]		05847438
expectation-maximization	algorithm	accept	ai skeleton [2026-09-03]		05847438
gradient-descent	algorithm	accept	an optimization algorithm [2026-09-03]		05847438
backpropagation	algorithm	accept	ai skeleton [2026-09-03]		05847438
evolutionary-algorithm	algorithm	accept	ai skeleton [2026-09-03]		05847438
evolutionary-algorithm	evolutionary-computation	accept	ai skeleton [2026-09-03]		
genetic-programming	evolutionary-computation	accept	ai skeleton [2026-09-03]		
swarm-intelligence	artificial-intelligence	accept	a subfield [2026-09-03]		06133203
particle-swarm-optimization	swarm-intelligence	accept	ai skeleton [2026-09-03]		
ant-colony-optimization	swarm-intelligence	accept	ai skeleton [2026-09-03]		
metaheuristic	algorithm	accept	ai skeleton [2026-09-03]		05847438
simulated-annealing	metaheuristic	accept	ai skeleton [2026-09-03]		
search-algorithm	algorithm	accept	ai skeleton [2026-09-03]		05847438
