# name	source	id
artificial-intelligence	wikidata	Q11660
machine-learning	wikidata	Q2539
artificial-neural-network	wikidata	Q192776
deep-learning	wikidata	Q197536
expert-system	wikidata	Q184609
knowledge-representation	wikidata	Q3478658
natural-language-processing	wikidata	Q30642
computer-vision	wikidata	Q844240
reinforcement-learning	wikidata	Q830687
supervised-learning	wikidata	Q334384
unsupervised-learning	wikidata	Q1152135
statistical-classification	wikidata	Q1744628
classification-algorithm	wikidata	Q1744627
cluster-analysis	wikidata	Q622825
clustering-algorithm	wikidata	Q24953001
decision-tree-learning	wikidata	Q16766476
support-vector-machine	wikidata	Q282453
large-language-model	wikidata	Q115305900
generative-model	wikidata	Q5532625
search-algorithm	wikidata	Q755673
logic-programming	wikidata	Q275603
logic-programming-language	wikidata	Q28920209
knowledge-base	wikidata	Q593744
semantic-web	wikidata	Q54837
automated-planning	wikidata	Q2631895
genetic-algorithm	wikidata	Q187787
evolutionary-algorithm	wikidata	Q14489129
evolutionary-computation	wikidata	Q1197129
bayesian-network	wikidata	Q812540
hidden-markov-model	wikidata	Q176769
intelligent-agent	wikidata	Q1142726
multi-agent-system	wikidata	Q529909
robotics	wikidata	Q170978
automaton	wikidata	Q11012
speech-recognition	wikidata	Q189436
recommender-system	wikidata	Q554950
loss-function	wikidata	Q1036748
gradient-descent	wikidata	Q1199743
backpropagation	wikidata	Q798503
overfitting	wikidata	Q331309
artificial-general-intelligence	wikidata	Q2264109
turing-test	wikidata	Q189223
symbolic-ai	wikidata	Q5514059
semantic-network	wikidata	Q1045785
rule-based-system	wikidata	Q1417149
inference-engine	wikidata	Q1341685
automated-theorem-proving	wikidata	Q431667
constraint-satisfaction-problem	wikidata	Q1128326
machine-translation	wikidata	Q79798
computational-linguistics	wikidata	Q182557
pattern-recognition	wikidata	Q378859
convolutional-neural-network	wikidata	Q17084460
recurrent-neural-network	wikidata	Q1457734
generative-adversarial-network	wikidata	Q25104379
autoencoder	wikidata	Q786435
diffusion-model	wikidata	Q114617315
prompt-engineering	wikidata	Q108941486
ai-alignment	wikidata	Q24882728
explainable-ai	wikidata	Q40890078
markov-decision-process	wikidata	Q176789
q-learning	wikidata	Q2664563
ensemble-learning	wikidata	Q245652
random-forest	wikidata	Q245748
boosting-algorithm	wikidata	Q466303
k-nearest-neighbors	wikidata	Q1071612
naive-bayes-classifier	wikidata	Q812530
linear-classifier	wikidata	Q2679259
perceptron	wikidata	Q690207
activation-function	wikidata	Q4677469
word-embedding	wikidata	Q18395344
text-tokenization	wikidata	Q2438971
information-retrieval	wikidata	Q816826
question-answering	wikidata	Q1074173
chatbot	wikidata	Q870780
foundation-model	wikidata	Q112702082
transfer-learning	wikidata	Q6027324
self-supervised-learning	wikidata	Q77562367
dimensionality-reduction	wikidata	Q16000077
anomaly-detection	wikidata	Q3560506
optical-character-recognition	wikidata	Q167555
image-segmentation	wikidata	Q56933
object-detection	wikidata	Q3045304
knowledge-graph	wikidata	Q33002955
case-based-reasoning	wikidata	Q1151406
situation-calculus	wikidata	Q1559077
cognitive-architecture	wikidata	Q4386060
neuro-symbolic-ai	wikidata	Q113512183
content-addressable-memory	wikidata	Q745101
hopfield-network	wikidata	Q1407668
hebbian-learning	wikidata	Q1277874
self-organizing-map	wikidata	Q1136838
boltzmann-machine	wikidata	Q194706
spiking-neural-network	wikidata	Q9067355
neuromorphic-engineering	wikidata	Q1981312
minimum-description-length	wikidata	Q1417790
kolmogorov-complexity	wikidata	Q1456811
information-bottleneck	wikidata	Q6031013
pac-learning	wikidata	Q458526
statistical-learning-theory	wikidata	Q7604400
bias-variance-tradeoff	wikidata	Q17003119
stochastic-gradient-descent	wikidata	Q7617819
learning-rate	wikidata	Q65121812
batch-normalization	wikidata	Q55080248
long-short-term-memory	wikidata	Q6673524
language-model	wikidata	Q3621696
neural-machine-translation	wikidata	Q25053937
text-to-image-model	wikidata	Q113940039
genetic-programming	wikidata	Q629498
swarm-intelligence	wikidata	Q863960
particle-swarm-optimization	wikidata	Q2072794
ant-colony-optimization	wikidata	Q460851
simulated-annealing	wikidata	Q863783
a-star-search	wikidata	Q277680
minimax-rule	wikidata	Q751319
alpha-beta-pruning	wikidata	Q570496
monte-carlo-tree-search	wikidata	Q11785332
game-tree	wikidata	Q1377033
state-space-search	wikidata	Q2033871
frame-problem	wikidata	Q1185775
commonsense-knowledge-base	wikidata	Q1603203
commonsense-reasoning	wikidata	Q5153664
web-ontology-language	wikidata	Q826165
resource-description-framework	wikidata	Q54872
knowledge-engineering	wikidata	Q1540472
dempster-shafer-theory	wikidata	Q285997
fuzzy-set	wikidata	Q1055058
pddl	wikidata	Q7201366
blackboard-system	wikidata	Q1753023
cognitive-science	wikidata	Q147638
computational-neuroscience	wikidata	Q8037925
artificial-life	wikidata	Q263847
cellular-automaton	wikidata	Q189156
machine-learning-algorithm	wikidata	Q110688486
feature-extraction	wikidata	Q1026626
feature-selection	wikidata	Q446488
principal-component-analysis	wikidata	Q2873
latent-variable-model	wikidata	Q1806885
