sub	sup	status	for	against
a-star-search	search-algorithm	accepted	claude-ruling	
abductive-logic-programming	logic-programming	accepted	claude wikidata	
academy	intelligent-agent	single	opencyc	
activation-function	concept	accepted	claude-ruling	
activation-function	function	single	wikidata	
active-learning	artificial-intelligence	single	wikidata	
active-learning	incremental-learning	accepted	claude wikidata	
active-learning	machine-learning	single	wikidata	
actor	embodied-agent	single	opencyc	
actor	intelligent-agent	single	opencyc	
adam-optimizer	gradient-descent	single	wikidata	
adam-optimizer	stochastic-gradient-descent	accepted	claude wikidata	
adult	embodied-agent	single	opencyc	
adversarial-machine-learning	artificial-intelligence	single	wikidata	
adversarial-machine-learning	machine-learning	accepted	claude wikidata	
affective-computing	artificial-intelligence	accepted	claude wikidata	
agricultural-robot	automaton	accepted	claude wikidata	
agricultural-robot	machine	single	wikidata	
ai-agent	artificial-intelligence	dissented	wikidata	
ai-agent	intelligent-agent	accepted	claude-ruling wikidata	
ai-alignment	ai-safety	accepted	claude-ruling	
ai-model	artificial-neural-network	dissented	wikidata	
ai-model	concept	accepted	claude-ruling	
ai-safety	artificial-intelligence	accepted	claude-ruling	
airline	intelligent-agent	single	opencyc	
algorithm	act	single	wordnet	
algorithm	activity	single	wordnet	
algorithm	event	single	wordnet	
algorithm	information	single	opencyc	
algorithm	measure	single	sumo	
algorithm	procedure	accepted	claude-ruling wordnet	
algorithm	routine	single	sumo	
algorithm	rule.cognition	single	wordnet	
algorithm	signified	single	sumo	
alliance	intelligent-agent	single	opencyc	
alpha-beta-pruning	search-algorithm	accepted	claude-ruling	
amphibian	embodied-agent	single	opencyc	
analyst	embodied-agent	single	opencyc	
analyst	intelligent-agent	single	opencyc	
android-robot	artifact	accepted	sumo wordnet	
android-robot	automaton	accepted	claude wordnet	
android-robot	device	accepted	sumo wordnet	
android-robot	machine	single	sumo	
android-robot	machinery	single	sumo	
android-robot	mechanism	single	wordnet	
android-robot	phenomenon	single	sumo	
android-robot	physical-object	single	wordnet	
android-robot	product	single	yago	
android-robot	universe	single	sumo	
angel	intelligent-agent	single	opencyc	
animatronics	artifact	single	wikidata	
animatronics	artificial-intelligence	single	wordnet	
animatronics	automaton	accepted	claude wikidata	
animatronics	cognition	single	wordnet	
animatronics	computer-science	accepted	sumo wordnet	
animatronics	doll	dissented	wikidata	
animatronics	engineering	single	wordnet	
animatronics	field-of-study	accepted	sumo wordnet	
animatronics	machine	single	wikidata	
animatronics	physical-object	single	wikidata	
animatronics	robotics	accepted	claude wordnet	
animatronics	signified	single	sumo	
anomaly-detection	machine-learning	accepted	claude-ruling	
answer-set-programming	logic-programming	accepted	claude wikidata	
ant	embodied-agent	single	opencyc	
ant-colony-optimization	swarm-intelligence	accepted	claude-ruling	
applicant	embodied-agent	single	opencyc	
applicant	intelligent-agent	single	opencyc	
arachnid	embodied-agent	single	opencyc	
architect	embodied-agent	single	opencyc	
architect	intelligent-agent	single	opencyc	
army-division	intelligent-agent	single	opencyc	
articulated-robot	automaton	accepted	claude wikidata	
articulated-robot	machine	single	wikidata	
artificial-empathy	artificial-intelligence	accepted	claude wikidata	
artificial-general-intelligence	ai-model	dissented	wikidata	
artificial-general-intelligence	artificial-intelligence	accepted	claude wikidata	
artificial-general-intelligence	artificial-neural-network	single	wikidata	
artificial-immune-system	artificial-intelligence	single	wikidata	
artificial-immune-system	machine-learning	single	wikidata	
artificial-immune-system	rule-based-machine-learning	accepted	claude wikidata	
artificial-intelligence	cognition	single	wordnet	
artificial-intelligence	computer-science	accepted	sumo wordnet	
artificial-intelligence	engineering	single	wordnet	
artificial-intelligence	field-of-study	accepted	sumo wordnet	
artificial-intelligence	signified	single	sumo	
artificial-life	field-of-study	accepted	claude-ruling	
artificial-neural-network	ai-model	accepted	claude-ruling	wikidata
artificial-neural-network	concept	accepted	claude-ruling	
artificial-neural-network	information	dissented	wordnet	
artificial-neural-network	measure	single	sumo	
artificial-neural-network	plan	single	sumo	
artificial-neural-network	routine	single	sumo	
artificial-neural-network	signified	single	sumo	
artist	embodied-agent	single	opencyc	
artist	intelligent-agent	single	opencyc	
assistant	embodied-agent	single	opencyc	
assistant	intelligent-agent	single	opencyc	
association	intelligent-agent	single	opencyc	
athlete	embodied-agent	single	opencyc	
athlete	intelligent-agent	single	opencyc	
attention-mechanism	concept	accepted	claude-ruling	
auditor	embodied-agent	single	opencyc	
auditor	intelligent-agent	single	opencyc	
autoencoder	artificial-neural-network	accepted	claude wikidata	
automated-machine-learning	artificial-intelligence	single	wikidata	
automated-machine-learning	machine-learning	accepted	claude wikidata	
automated-planning	artificial-intelligence	accepted	claude claude-ruling wikidata	
automated-theorem-proving	artificial-intelligence	accepted	claude-ruling	
automatic-summarization	artificial-intelligence	single	wikidata	
automatic-summarization	computational-linguistics	single	wikidata	
automatic-summarization	natural-language-processing	single	wikidata	
automatic-summarization	text-mining	accepted	claude wikidata	
autonomic-computing	artificial-intelligence	accepted	claude wikidata	
autonomous-aircraft	artificial-intelligence	single	wikidata	
autonomous-aircraft	automaton	single	wikidata	
autonomous-aircraft	autonomic-computing	single	wikidata	
autonomous-aircraft	autonomous-vehicle	accepted	claude wikidata	
autonomous-aircraft	machine	single	wikidata	
autonomous-bus	artificial-intelligence	single	wikidata	
autonomous-bus	automaton	single	wikidata	
autonomous-bus	autonomic-computing	single	wikidata	
autonomous-bus	autonomous-car	dissented	wikidata	
autonomous-bus	autonomous-vehicle	accepted	claude-ruling wikidata	
autonomous-bus	machine	single	wikidata	
autonomous-car	artificial-intelligence	single	wikidata	
autonomous-car	automaton	single	wikidata	
autonomous-car	autonomic-computing	single	wikidata	
autonomous-car	autonomous-vehicle	accepted	claude wikidata	
autonomous-car	machine	single	wikidata	
autonomous-spacecraft	artificial-intelligence	single	wikidata	
autonomous-spacecraft	automaton	single	wikidata	
autonomous-spacecraft	autonomic-computing	single	wikidata	
autonomous-spacecraft	autonomous-vehicle	accepted	claude wikidata	
