kind	sub	sup	detail
single	abductive-logic-programming	skill	only wikidata
single	academy	intelligent-agent	only opencyc
single	active-learning	artificial-intelligence	only wikidata
single	active-learning	supervised-learning	only wikidata
single	active-learning	weakly-supervised-learning	only wikidata
single	actor	embodied-agent	only opencyc
single	actor	intelligent-agent	only opencyc
single	actor-critic-algorithm	algorithm	only wikidata
single	adam-optimizer	gradient-descent	only wikidata
single	adult	embodied-agent	only opencyc
single	adversarial-machine-learning	artificial-intelligence	only wikidata
single	agricultural-robot	machine	only wikidata
single	ai-model	software	only wikidata
single	airline	intelligent-agent	only opencyc
single	algorithm	act	only wordnet
single	algorithm	activity	only wordnet
single	algorithm	event	only wordnet
single	algorithm	information	only opencyc
single	algorithm	measure	only sumo
single	algorithm	routine	only sumo
single	alliance	intelligent-agent	only opencyc
single	amphibian	embodied-agent	only opencyc
single	analyst	embodied-agent	only opencyc
single	analyst	intelligent-agent	only opencyc
single	android	automaton	only claude
single	animatronics	artifact	only wikidata
single	animatronics	artificial-intelligence	only wordnet
single	animatronics	cognition	only wordnet
single	animatronics	engineering	only wordnet
single	animatronics	machine	only wikidata
single	animatronics	physical-object	only wikidata
single	answer-set-programming	skill	only wikidata
single	ant	embodied-agent	only opencyc
single	applicant	embodied-agent	only opencyc
single	applicant	intelligent-agent	only opencyc
single	arachnid	embodied-agent	only opencyc
single	architect	embodied-agent	only opencyc
single	architect	intelligent-agent	only opencyc
single	army-division	intelligent-agent	only opencyc
single	articulated-robot	machine	only wikidata
single	artificial-general-intelligence	artificial-neural-network	only wikidata
single	artificial-general-intelligence	software	only wikidata
single	artificial-immune-system	artificial-intelligence	only wikidata
single	artificial-immune-system	machine-learning	only wikidata
single	artificial-intelligence	cognition	only wordnet
single	artificial-intelligence	engineering	only wordnet
single	artificial-neural-network	measure	only sumo
single	artificial-neural-network	plan	only sumo
single	artificial-neural-network	routine	only sumo
single	artist	embodied-agent	only opencyc
single	artist	intelligent-agent	only opencyc
single	assistant	embodied-agent	only opencyc
single	assistant	intelligent-agent	only opencyc
single	association	intelligent-agent	only opencyc
single	athlete	embodied-agent	only opencyc
single	athlete	intelligent-agent	only opencyc
single	auditor	embodied-agent	only opencyc
single	auditor	intelligent-agent	only opencyc
single	automated-machine-learning	artificial-intelligence	only wikidata
single	automatic-summarization	artificial-intelligence	only wikidata
single	automatic-summarization	computational-linguistics	only wikidata
single	automatic-summarization	natural-language-processing	only wikidata
single	autonomous-aircraft	artificial-intelligence	only wikidata
single	autonomous-aircraft	automaton	only wikidata
