accommodation	service
accounting	service
advertising	service
alteration	repair
alteration	service
babysitting	health-care
babysitting	service
babysitting	social-service
babysitting	tending
beauty-treatment	service
bookkeeping	service
car-care	care
car-care	repair
car-care	service
care	repair
care	service
carpentry	construction
carpentry	service
catering	service
childcare	health-care
childcare	service
childcare	social-service
childcare	tending
cleaning	service
coaching	education
coaching	service
coaching	training
construction	service
consulting	service
cremation	service
daycare	babysitting
daycare	childcare
daycare	health-care
daycare	service
daycare	social-service
daycare	tending
delivery	service
dental-care	health-care
dental-care	medical-care
dental-care	service
dental-care	tending
dental-care	treatment
dressmaking	service
dry-cleaning	laundering
dry-cleaning	service
education	service
electrical-work	construction
electrical-work	service
facial	beauty-treatment
facial	service
funeral-directing	service
guard-duty	security
guard-duty	service
haircut	beauty-treatment
haircut	service
hairdressing	beauty-treatment
hairdressing	service
health-care	service
help-desk	service
house-painting	construction
house-painting	service
housecleaning	cleaning
housecleaning	service
housework	service
installation	repair
installation	service
interior-design	service
ironing	laundering
ironing	service
job-placement	recruitment
job-placement	service
landscaping	service
laundering	service
law-practice	service
mail-service	service
makeover	beauty-treatment
makeover	service
manicure	beauty-treatment
manicure	service
masonry-work	construction
masonry-work	service
massage	beauty-treatment
massage	service
medical-care	health-care
medical-care	service
medical-care	tending
medical-care	treatment
nursing	health-care
nursing	service
nursing	tending
nursing	treatment
packaging	service
pedicure	beauty-treatment
pedicure	service
performing	service
personal-care	health-care
personal-care	service
personal-care	tending
pest-control	cleaning
pest-control	service
photography	service
plumbing-work	construction
plumbing-work	service
printing	service
programming	service
public-service	service
publishing	service
recruitment	service
recycling	service
rental	service
repair	service
roofing-work	construction
roofing-work	service
sanitation	service
security	service
sewage-disposal	service
shaving	beauty-treatment
shaving	service
skin-care	beauty-treatment
skin-care	service
social-service	health-care
social-service	service
social-service	tending
storage	service
tailoring	service
tattooing	beauty-treatment
tattooing	service
tending	service
tourism	service
training	education
training	service
transportation	service
trash-collection	service
treatment	health-care
treatment	service
treatment	tending
tree-surgery	service
tutoring	education
tutoring	service
tutoring	training
upholstery	repair
upholstery	service
utility-service	service
wiring	construction
wiring	electrical-work
wiring	service
