name	issue	ids
phylogenetic-relation	name collision with 'affinity' — (biology) state of relationship between organisms or groups 	13812296
leaf-node	name collision with 'node' — (botany) the small swelling that is the part of a plant stem	13154190
sensitiveness	name collision with 'sensitivity' — (physiology) responsiveness to external stimuli; the faculty	05652926
biotic-community	name collision with 'community' — (ecology) a group of interdependent organisms inhabiting the	07941729
acanthocyte	wikidata: 2 classes match ['acanthocyte']	Q415844 Q4671924
cancer-cell	opencyc: 2 classes match ['cancer-cell']	Mx4r_3PlUTQLQBGjCyc5bs_xAg Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVjuY5wpEbGdrcN5Y29ycB4rvVi1S5wpEbGdrcN5Y29ycB4rwP1qGpwpEbGdrcN5Y29ycA
daughter-cell	wikidata: 2 classes match ['daughter-cell']	Q2438287 Q2793570
enzyme	opencyc: 2 classes match ['enzyme']	Mx4rvfBoWZwpEbGdrcN5Y29ycA Mx8Ngh4rwBhyv5wpEbGdrcN5Y29ycB4rvfBoWZwpEbGdrcN5Y29ycA
fat-cell	opencyc: 2 classes match ['fat-cell']	Mx4rrfDwoPV7SI-RFwstu13X0w Mx8Ngh4rf3EGgJSNEd2AAADggVbxzR4rvVjc_ZwpEbGdrcN5Y29ycA
muscle-cell	opencyc: 2 classes match ['muscle-cell']	Mx4rzpYycCIsTD-f-Y9m-whr3Q Mx8Ngh4rf3EGgJSNEd2AAADggVbxzR4rvVjMOJwpEbGdrcN5Y29ycA
squamous-cell	wikidata: 2 classes match ['squamous-cell']	Q104836896 Q66562845
zygote	wikidata: 2 classes match ['zygote']	Q116620855 Q170145
