# kind	offset	note — candidate synsets for the biology pack
topic	06037666	nouns WordNet tags with the topic biology (70)
topic	06075527	genetics (51)
topic	06066555	botany (41)
topic	06080522	physiology (20)
topic	06070929	ecology (8)
cone	00006484	cell and everything below (140)
cone	05436752	gene and everything below (26)
synset	14732946	enzyme
# hinges
synset	14964129	nucleic acid
synset	05442131	chromosome
synset	13514314	metabolism
synset	08368757	ecosystem
synset	05407119	hormone
synset	13526110	biological process
synset	07992450	taxonomic group (the synset only; its 5,425-member cone is the tree of life, a pack of its own)
