kind	sub	sup	detail
disputed	species	taxonomic-group	for opencyc wordnet; reversed by sumo
disputed	taxonomic-group	species	for sumo; reversed by opencyc wordnet
single	acanthocyte	blood-cell	only wordnet
single	acanthocyte	body-part	only sumo
single	acanthocyte	red-blood-cell	only wordnet
single	acanthocyte	somatic-cell	only wordnet
single	acid-base-equilibrium	attribute	only sumo
single	acid-base-equilibrium	process	only wordnet
single	acid-base-equilibrium	property	only sumo
single	acid-base-equilibrium	shape	only sumo
single	aids	organic-process	only wikidata
single	akaryocyte	body-part	only sumo
single	allele	compound	only sumo
single	allele	group	only wordnet
single	allele	material	only sumo
single	allele	substance	only sumo
single	ameloblast	body-part	only sumo
single	amphidiploid	agent	only sumo
single	amphidiploid	species	only sumo
single	analogy	organic-phenomenon	only sumo
single	animal-egg	body-part	only sumo
single	animal-egg	cell	only wordnet
single	animal-egg	food	only sumo
single	animal-egg	gamete	only wordnet
single	animal-egg	material	only sumo
single	animal-egg	meat	only sumo
single	animal-egg	reproductive-cell	only wordnet
single	animal-egg	substance	only sumo
single	anisogamete	body-part	only sumo
single	anisogamete	reproductive-cell	only wordnet
single	anisogamy	event	only sumo
single	anisogamy	organic-phenomenon	only sumo
single	anisogamy	process	only wordnet
single	annual-plant	agent	only sumo
single	annual-plant	plantae	only sumo
single	annual-plant	species	only sumo
single	annual-plant	structure	only opencyc
single	antagonistic-muscle	organ	only wordnet
single	antagonistic-muscle	physical-object	only sumo
single	antherozoid	body-part	only sumo
single	antherozoid	cell	only wordnet
single	antherozoid	reproductive-cell	only wordnet
single	apogamy	event	only sumo
single	apogamy	organic-phenomenon	only sumo
single	apogamy	process	only wordnet
single	apophysis	physical-object	only sumo
single	appositional-growth	event	only sumo
single	appositional-growth	organic-phenomenon	only sumo
single	appositional-growth	process	only wordnet
single	appraisal	organic-phenomenon	only sumo
single	appraisal	organic-process	only sumo
single	archespore	body-part	only sumo
single	argumentation	organic-phenomenon	only sumo
single	argumentation	organic-process	only sumo
single	arthrospore	body-part	only sumo
single	astrocyte	body-part	only sumo
single	astrocyte	structure	only opencyc
single	audience	organic-phenomenon	only sumo
single	audience	organic-process	only sumo
single	autoregulation	event	only sumo
single	autoregulation	organic-phenomenon	only sumo
single	autoregulation	process	only wordnet
single	axon	cell	only wordnet
single	axon	fiber	only wordnet
single	axon	fiber-cell	only wordnet
single	axon	line	only opencyc
single	axon	material	only wordnet
single	axon	route	only opencyc
single	axon	structure	only opencyc
single	axon	substance	only wordnet
single	b-cell	blood-cell	only wordnet
single	b-cell	body-part	only sumo
single	b-cell	free-phagocyte	only wordnet
single	b-cell	leukocyte	only wordnet
single	b-cell	phagocyte	only wordnet
single	b-cell	somatic-cell	only wordnet
single	basophil	body-part	only sumo
single	basophil	free-phagocyte	only wordnet
single	basophil	phagocyte	only wordnet
single	basophil	structure	only opencyc
single	berry	plant-part	only wordnet
single	beta-cell	body-part	only sumo
single	biennial-plant	agent	only sumo
single	biennial-plant	plantae	only sumo
single	biennial-plant	species	only sumo
single	biennial-plant	structure	only opencyc
single	biological-accretion	event	only sumo
single	biological-accretion	process	only wordnet
single	biological-activator	material	only sumo
single	biological-association	agent	only sumo
single	biological-association	collection	only sumo
single	biological-decomposition	action	only opencyc
single	biological-decomposition	ending	only opencyc
single	biological-decomposition	situation	only opencyc
single	biological-dimorphism	event	only sumo
single	biological-dimorphism	natural-event	only wordnet
single	biological-dimorphism	organic-process	only sumo
single	biological-dimorphism	process	only wordnet
single	biological-inhibition	event	only sumo
single	biological-inhibition	organic-phenomenon	only sumo
single	biological-inhibition	process	only wordnet
single	biological-isomorphism	property	only sumo
single	biological-isomorphism	similarity	only wordnet
single	biological-polymorphism	event	only sumo
single	biological-polymorphism	natural-event	only wordnet
