# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
actinide-series	chemical-group	accept		14625110	14621446
periodic-table	information	accept	the table of the elements	08267446	00033020
atomism	concept	accept	a theory	06102476	05835747
theory-of-dissociation	concept	accept	a theory	06108850	05835747
theory-of-indicators	concept	accept	a theory	06109487	05835747
chemical-bond	natural-event	accept	an electrical force linking atoms; a phenomenon	11436283	11408559
chemical-chain	concept	accept	a linear arrangement of atoms	09240621	05835747
dimorphism	attribute	accept		11493083	00024264
equilibrium-constant	number	accept		13589681	05121418
acid-value	attribute	accept	a measure of free acid	13581598	00024264
actinide-series	collection	accept	fifteen elements [second pass 2026-09-03]	14625110	07951464
chemical-chain	chemical-group	accept	linked atoms forming part of a molecule [second pass 2026-09-03]	09240621	14621446
chemical-group	physical-object	accept	atoms bound together are a physical part of a molecule, not an abstract collection [second pass 2026-09-03]	14621446	00002684
