# offset	name	note
05039106	ph-value	the logarithm of the reciprocal of hydrogen-ion concentration
13435152	chemical-association	combination of molecules, especially in solution
07312829	atomic-migration	movement of an atom or radical within a molecule
14531203	chemical-activity	the capacity to take part in a reaction; `activity` is the everyday word
14796748	pencil-lead	graphite as a writing medium; `pencil` is the instrument
13820000	elemental-abundance	the plain word `abundance` is everyday; a pack never takes it (second pass 2026-09-03)
14583843	electron-acceptor	the plain word `acceptor` is everyday; a pack never takes it (second pass 2026-09-03)
14785941	chemical-buffer	the plain word `buffer` is everyday; a pack never takes it (second pass 2026-09-03)
13458268	chemical-decomposition	the plain word `decomposition` is everyday; a pack never takes it (second pass 2026-09-03)
11493083	chemical-dimorphism	the plain word `dimorphism` is everyday; a pack never takes it (second pass 2026-09-03)
13467224	displacement-reaction	the plain word `displacement` is everyday; a pack never takes it (second pass 2026-09-03)
13467700	chemical-dissociation	the plain word `dissociation` is everyday; a pack never takes it (second pass 2026-09-03)
14917208	chemical-indicator	the plain word `indicator` is everyday; a pack never takes it (second pass 2026-09-03)
14621080	monovalent-atom	the plain word `monad` is everyday; a pack never takes it (second pass 2026-09-03)
11492833	chemical-polymorphism	the plain word `polymorphism` is everyday; a pack never takes it (second pass 2026-09-03)
13547199	distillation-rectification	the plain word `rectification` is everyday; a pack never takes it (second pass 2026-09-03)
