# kind	offset	note — candidate synsets for the chemistry pack
topic	06084469	nouns WordNet tags with the topic chemistry (66)
cone	14622893	chemical element and everything below (the elements, isotopes)
synset	14682133	molecule (physics and chemistry)
synset	14818238	chemical compound
synset	14589223	solution (already in core as chemical-solution)
synset	14580897	material
# hinges
synset	09315159	ion
synset	14994328	polymer
synset	14586258	mixture (chemistry)
synset	14586769	alloy
synset	14723628	catalyst (chemistry)
synset	11436283	chemical bond
synset	14619658	isotope (Peter 2026-09-03: tritium is also a radioactive substance)
synset	14619857	radioisotope
synset	15002233	radioactive material
# ===== 2026-09-17 review. The pack had the elements and the named substances and was missing
# most of what chemistry is ABOUT: no chemical bond of any kind, no oxidation or reduction,
# no solvent or solute, no hydrocarbon, ester, ketone, aldehyde or amine, and only two of the
# branches of chemistry. WordNet does not tag these with the chemistry topic.
synset	11436748	covalent bond
synset	11437344	ionic bond
synset	11437111	hydrogen bond
synset	13530408	oxidation
synset	13547677	reduction (electrons added) — renamed in names.tsv
synset	15047313	solvent
synset	15047849	solute
synset	14911057	hydrocarbon
synset	14850483	ester
synset	14926294	ketone
synset	14584765	aldehyde
synset	14739004	amine
synset	06079620	biochemistry
synset	06089857	electrochemistry
synset	06089314	inorganic chemistry
synset	06089447	physical chemistry
synset	13468306	distillation (the process)
synset	13448778	chromatography
synset	00648237	titration
