# QID	depth	note — bounded P279 walks for chemistry
Q11344	1	chemical element (the 118)
Q36534	2	chemical reaction
Q44424	1	chemical bond
Q170409	1	functional group
Q11369	1	molecule
Q36496	1	ion
Q11158	1	acid
Q11193	1	base (chemistry)
Q81163	1	polymer
Q11430	1	state of matter
Q169336	1	mixture
Q37756	1	alloy
Q7946	1	mineral
Q11173	0	chemical compound — label only: tens of thousands of direct subclasses; its WordNet members arrive through core.json (P8814)
Q79529	0	chemical substance — label only: tens of thousands of direct subclasses; its WordNet members arrive through core.json (P8814)
Q12140	0	medication — label only: tens of thousands of direct subclasses; its WordNet members arrive through core.json (P8814) (pharmaceutical drug)
