sub	sup	status	for	against
24-karat-gold	chemical-element	accepted	sumo wordnet	
24-karat-gold	gold	accepted	claude wordnet	
24-karat-gold	material	single	sumo	
24-karat-gold	metal	single	wordnet	
24-karat-gold	noble-metal	single	wordnet	
24-karat-gold	part	single	wordnet	
24-karat-gold	phenomenon	single	sumo	
24-karat-gold	substance	accepted	sumo wordnet	
24-karat-gold	universe	single	sumo	
absinthe	mixture	single	opencyc	
acid-value	attribute	accepted	claude-ruling	
acid-value	quantity	single	sumo	
actinide-series	chemical-element	single	sumo	
actinide-series	chemical-group	accepted	claude-ruling	
actinide-series	collection	accepted	claude-ruling	
actinide-series	group	dissented	wordnet	
actinide-series	material	single	sumo	
actinide-series	phenomenon	single	sumo	
actinide-series	substance	single	sumo	
actinide-series	universe	single	sumo	
actinium	chemical-element	accepted	sumo wordnet	
actinium	material	single	sumo	
actinium	metal	single	opencyc	
actinium	part	single	wordnet	
actinium	phenomenon	single	sumo	
actinium	radioactive-material	accepted	claude-ruling	
actinium	substance	accepted	sumo wordnet	
actinium	universe	single	sumo	
activated-carbon	carbon	accepted	claude wordnet	
activated-carbon	chemical-element	accepted	sumo wordnet	
activated-carbon	material	single	sumo	
activated-carbon	part	single	wordnet	
activated-carbon	phenomenon	single	sumo	
activated-carbon	substance	accepted	sumo wordnet	
activated-carbon	universe	single	sumo	
adamant	carbon	single	claude	
adhesive	mixture	single	sumo	
air	mixture	accepted	opencyc sumo	
alcohol	mixture	single	sumo	
alkali-metal	chemical-element	accepted	sumo wordnet	
alkali-metal	material	single	sumo	
alkali-metal	metal	accepted	claude wordnet	
alkali-metal	part	single	wordnet	
alkali-metal	phenomenon	single	sumo	
alkali-metal	substance	accepted	sumo wordnet	
alkali-metal	universe	single	sumo	
alkaline-earth	chemical-element	accepted	sumo wordnet	
alkaline-earth	material	single	sumo	
alkaline-earth	metal	accepted	claude wordnet	
alkaline-earth	part	single	wordnet	
alkaline-earth	phenomenon	single	sumo	
alkaline-earth	substance	accepted	sumo wordnet	
alkaline-earth	universe	single	sumo	
allomerism	change	single	wordnet	
allomerism	event	accepted	sumo wordnet	
allomerism	phenomenon	single	sumo	
allomerism	variation	accepted	claude wordnet	
allotrope	chemical-element	accepted	sumo wordnet	
allotrope	material	single	sumo	
allotrope	part	single	wordnet	
allotrope	phenomenon	single	sumo	
allotrope	substance	accepted	sumo wordnet	
allotrope	universe	single	sumo	
alloy	artifact	single	opencyc	
alloy	material	single	sumo	
alloy	metal	single	opencyc	
alloy	mixture	accepted	opencyc sumo wordnet	
alloy	part	single	wordnet	
alloy	phenomenon	single	sumo	
alloy	product	single	yago	
alloy	substance	accepted	sumo wordnet	
alloy	universe	single	sumo	
alloy-iron	cast-iron	accepted	claude wordnet	
alloy-iron	chemical-element	single	wordnet	
alloy-iron	iron	single	wordnet	
alloy-iron	metal	single	wordnet	
alloy-iron	part	single	wordnet	
alloy-iron	substance	single	wordnet	
alpha-iron	chemical-element	accepted	sumo wordnet	
alpha-iron	iron	accepted	claude wordnet	
alpha-iron	material	single	sumo	
alpha-iron	metal	single	wordnet	
alpha-iron	part	single	wordnet	
alpha-iron	phenomenon	single	sumo	
alpha-iron	substance	accepted	sumo wordnet	
alpha-iron	universe	single	sumo	
alum	aluminum	dissented	wordnet	
alum	chemical	accepted	wikidata wordnet	
alum	chemical-element	accepted	sumo wordnet	
alum	chemical-solution	dissented	wordnet	
alum	compound	accepted	claude wordnet	
alum	material	accepted	sumo wordnet	
alum	metal	single	wordnet	
alum	mixture	single	wordnet	
alum	part	single	wordnet	
alum	phenomenon	single	sumo	
alum	substance	accepted	sumo wordnet	
alum	universe	single	sumo	
americium	artifact	single	opencyc	
americium	chemical-element	accepted	sumo wordnet	
americium	material	single	sumo	
americium	metal	accepted	opencyc wordnet	
americium	part	single	wordnet	
americium	phenomenon	single	sumo	
americium	radioactive-material	accepted	claude-ruling	
americium	substance	accepted	sumo wordnet	
americium	universe	single	sumo	
ammonia-alum	aluminum	dissented	wordnet	
ammonia-alum	chemical	single	wordnet	
ammonia-alum	chemical-element	accepted	sumo wordnet	
ammonia-alum	chemical-solution	dissented	wordnet	
ammonia-alum	compound	accepted	claude wordnet	
ammonia-alum	material	accepted	sumo wordnet	
ammonia-alum	metal	single	wordnet	
ammonia-alum	mixture	single	wordnet	
ammonia-alum	part	single	wordnet	
ammonia-alum	phenomenon	single	sumo	
ammonia-alum	substance	accepted	sumo wordnet	
ammonia-alum	universe	single	sumo	
anticatalyst	material	single	sumo	
anticatalyst	phenomenon	single	sumo	
anticatalyst	substance	accepted	sumo wordnet	
anticatalyst	universe	single	sumo	
antimonial-lead	chemical-element	single	wordnet	
antimonial-lead	lead-metal	accepted	claude wordnet	
antimonial-lead	material	single	sumo	
antimonial-lead	metal	single	wordnet	
antimonial-lead	mixture	single	sumo	
antimonial-lead	part	single	wordnet	
antimonial-lead	phenomenon	single	sumo	
antimonial-lead	substance	accepted	sumo wordnet	
antimonial-lead	universe	single	sumo	
antimony	chemical-element	accepted	sumo wordnet	
antimony	material	single	sumo	
antimony	metal	accepted	claude wordnet	
antimony	part	single	wordnet	
antimony	phenomenon	single	sumo	
antimony	substance	accepted	sumo wordnet	
antimony	universe	single	sumo	
apple-butter	mixture	single	sumo	
argon	chemical-element	accepted	sumo wordnet	
argon	fluid	single	wordnet	
argon	material	single	sumo	
argon	noble-gas	accepted	claude wordnet	
argon	part	single	wordnet	
argon	phenomenon	single	sumo	
argon	substance	accepted	sumo wordnet	
argon	universe	single	sumo	
