kind	sub	sup	detail
single	24-karat-gold	material	only sumo
single	24-karat-gold	metal	only wordnet
single	24-karat-gold	noble-metal	only wordnet
single	24-karat-gold	part	only wordnet
single	24-karat-gold	relation	only wordnet
single	absinthe	mixture	only opencyc
single	acid-value	amount	only wordnet
single	acid-value	definite-quantity	only wordnet
single	acid-value	quantity	only sumo
single	actinide-series	chemical-element	only sumo
single	actinide-series	material	only sumo
single	actinide-series	substance	only sumo
single	actinium	material	only sumo
single	actinium	metal	only opencyc
single	actinium	part	only wordnet
single	actinium	relation	only wordnet
single	activated-carbon	material	only sumo
single	activated-carbon	part	only wordnet
single	activated-carbon	relation	only wordnet
single	adhesive	mixture	only sumo
single	alcohol	mixture	only sumo
single	aldehyde	chemical	only wordnet
single	aldehyde	part	only wordnet
single	aldehyde	relation	only wordnet
single	alkali-metal	material	only sumo
single	alkali-metal	part	only wordnet
single	alkali-metal	relation	only wordnet
single	alkaline-earth	material	only sumo
single	alkaline-earth	part	only wordnet
single	alkaline-earth	relation	only wordnet
single	allomerism	change	only wordnet
single	allotrope	material	only sumo
single	allotrope	part	only wordnet
single	allotrope	relation	only wordnet
single	alloy-iron	chemical-element	only wordnet
single	alloy-iron	iron	only wordnet
single	alloy-iron	metal	only wordnet
single	alloy-iron	part	only wordnet
single	alloy-iron	relation	only wordnet
single	alloy-iron	substance	only wordnet
single	alpha-iron	material	only sumo
single	alpha-iron	metal	only wordnet
single	alpha-iron	part	only wordnet
single	alpha-iron	relation	only wordnet
single	alum	metal	only wordnet
single	alum	mixture	only wordnet
single	alum	part	only wordnet
single	alum	relation	only wordnet
single	americium	artifact	only opencyc
single	americium	material	only sumo
single	americium	part	only wordnet
single	americium	relation	only wordnet
single	amine	chemical	only wordnet
single	amine	part	only wordnet
single	amine	relation	only wordnet
single	ammonia-alum	chemical	only wordnet
single	ammonia-alum	metal	only wordnet
single	ammonia-alum	mixture	only wordnet
single	ammonia-alum	part	only wordnet
single	ammonia-alum	relation	only wordnet
single	anticatalyst	material	only sumo
single	antimonial-lead	chemical-element	only wordnet
single	antimonial-lead	material	only sumo
single	antimonial-lead	metal	only wordnet
single	antimonial-lead	mixture	only sumo
single	antimonial-lead	part	only wordnet
single	antimonial-lead	relation	only wordnet
single	antimony	material	only sumo
single	antimony	part	only wordnet
single	antimony	relation	only wordnet
single	apple-butter	mixture	only sumo
single	apple-juice	mixture	only opencyc
single	argon	fluid	only wordnet
single	argon	material	only sumo
single	argon	part	only wordnet
single	argon	relation	only wordnet
single	arsenic	material	only sumo
single	arsenic	mineral	only opencyc
single	arsenic	part	only wordnet
single	arsenic	relation	only wordnet
single	astatine	chemical	only wikidata
single	astatine	material	only sumo
single	astatine	part	only wordnet
single	astatine	relation	only wordnet
single	atomic-mass	amount	only wordnet
single	atomic-mass	quantity	only sumo
single	atomism	cognition	only wordnet
single	baking-powder	mixture	only wikidata
single	barium	material	only sumo
single	barium	part	only wordnet
single	barium	relation	only wordnet
single	barium-dioxide	barium	only wordnet
single	barium-dioxide	chemical-element	only wordnet
single	barium-dioxide	compound	only sumo
single	barium-dioxide	material	only sumo
single	barium-dioxide	metal	only wordnet
single	barium-dioxide	part	only wordnet
single	barium-dioxide	relation	only wordnet
single	barium-hydroxide	barium	only wordnet
single	barium-hydroxide	chemical-element	only wordnet
single	barium-hydroxide	compound	only sumo
single	barium-hydroxide	material	only sumo
single	barium-hydroxide	metal	only wordnet
single	barium-hydroxide	part	only wordnet
single	barium-hydroxide	relation	only wordnet
single	barium-monoxide	barium	only wordnet
single	barium-monoxide	chemical-element	only wordnet
single	barium-monoxide	compound	only sumo
single	barium-monoxide	material	only sumo
single	barium-monoxide	metal	only wordnet
single	barium-monoxide	part	only wordnet
single	barium-monoxide	relation	only wordnet
single	baryta	chemical-element	only wordnet
single	baryta	compound	only sumo
single	baryta	material	only sumo
single	baryta	metal	only wordnet
single	baryta	part	only wordnet
single	baryta	relation	only wordnet
single	base-metal	material	only sumo
single	base-metal	part	only wordnet
single	base-metal	relation	only wordnet
single	basic-iron	chemical-element	only wordnet
single	basic-iron	iron	only wordnet
single	basic-iron	material	only sumo
single	basic-iron	metal	only wordnet
single	basic-iron	mixture	only sumo
single	basic-iron	part	only wordnet
single	basic-iron	relation	only wordnet
