# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- computing batch 1 (WordNet): wordnet  ---
a-la-carte	menu	accept		06497117	06492939
a-list	list	accept		06485431	06481320
accumulator	register.artifact	accept		02673078	04071876
active-application	application	accept		06570520	06570110
administrative-data-processing	data-processing	accept		13427633	13455487
algebraic-language	algorithmic-language	accept		06898794	06898972
algol	algebraic-language	accept		06901764	06898794
algorithm-error	computer-error	accept		07300781	07299569
algorithmic-language	programming-language	accept		06898972	06898352
allocation	act	accept		00164579	00030358
alpha-software	software	accept		06566805	06566077
alphabet	script	accept		06497459	06351613
alphanumerics	character-set	accept		06500262	06488880
american-standard-code-for-information-interchange	code	accept		06356755	06355894
applet	application	accept		06570647	06570110
arabic-alphabet	alphabet	accept		06500062	06497459
argument.communication	computer-address	reject	an argument is a value passed to a function, not an address	06356299	06356515
argument.communication	value	accept		06356299	05856388
armenian	alphabet	accept		06352117	06497459
assembly-language	programming-language	accept		06899310	06898352
audiotape	magnetic-tape	accept		02757714	03708036
audiotape.artifact	audio	accept		02757810	04262678
audiotape.artifact	tape-recording	accept		02757810	04391838
authoring-language	software	accept		06566949	06566077
automatic-data-processing	data-processing	accept		13436063	13455487
backup	copy	accept		02771840	03104594
backup-file	computer-file	accept		06509513	06509210
batting-order	roster	accept		06486161	06495000
beta-software	software	accept		06567143	06566077
bibliography	list	accept		06486630	06481320
bill-of-entry	bill.communication	accept		06487050	06486874
bill-of-goods	bill.communication	accept		06487172	06486874
bill.communication	list	accept		06486874	06481320
binary-code	code	accept		06357304	06355894
binary-file	computer-file	accept		06509675	06509210
biochip	chip	accept		02841641	03020034
bit-field	field.group	accept		08005761	08005580
bits-per-inch	density	accept		05089048	04941453
blacklist	list	accept		06487260	06481320
briefcase-computer	portable-computer	accept		02900987	03985232
broadcasting	artifact	reject	broadcasting is a communication activity, not a man-made object	06276697	00021939
bubble-jet-printer	ink-jet-printer	accept		02909285	03571942
bug	defect	accept		14464675	14464203
bulletin-board-system	digital-computer	accept		02916684	03196324
c	programming-language	accept		06902696	06898352
c-compiler	compiler	accept		06573934	06573600
cache	buffer	accept		02935017	02911485
calendar.communication	list	accept		06487395	06481320
