# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
python-language	programming-language	accept	computing skeleton [2026-09-03]		
c-plus-plus	programming-language	accept	computing skeleton [2026-09-03]		
c-sharp	programming-language	accept	computing skeleton [2026-09-03]		
clojure	lisp	accept	computing skeleton [2026-09-03]		
elixir-language	programming-language	accept	computing skeleton [2026-09-03]		
elm-language	programming-language	accept	computing skeleton [2026-09-03]		
erlang-language	programming-language	accept	computing skeleton [2026-09-03]		
f-sharp	programming-language	accept	computing skeleton [2026-09-03]		
forth-language	programming-language	accept	computing skeleton [2026-09-03]		
go-language	programming-language	accept	computing skeleton [2026-09-03]		
haskell	programming-language	accept	computing skeleton [2026-09-03]		
javascript	scripting-language	accept	computing skeleton [2026-09-03]		
typescript	programming-language	accept	computing skeleton [2026-09-03]		
julia-language	programming-language	accept	computing skeleton [2026-09-03]		
kotlin	programming-language	accept	computing skeleton [2026-09-03]		
lua	scripting-language	accept	computing skeleton [2026-09-03]		
matlab	programming-language	accept	computing skeleton [2026-09-03]		
nim-language	programming-language	accept	computing skeleton [2026-09-03]		
ocaml	programming-language	accept	computing skeleton [2026-09-03]		
perl	scripting-language	accept	computing skeleton [2026-09-03]		
php	scripting-language	accept	computing skeleton [2026-09-03]		
r-language	programming-language	accept	computing skeleton [2026-09-03]		
ruby-language	programming-language	accept	computing skeleton [2026-09-03]		
rust-language	programming-language	accept	computing skeleton [2026-09-03]		
scala	programming-language	accept	computing skeleton [2026-09-03]		
smalltalk	object-oriented-programming-language	accept	computing skeleton [2026-09-03]		
solidity	programming-language	accept	computing skeleton [2026-09-03]		
swift-language	programming-language	accept	computing skeleton [2026-09-03]		
zig-language	programming-language	accept	computing skeleton [2026-09-03]		
apl	programming-language	accept	computing skeleton [2026-09-03]		
ada-language	programming-language	accept	computing skeleton [2026-09-03]		
datalog	query-language	accept	computing skeleton [2026-09-03]		
datalog	logic-programming	accept	computing skeleton [2026-09-03]		
sparql	query-language	accept	computing skeleton [2026-09-03]		
graphql	query-language	accept	computing skeleton [2026-09-03]		
sql	query-language	accept	computing skeleton [2026-09-03]		
webassembly	bytecode	accept	computing skeleton [2026-09-03]		
java-bytecode	bytecode	accept	computing skeleton [2026-09-03]		
bytecode	machine-code	accept	computing skeleton [2026-09-03]		
postscript	programming-language	accept	computing skeleton [2026-09-03]		
postscript	document-file-format	accept	computing skeleton [2026-09-03]		
tex	typesetting-system	accept	computing skeleton [2026-09-03]		
latex	markup-language	accept	computing skeleton [2026-09-03]		
markdown	markup-language	accept	computing skeleton [2026-09-03]		
restructuredtext	markup-language	accept	computing skeleton [2026-09-03]		
json	data-serialization-format	accept	computing skeleton [2026-09-03]		
yaml	data-serialization-format	accept	computing skeleton [2026-09-03]		
toml	data-serialization-format	accept	computing skeleton [2026-09-03]		
csv	data-serialization-format	accept	computing skeleton [2026-09-03]		
cbor	data-serialization-format	accept	computing skeleton [2026-09-03]		
messagepack	data-serialization-format	accept	computing skeleton [2026-09-03]		
protocol-buffers	data-serialization-format	accept	computing skeleton [2026-09-03]		
apache-avro	data-serialization-format	accept	computing skeleton [2026-09-03]		
apache-parquet	file-format	accept	computing skeleton [2026-09-03]		
hdf5	file-format	accept	computing skeleton [2026-09-03]		
base64	binary-to-text-encoding	accept	computing skeleton [2026-09-03]		
unicode	character-encoding	accept	computing skeleton [2026-09-03]		
unicode	technical-standard	accept	computing skeleton [2026-09-03]		
utf-8	character-encoding	accept	computing skeleton [2026-09-03]		
character-encoding	code	accept	computing skeleton [2026-09-03]		
unicode-block	character-set	accept	computing skeleton [2026-09-03]		
emoji	symbol	accept	computing skeleton [2026-09-03]		
computer-font	data-file	accept	computing skeleton [2026-09-03]		
truetype	font-file-format	accept	computing skeleton [2026-09-03]		
opentype	font-file-format	accept	computing skeleton [2026-09-03]		
png	image-file-format	accept	computing skeleton [2026-09-03]		
gif	image-file-format	accept	computing skeleton [2026-09-03]		
jpeg	image-file-format	accept	computing skeleton [2026-09-03]		
jpeg	compression-format	accept	computing skeleton [2026-09-03]		
webp	image-file-format	accept	computing skeleton [2026-09-03]		
tiff	image-file-format	accept	computing skeleton [2026-09-03]		
bmp-file-format	image-file-format	accept	computing skeleton [2026-09-03]		
svg	image-file-format	accept	computing skeleton [2026-09-03]		
svg	xml	accept	computing skeleton [2026-09-03]		
avif	image-file-format	accept	computing skeleton [2026-09-03]		
heif	image-file-format	accept	computing skeleton [2026-09-03]		
vector-graphics	image	accept	computing skeleton [2026-09-03]		
mp3	audio-file-format	accept	computing skeleton [2026-09-03]		
mp3	audio-coding-format	accept	computing skeleton [2026-09-03]		
flac	audio-file-format	accept	computing skeleton [2026-09-03]		
flac	audio-coding-format	accept	computing skeleton [2026-09-03]		
wav	audio-file-format	accept	computing skeleton [2026-09-03]		
ogg	multimedia-container-format	accept	computing skeleton [2026-09-03]		
mp4	multimedia-container-format	accept	computing skeleton [2026-09-03]		
webm	multimedia-container-format	accept	computing skeleton [2026-09-03]		
