# offset-or-name	reason
06497117	a-la-carte: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06485431	a-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06486161	batting-order: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06486630	bibliography: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06487050	bill-of-entry: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06487172	bill-of-goods: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06486874	bill.communication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06487260	blacklist: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06487395	calendar.communication: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06487610	calorie-chart: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06487729	canon: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06489070	checklist: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06496773	church-roll: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06489190	class-list: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06489560	codex: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06489659	contents: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06489847	corrigenda: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06489968	credits: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
06495220	death-roll: off-topic for a computing pack (everyday lists, telephony, broadcasting, writing systems, recorded music, arithmetic — the last belongs to the mathematics pack) or a WordNet sense too obscure to keep
