# name	media-type	note — GENERATED by tools/align_iana.py from the IANA Media Types registry; do not edit (hand picks and refusals go in iana-picks.tsv). Read by align.py into the `iana` column: the registry is a witness for the format families, never imported. UPPER.md §14.
advanced-audio-coding	audio/aac	pick — audio/aac
advanced-video-coding	video/H264	pick — video/H264
apache-parquet	application/vnd.apache.parquet	pick — application/vnd.apache.parquet
audio-file-format	audio	pick — audio
av1	video/AV1	by name — video/AV1
avif	image/avif	by name — image/avif
bmp-file-format	image/bmp	by name — image/bmp
cbor	application/cbor	by name — application/cbor
css	text/css	by name — text/css
csv	text/csv	by name — text/csv
debian-package	application/vnd.debian.binary-package	pick — application/vnd.debian.binary-package
eml-file-format	message/rfc822	the format of a saved mail message is the message media type itself
epub	application/epub+zip	pick — application/epub+zip
flac	audio/flac	by name — audio/flac
font-file-format	font	RFC 8081 moved fonts out of application/
geojson	application/geo+json	RFC 7946
gif	image/gif	by name — image/gif
gzip-file-format	application/gzip	by name — application/gzip
hdf5	application/vnd.hdfgroup.hdf5	pick — application/vnd.hdfgroup.hdf5
heif	image/heif	by name — image/heif
high-efficiency-video-coding	video/H265	pick — video/H265
html	text/html	by name — text/html
icalendar	text/calendar	RFC 5545
image-file-format	image	IANA's image top-level type is the family of image formats
jpeg	image/jpeg	video/JPEG is the RTP payload, not the file
json	application/json	by name — application/json
json-ld	application/ld+json	pick — application/ld+json
keyhole-markup-language	application/vnd.google-earth.kml+xml	pick — application/vnd.google-earth.kml+xml
markdown	text/markdown	by name — text/markdown
matroska	video/matroska	pick — video/matroska
mbox	application/mbox	by name — application/mbox
message-file-format	message	new in v10: RFC 822 messages and their parts
messagepack	application/vnd.msgpack	pick — application/vnd.msgpack
mp3	audio/mpeg	MPEG-1/2 Audio Layer III has no subtype of its own
mp4	video/mp4	the ISO base-media container as it is normally met
n-triples	application/n-triples	by name — application/n-triples
ogg	application/ogg	the container; audio/ogg and video/ogg are its two payload cases
opentype	font/otf	pick — font/otf
opus-codec	audio/opus	pick — audio/opus
pdf	application/pdf	by name — application/pdf
png	image/png	by name — image/png
postscript	application/postscript	by name — application/postscript
protocol-buffers	application/protobuf	pick — application/protobuf
quicktime-file-format	video/quicktime	by name — video/quicktime
rar	application/vnd.rar	pick — application/vnd.rar
rich-text-format	text/rtf	application/rtf is the older registration of the same format
svg	image/svg+xml	pick — image/svg+xml
text-file-format	text	new in v10: the pack had no class for text/* formats
tiff	image/tiff	by name — image/tiff
toml	application/toml	by name — application/toml
truetype	font/ttf	pick — font/ttf
turtle-syntax	text/turtle	by name — text/turtle
vcard	text/vcard	by name — text/vcard
video-file-format	video	pick — video
vp9	video/VP9	by name — video/VP9
webp	image/webp	by name — image/webp
xml	application/xml	text/xml is the same format served as text (RFC 7303)
yaml	application/yaml	by name — application/yaml
zip-file-format	application/zip	by name — application/zip
