# offset	name	note
06356755	ascii	WordNet 'american-standard-code-for-information-interchange' — a computing sense must not take the everyday word / field suffix removed
06356299	function-argument	WordNet 'argument.communication' — a computing sense must not take the everyday word / field suffix removed
03117420	hardware-counter	WordNet 'counter.artifact' — a computing sense must not take the everyday word / field suffix removed
03243218	storage-drive	WordNet 'drive.artifact' — a computing sense must not take the everyday word / field suffix removed
04071876	processor-register	WordNet 'register.artifact' — a computing sense must not take the everyday word / field suffix removed
04166111	computer-security-system	WordNet 'security-system.artifact' — a computing sense must not take the everyday word / field suffix removed
04588739	gui-window	WordNet 'window.artifact' — a computing sense must not take the everyday word / field suffix removed
06490451	file-directory	WordNet 'directory.communication' — a computing sense must not take the everyday word / field suffix removed
06572482	batch-job	WordNet 'job.communication' — a computing sense must not take the everyday word / field suffix removed
07281099	network-packet	WordNet 'packet.communication' — a computing sense must not take the everyday word / field suffix removed
07478874	system-crash	WordNet 'crash.event' — a computing sense must not take the everyday word / field suffix removed
08005580	data-field	WordNet 'field.group' — a computing sense must not take the everyday word / field suffix removed
11505952	display-resolution	WordNet 'resolution.phenomenon' — a computing sense must not take the everyday word / field suffix removed
13524925	data-operation	WordNet 'operation.process' — a computing sense must not take the everyday word / field suffix removed
13626464	disk-block	WordNet 'block.quantity' — a computing sense must not take the everyday word / field suffix removed
13755053	storage-capacity	WordNet 'capacity.quantity' — a computing sense must not take the everyday word / field suffix removed
06572857	program-loop	WordNet 'loop.communication' — a computing sense must not take the everyday word / field suffix removed
06573223	software-patch	WordNet 'patch.communication' — a computing sense must not take the everyday word / field suffix removed
06579715	web-crawler	WordNet 'wanderer' — a computing sense must not take the everyday word / field suffix removed
06903255	software-upgrade	WordNet 'upgrade.communication' — a computing sense must not take the everyday word / field suffix removed
04513686	hardware-upgrade	WordNet 'upgrade.artifact' — a computing sense must not take the everyday word / field suffix removed
06582761	subroutine-call	WordNet 'call.communication' — a computing sense must not take the everyday word / field suffix removed
06586471	program-link	WordNet 'link.communication' — a computing sense must not take the everyday word / field suffix removed
03578656	hardware-interface	WordNet 'port' — a computing sense must not take the everyday word / field suffix removed
03827107	network-node	WordNet 'client' — a computing sense must not take the everyday word / field suffix removed
07269916	computer-icon	WordNet 'icon' — a computing sense must not take the everyday word / field suffix removed
06581823	microsoft-windows	WordNet 'windows' — a computing sense must not take the everyday word / field suffix removed
06568422	disk-operating-system	WordNet 'dos' — a computing sense must not take the everyday word / field suffix removed
06902696	c-language	WordNet 'c' — a computing sense must not take the everyday word / field suffix removed
06901053	java-language	WordNet 'java' — a computing sense must not take the everyday word / field suffix removed
06903115	pascal-language	WordNet 'pascal' — a computing sense must not take the everyday word / field suffix removed
06280604	command-prompt	WordNet 'prompt' — a computing sense must not take the everyday word / field suffix removed
06132724	software-object	WordNet 'object' — a computing sense must not take the everyday word / field suffix removed
05666700	computer-simulation	WordNet 'simulation' — a computing sense must not take the everyday word / field suffix removed
06128307	telecommunications-engineering	WordNet 'telecommunication' — a computing sense must not take the everyday word / field suffix removed
06494816	queue-data-structure	WordNet 'queue.communication' — a computing sense must not take the everyday word / field suffix removed
02935017	computer-cache	WordNet 'cache' — a computing sense must not take the everyday word / field suffix removed
03348142	network-firewall	WordNet 'firewall' — a computing sense must not take the everyday word / field suffix removed
04175147	computer-server	WordNet 'server' — a computing sense must not take the everyday word / field suffix removed
14464675	software-bug	WordNet 'bug' — a computing sense must not take the everyday word / field suffix removed
02771840	data-backup	WordNet 'backup' — a computing sense must not take the everyday word / field suffix removed
06280347	spam-email	WordNet 'spam' — a computing sense must not take the everyday word / field suffix removed
06573020	malware	WordNet 'malevolent-program' — a computing sense must not take the everyday word / field suffix removed
06585552	trojan-horse-malware	WordNet 'trojan' — a computing sense must not take the everyday word / field suffix removed
03711711	mainframe-computer	WordNet 'mainframe' — a computing sense must not take the everyday word / field suffix removed
04143140	image-scanner	WordNet 'scanner' — a computing sense must not take the everyday word / field suffix removed
03150795	text-cursor	WordNet 'cursor' — a computing sense must not take the everyday word / field suffix removed
06587399	toggle-instruction	WordNet 'toggle' — a computing sense must not take the everyday word / field suffix removed
06586886	macro-instruction	WordNet 'macro' — a computing sense must not take the everyday word / field suffix removed
00164579	memory-allocation	WordNet 'allocation' — a computing sense must not take the everyday word / field suffix removed
05665984	hardware-emulation	WordNet 'emulation' — a computing sense must not take the everyday word / field suffix removed
13553560	search-operation	WordNet 'lookup' — a computing sense must not take the everyday word / field suffix removed
13503908	loop-iteration	WordNet 'looping' — a computing sense must not take the everyday word / field suffix removed
13509042	logical-operation	same WordNet synset is 'logical-operation' in the mathematics pack — one name per identity
13562133	data-storage	WordNet 'storage' (computer science) — the economics pack has the everyday storage synset
06357424	error-correcting-code	same QID (Q55611017) is 'error-correcting-code' in the mathematics pack
04027504	stack-data-structure	WordNet 'push-down-storage' is the same concept as the Wikidata-named 'stack-data-structure' (P8814) or takes an everyday word — one name per identity
06571301	web-browser	WordNet 'browser' is the same concept as the Wikidata-named 'web-browser' (P8814) or takes an everyday word — one name per identity
06575932	program-interpreter	WordNet 'interpreter' is the same concept as the Wikidata-named 'program-interpreter' (P8814) or takes an everyday word — one name per identity
04932875	reduced-instruction-set-computer	WordNet 'reduced-instruction-set-computing' is the same concept as the Wikidata-named 'reduced-instruction-set-computer' (P8814) or takes an everyday word — one name per identity
06570963	executable-file	WordNet 'binary' is the same concept as the Wikidata-named 'executable-file' (P8814) or takes an everyday word — one name per identity
06788262	html	WordNet 'hypertext-markup-language' is the same concept as the Wikidata-named 'html' (P8814) or takes an everyday word — one name per identity
13627114	disk-partition	WordNet 'partition' is the same concept as the Wikidata-named 'disk-partition' (P8814) or takes an everyday word — one name per identity
06581268	translator-program	WordNet 'translator' is the same concept as the Wikidata-named 'translator-program' (P8814) or takes an everyday word — one name per identity
