# name	source	id
computer-science	wikidata	Q21198
theoretical-computer-science	wikidata	Q2878974
software	wikidata	Q7397
computer-programming	wikidata	Q80006
programming-paradigm	wikidata	Q188267
imperative-programming	wikidata	Q275596
declarative-programming	wikidata	Q531152
functional-programming	wikidata	Q193076
object-oriented-programming	wikidata	Q79872
procedural-programming	wikidata	Q1418502
structured-programming	wikidata	Q223335
event-driven-programming	wikidata	Q1135914
reactive-programming	wikidata	Q4354073
concurrent-programming	wikidata	Q128392
logic-programming	wikidata	Q275603
metaprogramming	wikidata	Q661075
generic-programming	wikidata	Q1051282
aspect-oriented-programming	wikidata	Q30267
programming-language	wikidata	Q9143
compiled-language	wikidata	Q651794
interpreted-language	wikidata	Q1993334
scripting-language	wikidata	Q187432
markup-language	wikidata	Q37045
query-language	wikidata	Q845739
domain-specific-language	wikidata	Q691358
assembly-language	wikidata	Q165436
machine-code	wikidata	Q55813
bytecode	wikidata	Q837330
intermediate-representation	wikidata	Q244916
abstract-syntax-tree	wikidata	Q127380
lexer	wikidata	Q3614994
parser	wikidata	Q12758225
compiler	wikidata	Q47506
program-interpreter	wikidata	Q183065
just-in-time-compilation	wikidata	Q110546
linker	wikidata	Q523796
program-loader	wikidata	Q650550
build-automation	wikidata	Q2727468
build-system	wikidata	Q114900460
makefile	wikidata	Q20748783
toolchain	wikidata	Q545406
integrated-development-environment	wikidata	Q13741
text-editor	wikidata	Q131212
debugger	wikidata	Q193231
linter	wikidata	Q139042004
static-program-analysis	wikidata	Q1329550
formal-verification	wikidata	Q173326
type-system	wikidata	Q865760
static-typing	wikidata	Q1940914
dynamic-typing	wikidata	Q1268978
type-inference	wikidata	Q586459
strong-typing	wikidata	Q991202
duck-typing	wikidata	Q374282
data-type	wikidata	Q190087
primitive-data-type	wikidata	Q1188648
integer-data-type	wikidata	Q729138
floating-point-format	wikidata	Q117879
character-string	wikidata	Q184754
boolean-data-type	wikidata	Q520777
character-data-type	wikidata	Q32483
array-data-structure	wikidata	Q186152
associative-array	wikidata	Q80585
record-data-type	wikidata	Q2470517
enumerated-type	wikidata	Q760170
pointer-data-type	wikidata	Q118155
reference-data-type	wikidata	Q121769
null-pointer	wikidata	Q19848926
program-variable	wikidata	Q877977
program-constant	wikidata	Q1284190
program-expression	wikidata	Q778379
program-statement	wikidata	Q613299
control-flow	wikidata	Q868299
conditional-statement	wikidata	Q817862
subroutine	wikidata	Q190686
object-method	wikidata	Q815844
lexical-closure	wikidata	Q535335
higher-order-function	wikidata	Q1474542
lambda-calculus	wikidata	Q242028
anonymous-function	wikidata	Q567612
callback-function	wikidata	Q1205349
coroutine	wikidata	Q1339231
generator-routine	wikidata	Q2565187
iterator	wikidata	Q1326388
exception-handling	wikidata	Q471748
program-assertion	wikidata	Q741248
program-invariant	wikidata	Q385374
postcondition	wikidata	Q360690
design-by-contract	wikidata	Q1200691
computational-side-effect	wikidata	Q1144241
pure-function	wikidata	Q3075265
immutable-object	wikidata	Q23828
referential-transparency	wikidata	Q1754278
lazy-evaluation	wikidata	Q573952
eager-evaluation	wikidata	Q615541
memoization	wikidata	Q1376168
programming-monad	wikidata	Q1579914
type-class	wikidata	Q1375130
algebraic-data-type	wikidata	Q1322511
pattern-matching	wikidata	Q1503724
tail-call	wikidata	Q1340959
garbage-collection	wikidata	Q322202
memory-management	wikidata	Q2308807
memory-leak	wikidata	Q751740
reference-counting	wikidata	Q1352761
manual-memory-management	wikidata	Q6752316
stack-data-structure	wikidata	Q177929
heap-memory	wikidata	Q3515915
call-stack	wikidata	Q759899
buffer-overflow	wikidata	Q19423
integer-overflow	wikidata	Q1423448
undefined-behavior	wikidata	Q1964707
concurrency	wikidata	Q1414548
parallel-computing	wikidata	Q232661
execution-thread	wikidata	Q213092
computer-process	wikidata	Q205663
multithreading	wikidata	Q1952502
race-condition	wikidata	Q616554
deadlock	wikidata	Q623276
mutex	wikidata	Q11342745
semaphore-primitive	wikidata	Q221682
atomic-operation	wikidata	Q25633119
asynchronous-io	wikidata	Q752741
event-loop	wikidata	Q1349935
message-passing	wikidata	Q1859284
actor-model	wikidata	Q344524
software-transactional-memory	wikidata	Q1189004
mapreduce	wikidata	Q567759
distributed-computing	wikidata	Q180634
distributed-system	wikidata	Q3962217
computer-cluster	wikidata	Q206637
grid-computing	wikidata	Q249999
cloud-computing	wikidata	Q483639
infrastructure-as-a-service	wikidata	Q1346018
platform-as-a-service	wikidata	Q1153767
software-as-a-service	wikidata	Q1254596
serverless-computing	wikidata	Q3958022
virtualization	wikidata	Q270471
virtual-machine	wikidata	Q192726
hypervisor	wikidata	Q1077480
software-container	wikidata	Q88465956
kubernetes	wikidata	Q22661306
container-orchestration	wikidata	Q2670993
microservices	wikidata	Q18344624
service-oriented-architecture	wikidata	Q220644
client-server-model	wikidata	Q146813
peer-to-peer	wikidata	Q161410
three-tier-architecture	wikidata	Q2632202
model-view-controller	wikidata	Q44860
software-architecture	wikidata	Q846636
software-design-pattern	wikidata	Q181156
singleton-pattern	wikidata	Q746699
observer-pattern	wikidata	Q818562
factory-method-pattern	wikidata	Q637921
