name	issue	ids
memory-access	name collision with 'access' — (computer science) the operation of reading or writing store	02671224
computer-address	name collision with 'address' — (computer science) the code that identifies where a piece of	06356515
device-driver	name collision with 'driver' — (computer science) a program that determines how a computer 	06574473
computer-error	name collision with 'error' — (computer science) the occurrence of an incorrect result pro	07299569
instruction-execution	name collision with 'execution' — (computer science) the process of carrying out an instructio	13477462
subroutine	name collision with 'routine' — a set sequence of steps, part of larger computer program	06582403
computation	name collision with 'calculation' — the procedure of calculating; determining something by mathe	00868910
algol	wikidata: 2 classes match ['algol']	Q13080 Q188436
applet	opencyc: 2 classes match ['applet']	Mx4rv7msEF4gEdaAAAABAxv-7A Mx4rxcMYaZCdTfKKCTtTNb1vUA
b-tree	wikidata: 2 classes match ['b-tree']	Q285861 Q677051
bios	opencyc: 2 classes match ['bios']	Mx4rv1kH7JwpEbGdrcN5Y29ycA Mx4rvurKzJwpEbGdrcN5Y29ycA
codec	opencyc: 2 classes match ['codec']	Mx4rEtJaD8sgQVWqkzdOzcw72g Mx4rhl2kvry-SeuQRQWImAsi-w
compiler	wikidata: 2 classes match ['compiler']	Q29514511 Q47506
computer-file	opencyc: 3 classes match ['computer-file']	Mx4rvrgHFpwpEbGdrcN5Y29ycA Mx4rwFz9L5wpEbGdrcN5Y29ycA Mx4rwQC9Y5wpEbGdrcN5Y29ycA
internet-service-provider	opencyc: 2 classes match ['internet-service-provider']	Mx4rvhx2A5wpEbGdrcN5Y29ycA Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-ZSW50ZXJuZXQgc2VydmljZSBwcm92aWRlch4rcFSOrlb3EdaAAACQJ5pZBw-kODgwMzMxMWUtNjAyMS00MWQ5LTkxYmUtYjE0NDJkOTJkNzRj
latex	opencyc: 2 classes match ['latex']	Mx4rvViubJwpEbGdrcN5Y29ycA Mx4rwHID1ZwpEbGdrcN5Y29ycA
log-file	opencyc: 2 classes match ['log-file']	Mx4rHT7lr-DjSeu9AmZjnuDJlQ Mx4ru6FVaqlwEdaAAAACs0uFOQ
network-port	opencyc: 2 classes match ['network-port']	Mx4rPots1futQpycZBUudr0OSw Mx4rvwGJ55wpEbGdrcN5Y29ycA
null-pointer	opencyc: 2 classes match ['null-pointer']	Mx4rFz0ZM9i2SEibpfZ4-j_7vg Mx4rhWWa5fFgTPuhYaD9uqG1ew
search-engine	wikidata: 2 classes match ['search-engine']	Q19541 Q4182287
source-code	opencyc: 2 classes match ['source-code']	Mx4rva7pXZwpEbGdrcN5Y29ycA Mx4rwIZO5pwpEbGdrcN5Y29ycA
transitive-closure	wikidata: 2 classes match ['transitive-closure']	Q1501387 Q15851379
videotape	opencyc: 2 classes match ['videotape']	Mx4rvVjRW5wpEbGdrcN5Y29ycA Mx4rvVjqRpwpEbGdrcN5Y29ycA
workstation	opencyc: 2 classes match ['workstation']	Mx4rvVj1LJwpEbGdrcN5Y29ycA Mx4rvVjYTZwpEbGdrcN5Y29ycA
