# kind	offset	note — candidate synsets for the computing pack (Peter's list, 2026-09-03: computing, CS, software engineering, languages, databases incl. functional and Swarm, distributed systems and P2P, web, IR, information theory, networks, Internet, semantic web, KR, knowledge graphs, algorithms not in AI, open source, Linux, Wikipedia/Wikidata, ontologies, data structures, protocols, file formats)
topic	06128570	computer science (170 nouns)
cone	06566077	software (102)
cone	06568978	computer program (66)
cone	06898352	programming language (22)
cone	06355894	computer code (124)
cone	06637824	database (98)
cone	03082979	computer (32)
cone	03085333	computer network (8)
cone	03493333	computer hardware (17)
cone	03744840	memory device (58)
cone	03916720	computer peripheral (10)
cone	03163973	input device
cone	06509210	computer file (13)
cone	06508816	data file (16)
synset	06490451	directory (of files)
cone	13455487	data processing (44)
cone	06271778	telecommunication systems (29)
cone	06787835	markup language
cone	06665108	communications protocol (6)
synset	05728493	data structure
cone	06582403	subroutine (12)
cone	06584891	instruction / statement (9)
synset	06585816	computer virus
synset	06586471	link (computing)
synset	06586672	hyperlink
synset	06358900	web page
synset	06359193	web site
synset	06358747	URL
synset	04604276	World Wide Web
synset	03580615	internet
cone	06279326	electronic mail
synset	06578654	search engine
synset	06571301	web browser
cone	06575227	user interface
cone	06573600	compiler
synset	06575932	interpreter (program)
synset	06577369	parser
cone	06568134	operating system
synset	14464675	bug / glitch
synset	02771840	computer backup
synset	06573223	patch (software)
synset	06903255	upgrade (software)
synset	11505952	resolution (pixels)
synset	03952277	pixel
synset	02995345	CPU
synset	03760310	microprocessor
cone	03020034	microchip (5)
synset	03777754	modem
synset	04114844	router (network)
synset	04175147	server
synset	03681477	LAN
synset	04583477	WAN
synset	06356755	ASCII
synset	06845303	domain name
synset	06134510	information technology
synset	06128307	telecommunication (the branch)
synset	00868910	computation — the cone was dropped 2026-09-03: its hyponyms are arithmetic and belong to the mathematics pack
synset	13504173	iteration (loop)
synset	05848357	recursion
synset	06132724	object (computing)
synset	06636806	data format
synset	06510977	text file
synset	06509675	binary file
synset	06588511	electronic database
synset	06637973	relational database
synset	06567865	freeware
synset	06587596	shareware
