sub	sup	status	for	against
5g	cellular-network	accepted	claude-ruling	
7z	archive-file-format	accepted	claude-ruling	
7z	file-format	accepted	claude wikidata	
a-la-carte	menu	single	claude	
a-list	list	single	claude	
a-star-search	graph-algorithm	accepted	claude-ruling	
abstract-data-type	concept	accepted	claude-ruling	
abstract-data-type	data-type	accepted	claude-ruling wikidata	
abstract-syntax-tree	tree-data-structure	accepted	claude-ruling	
access-control	computer-security	accepted	claude-ruling	
access-control-list	access-control	accepted	claude wikidata	
access-control-list	list	accepted	claude-ruling	
access-time	latency	accepted	claude-ruling	
access-time	quantity	single	sumo	
accumulator-register	artifact	accepted	sumo wordnet	
accumulator-register	component	single	sumo	
accumulator-register	device	accepted	sumo wordnet	
accumulator-register	mechanism	single	sumo	
accumulator-register	phenomenon	single	sumo	
accumulator-register	physical-object	single	wordnet	
accumulator-register	processor-register	accepted	claude wordnet	
accumulator-register	universe	single	sumo	
acid-transaction-properties	property	accepted	claude-ruling	
acoustic-storage	artifact	accepted	sumo wordnet	
acoustic-storage	device	accepted	sumo wordnet	
acoustic-storage	phenomenon	single	sumo	
acoustic-storage	physical-object	single	wordnet	
acoustic-storage	universe	single	sumo	
active-application	application	accepted	claude wordnet	
active-application	code	accepted	sumo wordnet	
active-application	computer-program	accepted	sumo wordnet	
active-application	information	single	wordnet	
active-application	measure	single	sumo	
active-application	routine	single	sumo	
active-application	signified	single	sumo	
active-application	software	single	wordnet	
activitypub	communications-protocol	accepted	claude-ruling	
actor-model	model-of-computation	accepted	claude-ruling	
ada-language	programming-language	accepted	claude-ruling	
adjacency-list	graph-data-structure	accepted	claude-ruling	
adjacency-matrix	array-data-structure	single	wikidata	
adjacency-matrix	data-structure	single	wikidata	
adjacency-matrix	graph-data-structure	accepted	claude-ruling	
adjacency-matrix	matrix	accepted	claude wikidata	
administrative-data-processing	accomplishment	single	sumo	
administrative-data-processing	act	single	sumo	
administrative-data-processing	activity	single	sumo	
administrative-data-processing	data-processing	accepted	claude wordnet	
administrative-data-processing	event	single	sumo	
administrative-data-processing	phenomenon	single	sumo	
administrative-data-processing	procedure	single	sumo	
administrative-data-processing	process	single	wordnet	
administrative-data-processing	volition	single	sumo	
admission	authorization	single	opencyc	
advanced-audio-coding	audio-coding-format	accepted	claude-ruling	
advanced-video-coding	video-coding-format	accepted	claude-ruling	
agile-software-development	computer-programming	accepted	claude wikidata	
agile-software-development	skill	single	wikidata	
agile-software-development	software-development-methodology	accepted	claude-ruling	
album	hard-copy	single	sumo	
algebraic-data-type	data-type	accepted	claude-ruling wikidata	
algebraic-language	algorithmic-language	accepted	claude wordnet	
algebraic-language	information	accepted	sumo wordnet	
algebraic-language	language	accepted	sumo wordnet	
algebraic-language	line-of-text	single	sumo	
algebraic-language	phenomenon	single	sumo	
algebraic-language	programming-language	single	wordnet	
algebraic-language	universe	single	sumo	
algol	algebraic-language	accepted	claude wordnet	
algol	algorithmic-language	single	wordnet	
algol	information	accepted	sumo wordnet	
algol	language	accepted	sumo wordnet	
algol	line-of-text	single	sumo	
algol	phenomenon	single	sumo	
algol	programming-language	single	wordnet	
algol	universe	single	sumo	
algorithm	information	single	opencyc	
algorithm	procedure	accepted	claude-ruling	
algorithm-error	computer-error	accepted	claude wordnet	
algorithm-error	event	single	wordnet	
algorithmic-language	information	accepted	sumo wordnet	
algorithmic-language	language	accepted	sumo wordnet	
algorithmic-language	line-of-text	single	sumo	
algorithmic-language	phenomenon	single	sumo	
algorithmic-language	programming-language	accepted	claude wordnet	
algorithmic-language	universe	single	sumo	
alpha-software	code	accepted	sumo wordnet	
alpha-software	computer-program	single	sumo	
alpha-software	information	single	wordnet	
alpha-software	measure	single	sumo	
alpha-software	routine	single	sumo	
alpha-software	signified	single	sumo	
alpha-software	software	accepted	claude wordnet	
alphabet	character	single	sumo	
alphabet	character-set	accepted	sumo wordnet	
alphabet	information	accepted	sumo wordnet	
alphabet	list	single	wordnet	
alphabet	phenomenon	single	sumo	
alphabet	script	accepted	claude wordnet	
alphabet	symbol	single	sumo	
alphabet	universe	single	sumo	
