# media-type	concept	family	what the registry will witness (concept ⊑ family) — read this before believing it
audio/aac	advanced-audio-coding	audio-file-format	advanced-audio-coding ⊑ audio-file-format
video/H264	advanced-video-coding	video-file-format	advanced-video-coding ⊑ video-file-format
application/vnd.apache.parquet	apache-parquet	-	top level unaligned: witnesses nothing
video/AV1	av1	video-file-format	av1 ⊑ video-file-format
image/avif	avif	image-file-format	avif ⊑ image-file-format
image/bmp	bmp-file-format	image-file-format	bmp-file-format ⊑ image-file-format
application/cbor	cbor	-	top level unaligned: witnesses nothing
text/css	css	text-file-format	css ⊑ text-file-format
text/csv	csv	text-file-format	csv ⊑ text-file-format
application/vnd.debian.binary-package	debian-package	-	top level unaligned: witnesses nothing
message/rfc822	eml-file-format	message-file-format	eml-file-format ⊑ message-file-format
application/epub+zip	epub	-	top level unaligned: witnesses nothing
audio/flac	flac	audio-file-format	flac ⊑ audio-file-format
application/geo+json	geojson	-	top level unaligned: witnesses nothing
image/gif	gif	image-file-format	gif ⊑ image-file-format
application/gzip	gzip-file-format	-	top level unaligned: witnesses nothing
application/vnd.hdfgroup.hdf5	hdf5	-	top level unaligned: witnesses nothing
image/heif	heif	image-file-format	heif ⊑ image-file-format
video/H265	high-efficiency-video-coding	video-file-format	high-efficiency-video-coding ⊑ video-file-format
text/html	html	text-file-format	html ⊑ text-file-format
text/calendar	icalendar	text-file-format	icalendar ⊑ text-file-format
image/jpeg	jpeg	image-file-format	jpeg ⊑ image-file-format
application/json	json	-	top level unaligned: witnesses nothing
application/ld+json	json-ld	-	top level unaligned: witnesses nothing
application/vnd.google-earth.kml+xml	keyhole-markup-language	-	top level unaligned: witnesses nothing
text/markdown	markdown	text-file-format	markdown ⊑ text-file-format
video/matroska	matroska	video-file-format	matroska ⊑ video-file-format
application/mbox	mbox	-	top level unaligned: witnesses nothing
application/vnd.msgpack	messagepack	-	top level unaligned: witnesses nothing
audio/mpeg	mp3	audio-file-format	mp3 ⊑ audio-file-format
video/mp4	mp4	video-file-format	mp4 ⊑ video-file-format
application/n-triples	n-triples	-	top level unaligned: witnesses nothing
application/ogg	ogg	-	top level unaligned: witnesses nothing
font/otf	opentype	font-file-format	opentype ⊑ font-file-format
audio/opus	opus-codec	audio-file-format	opus-codec ⊑ audio-file-format
application/pdf	pdf	-	top level unaligned: witnesses nothing
image/png	png	image-file-format	png ⊑ image-file-format
application/postscript	postscript	-	top level unaligned: witnesses nothing
application/protobuf	protocol-buffers	-	top level unaligned: witnesses nothing
video/quicktime	quicktime-file-format	video-file-format	quicktime-file-format ⊑ video-file-format
application/vnd.rar	rar	-	top level unaligned: witnesses nothing
text/rtf	rich-text-format	text-file-format	rich-text-format ⊑ text-file-format
image/svg+xml	svg	image-file-format	svg ⊑ image-file-format
image/tiff	tiff	image-file-format	tiff ⊑ image-file-format
application/toml	toml	-	top level unaligned: witnesses nothing
font/ttf	truetype	font-file-format	truetype ⊑ font-file-format
text/turtle	turtle-syntax	text-file-format	turtle-syntax ⊑ text-file-format
text/vcard	vcard	text-file-format	vcard ⊑ text-file-format
video/VP9	vp9	video-file-format	vp9 ⊑ video-file-format
image/webp	webp	image-file-format	webp ⊑ image-file-format
application/xml	xml	-	top level unaligned: witnesses nothing
application/yaml	yaml	-	top level unaligned: witnesses nothing
application/zip	zip-file-format	-	top level unaligned: witnesses nothing
