kind	sub	sup	detail
disputed	computer-language	programming-language	for wordnet; reversed by opencyc yago
single	access-time	quantity	only sumo
single	accumulator-register	component	only sumo
single	accumulator-register	mechanism	only sumo
single	accumulator-register	physical-object	only wordnet
single	acoustic-storage	physical-object	only wordnet
single	active-application	information	only wordnet
single	active-application	measure	only sumo
single	active-application	routine	only sumo
single	active-application	software	only wordnet
single	adjacency-matrix	array-data-structure	only wikidata
single	adjacency-matrix	data-structure	only wikidata
single	administrative-data-processing	accomplishment	only sumo
single	administrative-data-processing	act	only sumo
single	administrative-data-processing	activity	only sumo
single	administrative-data-processing	event	only sumo
single	administrative-data-processing	procedure	only sumo
single	administrative-data-processing	process	only wordnet
single	administrative-data-processing	volition	only sumo
single	admission	authorization	only opencyc
single	agile-software-development	skill	only wikidata
single	album	hard-copy	only sumo
single	algebraic-language	line-of-text	only sumo
single	algebraic-language	programming-language	only wordnet
single	algol	algorithmic-language	only wordnet
single	algol	line-of-text	only sumo
single	algol	programming-language	only wordnet
single	algorithm	information	only opencyc
single	algorithm-error	event	only wordnet
single	algorithmic-language	line-of-text	only sumo
single	alpha-software	computer-program	only sumo
single	alpha-software	information	only wordnet
single	alpha-software	measure	only sumo
single	alpha-software	routine	only sumo
single	alphabet	character	only sumo
single	alphabet	list	only wordnet
single	alphabet	symbol	only sumo
single	alphanumerics	information	only wordnet
single	alphanumerics	list	only wordnet
single	analog-computer	physical-object	only wordnet
single	android	artifact	only opencyc
single	android	device	only opencyc
single	anonymous-ftp	attribute	only sumo
single	anonymous-ftp	communications-protocol	only wordnet
single	anonymous-ftp	information	only wordnet
single	anonymous-ftp	normal	only sumo
single	anonymous-ftp	property	only sumo
single	anti-virus-program	information	only wordnet
single	anti-virus-program	measure	only sumo
single	anti-virus-program	routine	only sumo
single	anti-virus-program	software	only wordnet
single	antivirus-software	information	only yago
single	applet	information	only wordnet
single	applet	measure	only sumo
single	applet	routine	only sumo
single	archive-file	information	only yago
single	arithmetic-coding	data-compression	only wikidata
single	ascii	information	only wordnet
single	ascii-character-set	character	only sumo
single	ascii-character-set	information	only sumo
single	ascii-character-set	symbol	only sumo
single	ascii-text-file	computer-file	only wordnet
single	ascii-text-file	data-file	only wordnet
single	ascii-text-file	indication	only wordnet
single	ascii-text-file	information	only wordnet
single	aspect-oriented-programming	skill	only wikidata
single	assembler	information	only wordnet
single	assembler	measure	only sumo
single	assembler	routine	only sumo
single	assembler	software	only wordnet
single	assembly-language	line-of-text	only sumo
single	asterisk	character-set	only sumo
single	asynchronous-operation	accomplishment	only sumo
single	asynchronous-operation	act	only sumo
single	asynchronous-operation	activity	only sumo
single	asynchronous-operation	data-processing	only wordnet
single	asynchronous-operation	event	only sumo
single	asynchronous-operation	procedure	only sumo
single	asynchronous-operation	process	only wordnet
single	asynchronous-operation	volition	only sumo
single	audio-cd	artifact	only wordnet
single	audio-cd	device	only wordnet
single	audio-cd	optical-disk	only wordnet
single	audio-cd	physical-object	only wordnet
single	audio-cd	recording	only wordnet
single	authoring-language	computer-program	only sumo
single	authoring-language	information	only wordnet
single	authoring-language	measure	only sumo
single	authoring-language	routine	only sumo
single	authorization	action	only opencyc
