# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- economics batch 1: wordnet  ---
accrual-basis	transaction-record	accept		13406638	13403643
adjusting-entry	entry	accept		13405480	13405296
advertising	commercial-enterprise	accept		01101329	01094725
agribusiness	commercial-enterprise	accept		01104406	01094725
air-transportation	transportation	accept		01105635	01105259
airdrop	bringing	accept		00317709	00317207
airfare	fare	accept		13308336	13308147
airline	line.artifact	accept		02690081	03671473
amortization	payment	accept		01121070	01120448
analytical-review	limited-review	accept		13411785	13411533
anchorage	fee	accept		13320691	13320168
animal-husbandry	farming	accept		00917211	00916464
ante	stake	accept		13343917	13343526
aquaculture	cultivation	accept		00916147	00915722
arbitrage	investing	accept		01093965	01099436
arboriculture	farming	accept		00917614	00916464
arrears	debt	accept		13397443	13397174
art-dealer	trader	accept		09810983	10720453
assurance.possession	possession	accept		13345286	00032613
audited-account	transaction-record	accept		13411157	13403643
authorized-shares	share-capital	accept		13342398	13333833
automobile-insurance	possession	accept		13345403	00032613
autosexing	breeding	accept		00915347	00914929
bad-debt	debt	accept		13398768	13397174
baker	merchant	accept		09833651	10309896
bale	bundle	accept		02778456	02919414
bank-account	state	reject	a fund held for a customer	13359690	00024720
bank-card	credit-card	accept		13376426	13376012
bank-loan	loan	accept		13374597	13398953
banking	finance.act	accept		01100273	01098698
barter	interchange	accept		01109687	01093085
barterer	trader	accept		09841400	10720453
bear-market	organization	reject	a market condition, not a group of people	08073130	08008335
beekeeping	cultivation	accept		00916285	00915722
bibliopole	trader	accept		09852826	10720453
bill-of-lading	receipt	accept		06520742	06520222
bond	legal-document	accept		13417410	06479665
bond-issue	bond	accept		13337471	13417410
bond-trading	trading	accept		00079603	00079398
bookdealer	merchant	accept		09865838	10309896
bootlegging	merchandising	accept		00092663	01113068
bootlegging.act	merchandising	accept		00092847	01113068
boring	production.act	accept		00923130	00913705
borrowing-cost	outgo	accept		13302201	13275288
breeding	production.act	accept		00914929	00913705
brewing	production.act	accept		00915140	00913705
bringing	transport	accept		00317207	00315986
brokerage-account	state	reject	same	13351457	00024720
bull-market	organization	reject	same	08073243	08008335
bus-fare	fare	accept		13308432	13308147
business-interruption-insurance	possession	accept		13345962	00032613
butcher	merchant	accept		09884391	10309896
butchery	commercial-enterprise	accept		00620424	01094725
buying	purchase	accept		00081572	00079018
cab-fare	fare	accept		13308543	13308147
cable-railway	railway	accept		02934641	04048568
call-loan	loan	accept		13399275	13398953
call-option	purchase-option	accept		00080743	13241600
capital-account	account	accept		13355656	13354985
capital-account.possession	account	accept		13355504	13354985
capital-expenditure	outgo	accept		13278275	13275288
carriage-trade	commerce	accept		01106715	01090446
carry	transport	accept		00318735	00315986
