# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
bear-market	state	accept	a market condition [2026-09-03]	08073130	00024720
bull-market	state	accept	a market condition [2026-09-03]	08073243	00024720
money-market	market	accept	a market for short-term debt [2026-09-03]	08073601	
bank-account	possession	accept	a fund entrusted to a bank [2026-09-03]	13359690	00032613
brokerage-account	possession	accept	economics skeleton [2026-09-03]	13351457	00032613
short-account	possession	accept	economics skeleton [2026-09-03]	13929336	00032613
debit-card	device	accept	a payment card [2026-09-03]	13376764	03183080
smart-card	device	accept	economics skeleton [2026-09-03]	13377003	03183080
depreciation	expense	accept	an accounting expense [2026-09-03]	13328357	13275495
moral-hazard	concept	accept	contract theory [2026-09-03]	14542579	05835747
game-theory	concept	accept	economics skeleton [2026-09-03]	06150222	05835747
share	financial-interest	accept	a portion of a company's capital [2026-09-03]	13342135	13286801
company-dividend	payment-amount	accept	a distribution to shareholders [2026-09-03]	13408023	13278375
earning-per-share	concept	accept	a per-share ratio [2026-09-03]	13259481	05835747
markup	concept	accept	the amount added to cost [2026-09-03]	13303880	05835747
store	possession	accept	a supply kept for future use [2026-09-03]	13367070	00032613
backlog	store	accept	economics skeleton [2026-09-03]	13368052	13367070
credit-card	device	accept	a payment card [2026-09-03]	13376012	03183080
compensation	payment-amount	accept	payment for loss or service [2026-09-03]	13282550	13278375
fund	possession	accept	a reserve of money [2026-09-03]	13358549	00032613
budget	information	accept	a plan for spending [2026-09-03]	13421832	00033020
token-money	money	accept	economics skeleton [2026-09-03]	13385778	13384877
rate	concept	accept	a charge relative to a base [2026-09-03]	13325010	05835747
deposit	possession	accept	money placed in a bank [2026-09-03]	13381145	00032613
hire-purchase	contract	accept	an installment contract [2026-09-03]	13296752	06520944
guaranty	contract	accept	an agreement to answer for another's debt [2026-09-03]	13353004	06520944
marginal-utility	concept	accept	a concept of microeconomics [2026-09-03]	13580228	05835747
utility	concept	accept	the quantity maximized in economics [2026-09-03]	13580058	05835747
money-market	concept	accept	a market for short-term debt; no placed market node yet [2026-09-03]	08073601	05835747
cut-rate-sale	event	accept	a sales event [2026-09-03]	01117723	00029378
emolument	payment-amount	accept	economics skeleton [2026-09-03]	13290285	13278375
divvy	company-dividend	accept	kinds of dividend / fund [2026-09-03]	13408641	13273836
equalizing-dividend	company-dividend	accept	kinds of dividend / fund [2026-09-03]	13408473	13273836
extra-dividend	company-dividend	accept	kinds of dividend / fund [2026-09-03]	13408361	13273836
stock-dividend	company-dividend	accept	kinds of dividend / fund [2026-09-03]	13408256	13273836
