# offset-or-name	reason
00916464	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: farming
00917211	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: animal-husbandry
00916147	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: aquaculture
00917614	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: arboriculture
00915347	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: autosexing
00916285	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: beekeeping
00914929	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: breeding
00915140	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: brewing
00923130	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: boring
00915497	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: cattle-breeding
00317485	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: cattle-drive
00917961	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: cranberry-culture
13085864	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: crop
00915722	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: cultivation
00916023	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: cultivation.act
00917759	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: culture.act
00918289	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: dairying
00915574	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: dog-breeding
00919201	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: drip-culture
00921399	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: flower-gardening
00918383	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: gardening
00915646	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: horse-breeding
00918976	out of scope (agriculture, industry, government, gambling, slang, illicit trade, welfare) or an everyday sense: hydroponics
