# offset	name	note
00913705	economic-production	sense-qualified (everyday-word rule) 2026-09-03
14444326	market-monopoly	sense-qualified (everyday-word rule) 2026-09-03
13355504	equity-account	sense-qualified (everyday-word rule) 2026-09-03
13332820	goodwill-asset	sense-qualified (everyday-word rule) 2026-09-03
00914632	production-output	sense-qualified (everyday-word rule) 2026-09-03
00914795	production-capacity	sense-qualified (everyday-word rule) 2026-09-03
01091905	commercial-trade	sense-qualified (everyday-word rule) 2026-09-03
01093085	monetary-exchange	sense-qualified (everyday-word rule) 2026-09-03
01093380	currency-conversion	sense-qualified (everyday-word rule) 2026-09-03
01098698	financial-services	sense-qualified (everyday-word rule) 2026-09-03
01104174	unit-load-packaging	sense-qualified (everyday-word rule) 2026-09-03
01106587	ferry-transport	sense-qualified (everyday-word rule) 2026-09-03
13272283	purchase-incentive	sense-qualified (everyday-word rule) 2026-09-03
13274092	price-adjustment	sense-qualified (everyday-word rule) 2026-09-03
13279046	overpaid-amount	sense-qualified (everyday-word rule) 2026-09-03
13279162	underpaid-amount	sense-qualified (everyday-word rule) 2026-09-03
13282007	recompense-payment	sense-qualified (everyday-word rule) 2026-09-03
13282161	refund-amount	sense-qualified (everyday-word rule) 2026-09-03
13283764	reward-payment	sense-qualified (everyday-word rule) 2026-09-03
13292613	reparation-payment	sense-qualified (everyday-word rule) 2026-09-03
13292989	residual-payment	sense-qualified (everyday-word rule) 2026-09-03
13293377	expense-allowance	sense-qualified (everyday-word rule) 2026-09-03
13349997	debt-satisfaction	sense-qualified (everyday-word rule) 2026-09-03
13351278	margin-deposit	sense-qualified (everyday-word rule) 2026-09-03
13278375	payment-amount	sense-qualified (everyday-word rule) 2026-09-03
13303315	purchase-price	sense-qualified (everyday-word rule) 2026-09-03
13306870	price-charged	sense-qualified (everyday-word rule) 2026-09-03
13324826	postage-charge	sense-qualified (everyday-word rule) 2026-09-03
13324912	weight-charge	sense-qualified (everyday-word rule) 2026-09-03
13326021	stowage-charge	sense-qualified (everyday-word rule) 2026-09-03
13326103	tankage-charge	sense-qualified (everyday-word rule) 2026-09-03
13326198	freight-charge	sense-qualified (everyday-word rule) 2026-09-03
13367448	provisions-store	sense-qualified (everyday-word rule) 2026-09-03
13368318	reserve-stock	sense-qualified (everyday-word rule) 2026-09-03
13369857	pooled-fund	sense-qualified (everyday-word rule) 2026-09-03
13408023	company-dividend	sense-qualified (everyday-word rule) 2026-09-03
13400150	loan-point	sense-qualified (everyday-word rule) 2026-09-03
13286801	financial-interest	sense-qualified (everyday-word rule) 2026-09-03
13242239	stock-option-contract	sense-qualified (everyday-word rule) 2026-09-03
13242410	buy-option	sense-qualified (everyday-word rule) 2026-09-03
13242484	sell-option	sense-qualified (everyday-word rule) 2026-09-03
13345286	assurance-insurance	sense-qualified (everyday-word rule) 2026-09-03
13343284	pyramiding	sense-qualified (everyday-word rule) 2026-09-03
06522501	charter-contract	sense-qualified (everyday-word rule) 2026-09-03
06526619	concession-contract	sense-qualified (everyday-word rule) 2026-09-03
06526811	franchise-agreement	sense-qualified (everyday-word rule) 2026-09-03
03671473	carrier-company	sense-qualified (everyday-word rule) 2026-09-03
14445072	market-corner	sense-qualified (everyday-word rule) 2026-09-03
01119116	distress-sale	sense-qualified (everyday-word rule) 2026-09-03
00317207	goods-delivery	sense-qualified (everyday-word rule) 2026-09-03
00318186	postal-delivery	sense-qualified (everyday-word rule) 2026-09-03
13349662	deposit-payment	sense-qualified (everyday-word rule) 2026-09-03
13275288	expenditure	sense-qualified (everyday-word rule) 2026-09-03
13403643	accounting-record	sense-qualified (everyday-word rule) 2026-09-03
13347750	tontine	sense-qualified (everyday-word rule) 2026-09-03
13386465	cash-payment	prompt payment in cash
13305262	actual-purchase-price	the price actually paid
13366693	retained-earnings	the plain word is everyday (second-pass rule) 2026-09-03
01104637	construction-industry	the plain word is everyday (second-pass rule) 2026-09-03
09927305	dry-cleaner	the plain word is everyday (second-pass rule) 2026-09-03
01112885	distribution-business	the plain word is everyday (second-pass rule) 2026-09-03
13405296	accounting-entry	the plain word is everyday (second-pass rule) 2026-09-03
01106460	express-delivery	the plain word is everyday (second-pass rule) 2026-09-03
00454121	fishing-industry	the plain word is everyday (second-pass rule) 2026-09-03
13336368	share-float	the plain word is everyday (second-pass rule) 2026-09-03
06526124	floater-policy	the plain word is everyday (second-pass rule) 2026-09-03
06529879	indent-order	the plain word is everyday (second-pass rule) 2026-09-03
01105737	shipping-traffic	the plain word is everyday (second-pass rule) 2026-09-03
13400662	loan-principal	the plain word is everyday (second-pass rule) 2026-09-03
13325010	charge-rate	the plain word is everyday (second-pass rule) 2026-09-03
01119620	asset-realization	the plain word is everyday (second-pass rule) 2026-09-03
13367070	stored-supply	the plain word is everyday (second-pass rule) 2026-09-03
06520429	ticket-stub	the plain word is everyday (second-pass rule) 2026-09-03
13394326	treasury-security	the plain word is everyday (second-pass rule) 2026-09-03
13323988	tuition-fee	the plain word is everyday (second-pass rule) 2026-09-03
13580058	economic-utility	the plain word is everyday (second-pass rule) 2026-09-03
00317709	aerial-delivery	the plain word is everyday (second-pass rule) 2026-09-03
13320691	anchorage-fee	the plain word is everyday (second-pass rule) 2026-09-03
00620424	butcher-business	the plain word is everyday (second-pass rule) 2026-09-03
13350182	earnest-payment	the plain word is everyday (second-pass rule) 2026-09-03
13419325	convertible-security	the plain word is everyday (second-pass rule) 2026-09-03
13322343	refresher-fee	the plain word is everyday (second-pass rule) 2026-09-03
13326871	footage-rate	the plain word is everyday (second-pass rule) 2026-09-03
13326975	linage-rate	the plain word is everyday (second-pass rule) 2026-09-03
00081174	option-straddle	the plain word is everyday (second-pass rule) 2026-09-03
13296460	payback-return	the plain word is everyday (second-pass rule) 2026-09-03
13396861	dues	the plain word is everyday 2026-09-03
13299804	debt-redemption	the plain word is everyday 2026-09-03
06530255	repeat-order	the plain word is everyday 2026-09-03
13274597	deducted-amount	the plain word is everyday 2026-09-03
13323102	pipage-fee	core's pipage is the tube (goods layer); this is the fee for using pipes
