name	issue	ids
limited-review	name collision with 'review' — (accounting) a service (less exhaustive than an audit) that 	13411533
merchandising	name collision with 'selling' — the exchange of goods for an agreed sum of money	01113068
deferred-payment	name collision with 'credit' — arrangement for deferred payment for goods and services	13374281
unearned-revenue	name collision with 'unearned-income' — personal income that you did not earn (e.g., dividends or in	13261597
guaranty	name collision with 'guarantee' — a collateral agreement to answer for the debt of another in 	13353004
credit-entry	name collision with 'credit' — an accounting entry acknowledging income or capital items	13405646
stock-warrant	name collision with 'warrant' — a type of security issued by a corporation (usually together	13418219
advertising	opencyc: 2 classes match ['advertising']	Mx4rLYFgxwhuEduVMwDggVaqog Mx4rwQr8FJwpEbGdrcN5Y29ycA
annuity	wikidata: 2 classes match ['annuity']	Q215579 Q6501288
balance-sheet	opencyc: 2 classes match ['balance-sheet']	Mx4rdKkFlsdJQV6hebrHj6ucSg Mx4rvVjQg5wpEbGdrcN5Y29ycA
dumping	opencyc: 2 classes match ['dumping']	Mx4rimOiMrjlEdmAAAACs6hRjg Mx4ruH88vLjlEdmAAAACs6hRjg
earnings	opencyc: 2 classes match ['earnings']	Mx4rvVjLKZwpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVjU2JwpEbGdrcN5Y29ycB4rlvN8sCQ4EduAAADggVbxzR4rvVjQNpwpEbGdrcN5Y29ycA
insurance	wikidata: 2 classes match ['insurance']	Q112130247 Q43183
insurance	opencyc: 3 classes match ['insurance']	Mx4r4EyHQQhxEduVMgDggVaqog Mx4rLYABNQhuEduVMwDggVaqog Mx4rvVjirZwpEbGdrcN5Y29ycA
interest-rate	opencyc: 2 classes match ['interest-rate']	Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVjrf5wpEbGdrcN5Y29ycB4rv8NRy5wpEbGdrcN5Y29ycB4rvVivo5wpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVjrwpwpEbGdrcN5Y29ycB4rv8NRy5wpEbGdrcN5Y29ycB4rvVivo5wpEbGdrcN5Y29ycA
inventory	opencyc: 2 classes match ['inventory']	Mx4rd9nLoMCDEdmAAAACs6hRjg Mx4rvViOoJwpEbGdrcN5Y29ycA
market	wikidata: 2 classes match ['market']	Q132510 Q37654
market	opencyc: 2 classes match ['market']	Mx4rwQrqCZwpEbGdrcN5Y29ycA Mx8Ngh4rgOxtTBD1EduAAADggVbxzR4rvldq0ZwpEbGdrcN5Y29ycA
portfolio	wikidata: 2 classes match ['portfolio']	Q5340806 Q95975598
remuneration	wikidata: 2 classes match ['remuneration']	Q10713581 Q1742093
shareholder	opencyc: 2 classes match ['shareholder']	Mx4rGQTlOjATQdiJmN-pF9DKuA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViknpwpEbGdrcN5Y29ycB4rvVjDRZwpEbGdrcN5Y29ycB4rvViSlZwpEbGdrcN5Y29ycA
stakeholder	wikidata: 2 classes match ['stakeholder']	Q43786211 Q852998
stock-exchange	opencyc: 2 classes match ['stock-exchange']	Mx4rv8fT0JwpEbGdrcN5Y29ycA Mx4rvViBn5wpEbGdrcN5Y29ycA
stock-option	opencyc: 2 classes match ['stock-option']	Mx4rwNyTtpwpEbGdrcN5Y29ycA Mx8NhB4rwP1IC5wpEbGdrcN5Y29ycB4rvWnTEJwpEbGdrcN5Y29ycB4rvYWq2ZwpEbGdrcN5Y29ycB4rvVivc5wpEbGdrcN5Y29ycA
subscription	wikidata: 2 classes match ['subscription']	Q131582995 Q322948
vendor	opencyc: 2 classes match ['vendor']	Mx4rvVkIkpwpEbGdrcN5Y29ycA Mx4rvj_RK5wpEbGdrcN5Y29ycA
