sub	sup	status	for	against
51-percent-attack	act	accepted	claude-ruling	
accounting-entry	artifact	single	sumo	
accounting-entry	contract-condition	single	sumo	
accounting-entry	indication	single	sumo	
accounting-entry	information	accepted	sumo wordnet	
accounting-entry	line-of-text	single	sumo	
accounting-entry	phenomenon	single	sumo	
accounting-entry	physical-object	single	sumo	
accounting-entry	text	single	sumo	
accounting-entry	transaction-record	accepted	claude wordnet	
accounting-entry	universe	single	sumo	
accounts-payable	debt	accepted	claude-ruling	
accounts-receivable	asset	accepted	claude-ruling	
accredited-investor	businessman	single	wikidata	
accredited-investor	investor	accepted	claude claude-ruling wikidata	
accredited-investor	worker	single	wikidata	
accrual	concept	accepted	claude-ruling	
accrual-basis	information	single	wordnet	
accrual-basis	measure	single	sumo	
accrual-basis	routine	single	sumo	
accrual-basis	signified	single	sumo	
accrual-basis	transaction-record	accepted	claude wordnet	
active-management	asset-management	accepted	claude wikidata	
active-management	business-model	single	wikidata	
active-management	financial-services	single	wikidata	
active-management	goods	single	wikidata	
active-management	goods-and-services	single	wikidata	
active-management	investing	accepted	claude-ruling	
active-management	service	single	wikidata	
actual-purchase-price	outgo	single	wordnet	
actual-purchase-price	possession	single	wordnet	
actual-purchase-price	purchase-price	accepted	claude wordnet	
actual-purchase-price	quantity	single	sumo	
actuary	adult	single	opencyc	
actuary	human	single	opencyc	
actuary	mammal	single	opencyc	
actuary	professional	accepted	claude-ruling opencyc	
actuary	structure	single	opencyc	
actuary	system	single	opencyc	
actuary	vertebrate	single	opencyc	
actuary	worker	single	opencyc	
ad	goods	single	wikidata	
ad	goods-and-services	single	wikidata	
adhesion-contract	contract	accepted	sumo wordnet	
adhesion-contract	document	single	wordnet	
adhesion-contract	information	single	wordnet	
adhesion-contract	legal-document	accepted	sumo wordnet	
adhesion-contract	signified	single	sumo	
adjusting-entry	accounting-entry	accepted	claude wordnet	
adjusting-entry	artifact	single	sumo	
adjusting-entry	contract-condition	single	sumo	
adjusting-entry	indication	single	sumo	
adjusting-entry	information	accepted	sumo wordnet	
adjusting-entry	line-of-text	single	sumo	
adjusting-entry	phenomenon	single	sumo	
adjusting-entry	physical-object	single	sumo	
adjusting-entry	text	single	sumo	
adjusting-entry	transaction-record	single	wordnet	
adjusting-entry	universe	single	sumo	
advance-death-benefit	death-benefit	accepted	claude wordnet	
advance-death-benefit	outgo	single	wordnet	
advance-death-benefit	payment-amount	single	wordnet	
advance-death-benefit	possession	single	wordnet	
advance-death-benefit	quantity	single	sumo	
adverse-selection	concept	accepted	claude-ruling	
advertising	accomplishment	single	sumo	
advertising	act	accepted	sumo wordnet	
advertising	activity	single	sumo	
advertising	commerce	single	wordnet	
advertising	commercial-enterprise	accepted	claude wordnet	
advertising	event	accepted	sumo wordnet	
advertising	exchange	single	sumo	
advertising	goods	single	wikidata	
advertising	goods-and-services	single	wikidata	
advertising	information	accepted	wikidata yago	
advertising	interaction	single	sumo	
advertising	merchandising	single	sumo	
advertising	phenomenon	single	sumo	
advertising	procedure	single	sumo	
advertising	selling	single	sumo	
advertising	service	accepted	claude wikidata	
advertising	transaction	accepted	sumo wordnet	
advertising	volition	single	sumo	
aerial-delivery	act	single	wordnet	
aerial-delivery	airlift	accepted	claude wikidata	
aerial-delivery	event	accepted	sumo wordnet	
aerial-delivery	goods-delivery	accepted	claude wordnet	
aerial-delivery	locating	single	sumo	
aerial-delivery	phenomenon	single	sumo	
aerial-delivery	transport	single	wordnet	
aerial-delivery	visit	single	sumo	
agio	outgo	single	wordnet	
agio	possession	single	wordnet	
agio	price-charged	accepted	claude wordnet	
agio	quantity	single	sumo	
agribusiness	act	single	wordnet	
agribusiness	agent	single	sumo	
agribusiness	association	single	sumo	
agribusiness	collection	single	sumo	
agribusiness	commerce	single	wordnet	
agribusiness	commercial-enterprise	accepted	claude wordnet	
agribusiness	company	single	sumo	
agribusiness	event	single	wordnet	
agribusiness	firm	single	sumo	
agribusiness	group	single	sumo	
agribusiness	organization	single	sumo	
agribusiness	phenomenon	single	sumo	
agribusiness	team	single	sumo	
agribusiness	transaction	single	wordnet	
agribusiness	universe	single	sumo	
air-transportation	act	single	wordnet	
air-transportation	action	single	opencyc	
air-transportation	commerce	single	wordnet	
air-transportation	commercial-enterprise	single	wordnet	
air-transportation	event	accepted	opencyc wordnet	
air-transportation	situation	single	opencyc	
air-transportation	transaction	single	wordnet	
air-transportation	transport	single	opencyc	
air-transportation	transportation	accepted	claude wordnet	
airfare	fare	accepted	claude wordnet	
airfare	outgo	single	wordnet	
airfare	possession	single	wordnet	
airfare	price-charged	single	wordnet	
airfare	quantity	single	sumo	
airlift	act	single	wordnet	
airlift	event	accepted	opencyc sumo wordnet	
airlift	phenomenon	single	sumo	
airlift	situation	single	opencyc	
airlift	transport	accepted	sumo wordnet	
airlift	visit	single	sumo	
airline	business	single	opencyc	
airline	carrier-company	accepted	claude wordnet	
aleatory-contract	contract	accepted	sumo wikidata wordnet	
aleatory-contract	document	single	wordnet	
aleatory-contract	information	single	wordnet	
aleatory-contract	legal-document	accepted	sumo wordnet	
aleatory-contract	signified	single	sumo	
algorithmic-trading	trading	accepted	claude-ruling	
alimony	payment-amount	accepted	claude wordnet	
allowance	financial-transaction	single	wikidata	
ambulance	goods	single	opencyc	
amortization	accomplishment	single	sumo	
amortization	act	accepted	sumo wordnet	
amortization	activity	single	sumo	
amortization	commerce	single	wordnet	
amortization	event	accepted	sumo wordnet	
amortization	exchange	single	sumo	
amortization	expending	single	sumo	
amortization	interaction	single	sumo	
amortization	payment	accepted	claude wordnet	
amortization	phenomenon	single	sumo	
amortization	procedure	single	sumo	
amortization	spending	single	sumo	
amortization	transaction	accepted	sumo wordnet	
amortization	volition	single	sumo	
analytical-review	information	single	wordnet	
analytical-review	limited-review	accepted	claude wordnet	
analytical-review	measure	single	sumo	
analytical-review	routine	single	sumo	
analytical-review	signified	single	sumo	
analytical-review	transaction-record	single	wordnet	
anchorage-fee	fee	accepted	claude wordnet	
anchorage-fee	fixed-charge	single	wordnet	
anchorage-fee	outgo	single	wordnet	
