kind	sub	sup	detail
disputed	bank-card	credit-card	for claude wordnet; reversed by wikidata
disputed	container	shipping-container	for wikidata; reversed by opencyc
disputed	credit-card	bank-card	for wikidata; reversed by claude wordnet
disputed	expending	spending	for wordnet; reversed by opencyc
disputed	spending	expending	for opencyc; reversed by wordnet
single	accounting-entry	artifact	only sumo
single	accounting-entry	contract-condition	only sumo
single	accounting-entry	indication	only sumo
single	accounting-entry	line-of-text	only sumo
single	accounting-entry	physical-object	only sumo
single	accounting-entry	text	only sumo
single	accredited-investor	businessman	only wikidata
single	accredited-investor	worker	only wikidata
single	accrual-basis	information	only wordnet
single	accrual-basis	measure	only sumo
single	accrual-basis	routine	only sumo
single	active-management	business-model	only wikidata
single	active-management	financial-services	only wikidata
single	active-management	goods	only wikidata
single	active-management	goods-and-services	only wikidata
single	active-management	service	only wikidata
single	activewear	goods	only wikidata
single	actual-purchase-price	outgo	only wordnet
single	actual-purchase-price	possession	only wordnet
single	actual-purchase-price	quantity	only sumo
single	actuary	adult	only opencyc
single	actuary	human	only opencyc
single	actuary	mammal	only opencyc
single	actuary	structure	only opencyc
single	actuary	vertebrate	only opencyc
single	actuary	worker	only opencyc
single	ad	goods	only wikidata
single	ad	goods-and-services	only wikidata
single	adapter	goods	only wikidata
single	adhesion-contract	document	only wordnet
single	adhesion-contract	information	only wordnet
single	adjusting-entry	artifact	only sumo
single	adjusting-entry	contract-condition	only sumo
single	adjusting-entry	indication	only sumo
single	adjusting-entry	line-of-text	only sumo
single	adjusting-entry	physical-object	only sumo
single	adjusting-entry	text	only sumo
single	adjusting-entry	transaction-record	only wordnet
single	advance-death-benefit	outgo	only wordnet
single	advance-death-benefit	payment-amount	only wordnet
single	advance-death-benefit	possession	only wordnet
single	advance-death-benefit	quantity	only sumo
single	advertising	accomplishment	only sumo
single	advertising	activity	only sumo
single	advertising	commerce	only wordnet
single	advertising	exchange	only sumo
single	advertising	goods	only wikidata
single	advertising	goods-and-services	only wikidata
single	advertising	interaction	only sumo
single	advertising	merchandising	only sumo
single	advertising	procedure	only sumo
single	advertising	selling	only sumo
single	advertising	volition	only sumo
single	aerial-delivery	act	only wordnet
single	aerial-delivery	locating	only sumo
single	aerial-delivery	transport	only wordnet
single	aerial-delivery	visit	only sumo
single	agio	outgo	only wordnet
single	agio	possession	only wordnet
single	agio	quantity	only sumo
single	agribusiness	act	only wordnet
single	agribusiness	agent	only sumo
single	agribusiness	association	only sumo
single	agribusiness	collection	only sumo
single	agribusiness	commerce	only wordnet
single	agribusiness	company	only sumo
single	agribusiness	event	only wordnet
single	agribusiness	firm	only sumo
single	agribusiness	group	only sumo
single	agribusiness	organization	only sumo
single	agribusiness	team	only sumo
single	agribusiness	transaction	only wordnet
single	air-transportation	act	only wordnet
single	air-transportation	action	only opencyc
single	air-transportation	commerce	only wordnet
single	air-transportation	commercial-enterprise	only wordnet
single	air-transportation	situation	only opencyc
single	air-transportation	transaction	only wordnet
single	air-transportation	transport	only opencyc
single	airfare	outgo	only wordnet
single	airfare	possession	only wordnet
single	airfare	price-charged	only wordnet
single	airfare	quantity	only sumo
single	airlift	act	only wordnet
single	airlift	situation	only opencyc
single	airlift	visit	only sumo
single	airline	business	only opencyc
single	aleatory-contract	document	only wordnet
single	aleatory-contract	information	only wordnet
single	allowance	financial-transaction	only wikidata
single	ambulance	goods	only opencyc
single	amortization	accomplishment	only sumo
single	amortization	activity	only sumo
