# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- geography batch 1 (WordNet): wordnet  ---
achondrite	rock	accept		09186928	09416076
address	geographic-point	accept		08491027	08578706
adobe	clay	accept		14600927	14813182
advection	process	accept		13427989	00029677
aerology	atmospheric-science	accept		06119226	06118563
afterglow	natural-event	accept		11517898	11408559
air-pocket	natural-event	accept		11423028	11408559
airstream	wind	accept		11423356	11525955
alluvial-flat	flatland	accept		09193551	09281411
alluvial-sediment	sediment	accept		09193282	09428967
alluvial-soil	soil	accept		14719725	14844693
alp	mountain	accept		09193705	09359803
alpine-glacier	glacier	accept		09194227	09289331
altimeter	instrument	accept		02700258	03574816
ammonite	fossil	accept		09195958	09284589
anemometer	instrument	accept		02710429	03574816
antitrade-wind	prevailing-wind	accept		11520120	11497586
antitrades	prevailing-wind	accept		11424938	11497586
archipelago	land	accept		09203827	09334396
arete	ridge	accept		09205509	09409752
arroyo	gully	accept		09206896	09300306
artificial-horizon	instrument	accept		02745611	03574816
ascent	slope	accept		09206985	09437454
atmospheric-electricity	event	accept		11476231	00029378
atmospheric-electricity	natural-event	accept		11476231	11408559
atmospheric-science	earth-science	accept		06118563	06115476
atmospheric-state	weather	accept		14520278	11524662
aurora	natural-event	accept		11427241	11408559
autumnal-equinox	attribute	reject	an equinox is an astronomical event	15223750	00024264
bad-weather	weather	accept		14523090	11524662
barometer	instrument	accept		02794156	03574816
bayou	lake	accept		09217086	09328904
bedrock	rock	accept		09218044	09416076
belemnite	fossil	accept		01973723	09284589
bentonite	clay	accept		14813709	14813182
bight	bay	accept		09220239	09215664
bioclimatology	climatology	accept		06119496	06119377
bise	north-wind	accept		11429356	11487950
bladder-stone	rock	accept		09223487	09416076
blizzard	storm	accept		11509570	11462526
bluster	gust	accept		11465297	11465017
bog-soil	soil	accept		14782403	14844693
boulder	rock	accept		09227839	09416076
brook	stream	accept		09229409	09448361
burrow	natural-depression	accept		09230041	09366017
caldera	volcanic-crater	accept		09231117	09472413
caliche	soil	accept		14845578	14844693
calm-air	wind	accept		11431617	11525955
canyon	ravine	accept		09233446	09405787
canyonside	slope	accept		09233603	09437454
cape	land	accept		09233715	09334396
cartesian-coordinate-system	cognition	reject	a coordinate system is a mathematical construct, not a psychological result	05728271	00023271
cascade	waterfall	accept		09236957	09475292
cataract	waterfall	accept		09237918	09475292
cavern	cave	accept		09239302	09238926
chernozemic-soil	loam	accept		14809666	14942223
china-clay	clay	accept		14670639	14813182
chinook	wind	accept		11438612	11525955
chondrite	rock	accept		09244191	09416076
choropleth-map	map	accept		03026093	03720163
clastic-rock	rock	accept		09246292	09416076
climatic-zone	geographical-area	accept		08542081	08574314
clunch	soil	accept		14814531	14844693
coastal-plain	land	accept		09248294	09334396
cold-front	weather-front	accept		11460829	11460488
cold-wave	weather	accept		11439924	11524662
cold-weather	weather	accept		11440012	11524662
compass	instrument	accept		03080497	03574816
compass-card	magnetic-compass	accept		03080731	03706229
condensation	natural-event	accept		11446242	11408559
conformal-projection	artifact	reject	a map projection is a method, not a made object	03090437	00021939
conic-projection	artifact	reject	a map projection is a method, not a made object	03090856	00021939
continent	landmass	accept		09254614	09335916
continental-glacier	glacier	accept		09255070	09289331
contour-map	map	accept		03096142	03720163
convection	process	accept		13452750	00029677
cove	cave	accept		09257843	09238926
crag	cliff	accept		09259025	09246464
crater	natural-depression	accept		09259219	09366017
crust	layer	accept		09260010	08591680
crystallite	rock	accept		09260744	09416076
depth-finder	instrument	accept		03178000	03574816
desert	geographical-area	accept		08505573	08574314
desert-soil	soil	accept		14834013	14844693
ditch	waterway	accept		09267758	09476331
doldrums	wind	accept		11447691	11525955
down	highland	accept		09269341	09302616
downdraft	draught	accept		11522730	11522448
downhill	declivity	accept		09269472	09265620
downpour	rain	accept		11502102	11501381
drought	condition	accept		14537054	13920835
dust-devil	whirlwind	accept		11448013	11525779
earth-atmosphere	place	accept		08499057	00027167
earth-mantle	layer	accept		09346450	08591680
east-wind	wind	accept		11448343	11525955
ebbtide	tide	accept		07402393	07402519
eddy	event	accept		07432973	00029378
el-nino	ocean-current	accept		11488601	11488387
el-nino-southern-oscillation	el-nino	reject	ENSO is the whole oscillation; El Niño is its warm phase	11488828	11488601
enterolith	rock	accept		09273681	09416076
eon	attribute	reject	a division of geological time is a period, not an attribute	15243730	00024264
epoch	attribute	reject	a division of geological time is a period, not an attribute	15248269	00024264
equal-area-projection	artifact	reject	a map projection is a method, not a made object	03293471	00021939
equatorial-current	ocean-current	accept		11489070	11488387
evaporite	sediment	accept		15009192	09428967
fault-line	place	accept		08569591	00027167
fire-pit	cavity	accept		09280113	09393108
firestorm	storm	accept		11457944	11462526
fjord	inlet	accept		09281104	09313716
flash-flood	flood	accept		11455092	11454591
flood-tide	tide	accept		07403030	07402519
flurry	snow	accept		11508578	11508382
forked-lightning	lightning	accept		11459200	11475279
fresh-breeze	breeze	accept		11432887	11431754
fresh-gale	gale	accept		11462152	11461825
fucoid	fossil	accept		01404495	09284589
fuller's-earth	soil	accept		14875707	14844693
gallstone	rock	accept		09286200	09416076
gentle-breeze	breeze	accept		11432632	11431754
