# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
planet-earth	planet	accept	geography skeleton [2026-09-03]		
pacific-ocean	ocean	accept	geography skeleton [2026-09-03]		
atlantic-ocean	ocean	accept	geography skeleton [2026-09-03]		
indian-ocean	ocean	accept	geography skeleton [2026-09-03]		
arctic-ocean	ocean	accept	geography skeleton [2026-09-03]		
southern-ocean	ocean	accept	geography skeleton [2026-09-03]		
africa	continent	accept	geography skeleton [2026-09-03]		
antarctica	continent	accept	geography skeleton [2026-09-03]		
asia	continent	accept	geography skeleton [2026-09-03]		
europe	continent	accept	geography skeleton [2026-09-03]		
north-america	continent	accept	geography skeleton [2026-09-03]		
south-america	continent	accept	geography skeleton [2026-09-03]		
australian-continent	continent	accept	geography skeleton [2026-09-03]		
oceania	geographical-area	accept	geography skeleton [2026-09-03]		
eurasia	landmass	accept	geography skeleton [2026-09-03]		
afro-eurasia	landmass	accept	geography skeleton [2026-09-03]		
americas	landmass	accept	geography skeleton [2026-09-03]		
sahara	desert	accept	geography skeleton [2026-09-03]		
mount-everest	mountain	accept	geography skeleton [2026-09-03]		
amazon-river	river	accept	geography skeleton [2026-09-03]		
nile	river	accept	geography skeleton [2026-09-03]		
himalayas	mountain-range	accept	geography skeleton [2026-09-03]		
andes	mountain-range	accept	geography skeleton [2026-09-03]		
alps	mountain-range	accept	geography skeleton [2026-09-03]		
mountain-range	natural-elevation	accept	geography skeleton [2026-09-03]		
great-barrier-reef	coral-reef	accept	geography skeleton [2026-09-03]		
mariana-trench	oceanic-trench	accept	geography skeleton [2026-09-03]		
dead-sea	lake	accept	geography skeleton [2026-09-03]		
lake-baikal	lake	accept	geography skeleton [2026-09-03]		
greenland	island	accept	geography skeleton [2026-09-03]		
gobi-desert	desert	accept	geography skeleton [2026-09-03]		
antarctic-ice-sheet	ice-sheet	accept	geography skeleton [2026-09-03]		
greenland-ice-sheet	ice-sheet	accept	geography skeleton [2026-09-03]		
gulf-stream	ocean-current	accept	geography skeleton [2026-09-03]		
north-pole	geographic-pole	accept	geography skeleton [2026-09-03]		
south-pole	geographic-pole	accept	geography skeleton [2026-09-03]		
equator	geographic-line	accept	geography skeleton [2026-09-03]		
