# offset-or-name	reason
13711855	bar.quantity: duplicate sense, poetic/regional word, or a unit
09213828	cant: duplicate sense, poetic/regional word, or a unit
09269882	draw.object: duplicate sense, poetic/regional word, or a unit
09304750	hole.object: duplicate sense, poetic/regional word, or a unit
09396465	point.object: duplicate sense, poetic/regional word, or a unit
09447666	strand.object: duplicate sense, poetic/regional word, or a unit
09220922	billabong.object: duplicate sense, poetic/regional word, or a unit
09228324	branch.object: duplicate sense, poetic/regional word, or a unit
09270508	drink.object: duplicate sense, poetic/regional word, or a unit
09341987	loch.object: duplicate sense, poetic/regional word, or a unit
09343660	lough.object: duplicate sense, poetic/regional word, or a unit
09282208	floor.object: duplicate sense, poetic/regional word, or a unit
11517656	sunrise.phenomenon: duplicate sense, poetic/regional word, or a unit
11524451	wave.phenomenon: duplicate sense, poetic/regional word, or a unit
14521648	fogginess: duplicate sense, poetic/regional word, or a unit
09260466	crystallization: duplicate sense, poetic/regional word, or a unit
14953564	mould: duplicate sense, poetic/regional word, or a unit
05604254	paries: duplicate sense, poetic/regional word, or a unit
05604434	abdominal-wall: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
05286412	cambium: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
05243879	dermis: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
05240211	epidermis: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
05243077	stratum-corneum: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
05243704	stratum-germinativum: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
05243435	stratum-granulosum: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
05243259	stratum-lucidum: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
05244045	mantle: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09214269	barbecue-pit: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09226869	borrow-pit: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09268007	divot: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09425019	sawpit: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
04488295	trou-de-loup: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09422190	sandpit: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09230768	calculus: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09248914	coffee-grounds: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09294984	grounds: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09269972	dregs: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09337406	lees: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14780737	mud-pie: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09362820	mud-puddle: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09474557	wallow: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14956523	slop: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14828683	daub: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14814295	slip: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14813560	pipeclay: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14814125	potter's-clay: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14813843	fireclay: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14780605	bleaching-clay: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14918264	indian-red: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
14990864	bole: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09232317	canal: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09248153	coast: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
08542304	commons: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
08547468	cow-pasture: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09294599	greenwood: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
09435405	silva: anatomy, kitchen, craft, law, regional or literary word, or a physics/mathematics concept — not physical geography
