# offset	name	note
07404944	landslip	WordNet sense collides with an everyday word or a core name; qualified
09217867	rock-bed	WordNet sense collides with an everyday word or a core name; qualified
09278537	geological-fault	WordNet sense collides with an everyday word or a core name; qualified
13425067	land-accretion	WordNet sense collides with an everyday word or a core name; qualified
13475538	geological-erosion	WordNet sense collides with an everyday word or a core name; qualified
14949227	rock-matrix	WordNet sense collides with an everyday word or a core name; qualified
05132542	cloud-ceiling	WordNet sense collides with an everyday word or a core name; qualified
06118563	atmospheric-science	WordNet sense collides with an everyday word or a core name; qualified
09213434	earth-bank	WordNet sense collides with an everyday word or a core name; qualified
09214060	sandbar	WordNet sense collides with an everyday word or a core name; qualified
09217638	waterbody-bed	WordNet sense collides with an everyday word or a core name; qualified
09362316	river-mouth	WordNet sense collides with an everyday word or a core name; qualified
09409512	natural-ridge	WordNet sense collides with an everyday word or a core name; qualified
09409898	oceanic-ridge	WordNet sense collides with an everyday word or a core name; qualified
09461315	oceanic-trench	WordNet sense collides with an everyday word or a core name; qualified
09474412	rock-wall	WordNet sense collides with an everyday word or a core name; qualified
09257761	sea-cove	WordNet sense collides with an everyday word or a core name; qualified
09433134	shallows	WordNet sense collides with an everyday word or a core name; qualified
09440186	sea-sound	WordNet sense collides with an everyday word or a core name; qualified
09281411	flatland	WordNet sense collides with an everyday word or a core name; qualified
09367733	land-neck	WordNet sense collides with an everyday word or a core name; qualified
11440521	freezing-weather	WordNet sense collides with an everyday word or a core name; qualified
11443721	cyclonic-storm	WordNet sense collides with an everyday word or a core name; qualified
11484741	monsoon-wind	WordNet sense collides with an everyday word or a core name; qualified
15239033	monsoon-season	WordNet sense collides with an everyday word or a core name; qualified
09460046	tor-rock	WordNet sense collides with an everyday word or a core name; qualified
08658118	soil-horizon	WordNet sense collides with an everyday word or a core name; qualified
09346450	earth-mantle	WordNet sense collides with an everyday word or a core name; qualified
08499057	earth-atmosphere	WordNet sense collides with an everyday word or a core name; qualified
03440512	terrestrial-globe	WordNet sense collides with an everyday word or a core name; qualified
06117855	geomorphology	WordNet 'morphology' — the geology sense takes a qualified name
09314964	igneous-intrusion	WordNet 'intrusion' — the geology sense takes a qualified name
09435232	igneous-sill	WordNet 'sill' — the geology sense takes a qualified name
09260010	earth-crust	WordNet 'crust' — everyday word / same concept as the Wikidata item; qualified or unified
09215437	natural-basin	WordNet 'basin' — everyday word / same concept as the Wikidata item; qualified or unified
09264803	river-delta	WordNet 'delta' — everyday word / same concept as the Wikidata item; qualified or unified
07404443	rip-current	WordNet 'riptide' — everyday word / same concept as the Wikidata item; qualified or unified
07403459	spring-tide	WordNet 'springtide' — everyday word / same concept as the Wikidata item; qualified or unified
14520670	high-pressure-area	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
09452760	ocean-swell	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
09405396	rapids	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
09302127	river-source	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
09453008	plateau	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
09308743	ice-cap	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
13851865	richter-magnitude-scale	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
13423489	glacial-ablation	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
13423615	geological-abrasion	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
13552644	sediment-saltation	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
13483061	rock-foliation	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
11434016	geological-cataclysm	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
11474774	elves-emission	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
11475992	sprite-lightning	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
09459979	tor-hill	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
13499165	aeolian-deflation	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
09474895	erosive-wash	second-pass rename: everyday word, or the same concept as a Wikidata-named one (P8814)
14600927	adobe-clay	everyday-word rule (third pass)
09269341	downland	everyday-word rule (third pass)
09365863	narrows	everyday-word rule (third pass)
11518645	thermal-updraft	everyday-word rule (third pass)
09462773	geological-trough	everyday-word rule (third pass)
11487424	atmospheric-halo	everyday-word rule (third pass)
15074772	glacial-till	everyday-word rule (third pass)
08659076	mineral-seam	everyday-word rule (third pass)
09442595	sand-spit	everyday-word rule (third pass)
03959350	plat-map	everyday-word rule (third pass)
11461563	temperature-inversion	everyday-word rule (third pass)
13563382	stratigraphic-superposition	everyday-word rule (third pass)
08657887	underlying-stratum	everyday-word rule (third pass)
08658001	overlying-stratum	everyday-word rule (third pass)
11520435	marine-transgression	everyday-word rule (third pass)
07350069	geological-heave	everyday-word rule (third pass)
