# name	source	id
geography	wikidata	Q1071
physical-geography	wikidata	Q52107
geodesy	wikidata	Q131089
cartography	wikidata	Q42515
geomatics	wikidata	Q619798
geographic-information-system	wikidata	Q483130
geographic-coordinate-system	wikidata	Q22664
coordinate-system	wikidata	Q11210
spherical-coordinate-system	wikidata	Q203218
geodetic-datum	wikidata	Q1502887
world-geodetic-system	wikidata	Q215848
wgs-84	wikidata	Q11902211
geoid	wikidata	Q185969
reference-ellipsoid	wikidata	Q1203807
earth-centered-earth-fixed	wikidata	Q743590
latitude	wikidata	Q34027
longitude	wikidata	Q36477
north-pole	wikidata	Q934
south-pole	wikidata	Q933
equator	wikidata	Q23538
prime-meridian	wikidata	Q3401774
iers-reference-meridian	wikidata	Q3333287
meridian	wikidata	Q32099
circle-of-latitude	wikidata	Q146591
tropic-of-cancer	wikidata	Q176635
tropic-of-capricorn	wikidata	Q177440
arctic-circle	wikidata	Q176609
antarctic-circle	wikidata	Q182657
northern-hemisphere	wikidata	Q39061
southern-hemisphere	wikidata	Q41228
eastern-hemisphere	wikidata	Q186198
western-hemisphere	wikidata	Q181982
antipodes	wikidata	Q319909
great-circle	wikidata	Q146657
great-circle-distance	wikidata	Q912925
rhumb-line	wikidata	Q215169
haversine-formula	wikidata	Q587172
vincenty-formulae	wikidata	Q3077670
navigational-bearing	wikidata	Q1273815
compass-rose	wikidata	Q640047
cardinal-compass-point	wikidata	Q23718
map-projection	wikidata	Q186386
mercator-projection	wikidata	Q309372
transverse-mercator-projection	wikidata	Q1329238
military-grid-reference-system	wikidata	Q1922471
lambert-conformal-conic-projection	wikidata	Q541151
albers-projection	wikidata	Q1587118
azimuthal-equidistant-projection	wikidata	Q1753196
equirectangular-projection	wikidata	Q1326965
robinson-projection	wikidata	Q963903
winkel-tripel-projection	wikidata	Q861364
gnomonic-projection	wikidata	Q246599
stereographic-projection	wikidata	Q866099
gall-peters-projection	wikidata	Q27123
mollweide-projection	wikidata	Q1141440
sinusoidal-projection	wikidata	Q773174
conformal-projection	wikidata	Q1522071
equidistant-projection	wikidata	Q56189701
azimuthal-projection	wikidata	Q11504341
conic-projection	wikidata	Q2528130
cylindrical-projection	wikidata	Q2077983
open-location-code	wikidata	Q23582265
geocode	wikidata	Q36214810
geocoding	wikidata	Q1346408
reverse-geocoding	wikidata	Q3123248
satellite-navigation	wikidata	Q179435
global-positioning-system	wikidata	Q18822
glonass	wikidata	Q486250
galileo-navigation-system	wikidata	Q193902
beidou	wikidata	Q857141
gps-receiver	wikidata	Q1486497
trilateration	wikidata	Q1146298
differential-gps	wikidata	Q779225
dead-reckoning	wikidata	Q152255
inertial-navigation-system	wikidata	Q570607
navigation	wikidata	Q102066
celestial-navigation	wikidata	Q1063512
coastal-piloting	wikidata	Q1443672
topographic-map	wikidata	Q216526
nautical-chart	wikidata	Q728502
aeronautical-chart	wikidata	Q1875628
thematic-map	wikidata	Q1502030
choropleth-map	wikidata	Q261468
contour-line	wikidata	Q193311
isoline	wikidata	Q6653802
map-scale	wikidata	Q193642
map-legend	wikidata	Q1200435
gazetteer	wikidata	Q1006160
atlas	wikidata	Q162827
terrestrial-globe	wikidata	Q133792
digital-elevation-model	wikidata	Q640492
remote-sensing	wikidata	Q199687
lidar	wikidata	Q504027
photogrammetry	wikidata	Q190149
aerial-photography	wikidata	Q191839
satellite-imagery	wikidata	Q725252
orthophoto	wikidata	Q922585
shapefile	wikidata	Q278934
geotiff	wikidata	Q1502796
spatial-reference-system	wikidata	Q161779
epsg-geodetic-parameter-dataset	wikidata	Q69567457
time-zone	wikidata	Q12143
coordinated-universal-time	wikidata	Q1536
international-date-line	wikidata	Q131389
solar-time	wikidata	Q192854
sidereal-time	wikidata	Q191747
local-mean-time	wikidata	Q219919
daylight-saving-time	wikidata	Q36669
planet-earth	wikidata	Q2
earth-rotation	wikidata	Q244743
axial-tilt	wikidata	Q179745
earth-orbit	wikidata	Q1348808
tropical-year	wikidata	Q189607
sidereal-day	wikidata	Q1778552
equinox	wikidata	Q1315
solstice	wikidata	Q123524
earth-structure	wikidata	Q1664027
earth-crust	wikidata	Q15316
earth-mantle	wikidata	Q101949
earth-outer-core	wikidata	Q857867
lithosphere	wikidata	Q83296
asthenosphere	wikidata	Q166257
hydrosphere	wikidata	Q83169
earth-atmosphere	wikidata	Q3230
biosphere	wikidata	Q42762
cryosphere	wikidata	Q493109
pedosphere	wikidata	Q941094
geosphere	wikidata	Q241284
troposphere	wikidata	Q40631
stratosphere	wikidata	Q108376
mesosphere	wikidata	Q162167
thermosphere	wikidata	Q178043
