name	issue	ids
weather-forecasting	name collision with 'meteorology' — predicting what the weather will be	06749729
cay	name collision with 'key' — a coral reef off the southern coast of Florida	09325395
sand-bar	name collision with 'sandbar' — a bar of sand	09421951
mineral-vein	name collision with 'vein' — a layer of ore between layers of rock	09470222
blue-jet	name collision with 'jet' — atmospheric discharges (lasting 10 msec) bursting from the t	11475067
atmospheric-state	"name collision with 'atmosphere' — the weather or climate at some place; ""the atmosphere was th"	14520278
seismic-disturbance	"name collision with 'shock' — an instance of agitation of the earth's crust; ""the first sh"	07429276
sedimentation	name collision with 'deposit' — the phenomenon of sediment or gravel accumulating	11445395
geological-period	name collision with 'period' — a unit of geological time during which a system of rocks for	15247518
geological-era	name collision with 'era' — a major division of geological time; an era is usually divid	15248020
celestial-horizon	name collision with 'horizon' — the great circle on the celestial sphere whose plane passes 	08585846
autumnal-equinox	opencyc: 2 classes match ['autumnal-equinox']	Mx4rQexstIUhEdaAAAACs0uFOQ Mx4rvWhvypwpEbGdrcN5Y29ycA
biome	opencyc: 2 classes match ['biome']	Mx4rA7IzkPRPEdyAAAACs6hbjw Mx4rwNQuD5wpEbGdrcN5Y29ycA
cape	opencyc: 2 classes match ['cape']	Mx4rJPEbergqEdmAAAACs0x8nw Mx4rvVin1ZwpEbGdrcN5Y29ycA
chondrite	opencyc: 2 classes match ['chondrite']	Mx4rEcK2axzRSC-IJVGULannzA Mx4rMUkVJuGRTQexd_vmHDMsBw
contour-line	wikidata: 2 classes match ['contour-line']	Q193311 Q6653802
cyclone	opencyc: 2 classes match ['cyclone']	Mx4rMLNFRtOeTHa1eyuufdIW0g Mx4rvgEHK5wpEbGdrcN5Y29ycA
epoch	wikidata: 3 classes match ['epoch']	Q2703 Q507810 Q754897
estuary	opencyc: 2 classes match ['estuary']	Mx4rfIchWq0WEd6eNAAhm0kILA Mx4rvVjI85wpEbGdrcN5Y29ycA
guyot	opencyc: 2 classes match ['guyot']	Mx4rxKENzIIlEdqAAAACs6hO_g Mx8NhB4rwP1IC5wpEbGdrcN5Y29ycB4rw87kPIIlEdqAAAACs6hO_h4rvVjNiZwpEbGdrcN5Y29ycB4rvmUHgJwpEbGdrcN5Y29ycA
hoodoo	wikidata: 2 classes match ['hoodoo']	Q1546302 Q854550
magma	wikidata: 2 classes match ['magma']	Q42278 Q679903
moor	opencyc: 2 classes match ['moor']	Mx4rmpQMtq1NEdqAAAACs6hO_g Mx4rviNxnpwpEbGdrcN5Y29ycA
piedmont	wikidata: 2 classes match ['piedmont']	Q1216 Q426977
plain	opencyc: 2 classes match ['plain']	Mx4rvVj1i5wpEbGdrcN5Y29ycA Mx8NhB4rwAiHbpwpEbGdrcN5Y29ycB4rvVj27ZwpEbGdrcN5Y29ycB4rnTIa-ORhEdqAAAACs6hRXh8Ngh4rvgDGYJwpEbGdrcN5Y29ycB4rmscshuRhEdqAAAACs6hRXg
sunset	opencyc: 2 classes match ['sunset']	Mx4rvViIQ5wpEbGdrcN5Y29ycA Mx4rwPzwbJwpEbGdrcN5Y29ycA
terrain	wikidata: 2 classes match ['terrain']	Q14524493 Q186131
thunderstorm	opencyc: 2 classes match ['thunderstorm']	Mx4rAbrYLMjdSsaVlht869xfwg Mx4rvVisSJwpEbGdrcN5Y29ycA
tornado	opencyc: 2 classes match ['tornado']	Mx4rvwNZvpwpEbGdrcN5Y29ycA Mx4rwRY1FpwpEbGdrcN5Y29ycA
triangulation	wikidata: 2 classes match ['triangulation']	Q188056 Q7840154
vernal-equinox	opencyc: 2 classes match ['vernal-equinox']	Mx4rQBn35IUhEdaAAAACs0uFOQ Mx4rvVrqkJwpEbGdrcN5Y29ycA
watercourse	opencyc: 2 classes match ['watercourse']	Mx4riEuTsLqNEdqAAAACs6hnmQ Mx4rvVkHdJwpEbGdrcN5Y29ycA
wetland	wikidata: 2 classes match ['wetland']	Q170321 Q76164372
whirlpool	opencyc: 2 classes match ['whirlpool']	Mx4rzIJGkDDFEdieNAACs6hciw Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViE_JwpEbGdrcN5Y29ycB4rvVjVnpwpEbGdrcN5Y29ycB4rwTfd4ZwpEbGdrcN5Y29ycA
