sub	sup	status	for	against
abyssal-plain	geographical-feature	single	wikidata	
abyssal-plain	landform	single	wikidata	
abyssal-plain	ocean-floor	accepted	claude-ruling	
abyssal-plain	plain	accepted	claude wikidata	
abyssal-zone	body-of-water	single	sumo	
abyssal-zone	geographical-area	single	sumo	
abyssal-zone	geological-formation	single	wordnet	
abyssal-zone	natural-depression	single	wordnet	
abyssal-zone	ocean-floor	accepted	claude wordnet	
abyssal-zone	pelagic-zone	accepted	claude-ruling	
abyssal-zone	phenomenon	single	sumo	
abyssal-zone	physical-object	single	wordnet	
abyssal-zone	place	single	sumo	
abyssal-zone	universe	single	sumo	
abyssal-zone	waterbody-bed	single	wordnet	
achondrite	material	single	sumo	
achondrite	mineral	single	sumo	
achondrite	natural-object	single	wordnet	
achondrite	phenomenon	single	sumo	
achondrite	physical-object	single	wordnet	
achondrite	rock	accepted	claude wordnet	
achondrite	substance	single	sumo	
achondrite	universe	single	sumo	
address	geographic-point	accepted	claude wordnet	
address	geographical-area	single	sumo	
adobe-clay	artifact	single	opencyc	
adobe-clay	clay	accepted	claude wordnet	
adobe-clay	ground	single	opencyc	
adobe-clay	material	accepted	sumo wordnet	
adobe-clay	part	single	wordnet	
adobe-clay	phenomenon	single	sumo	
adobe-clay	soil	single	wordnet	
adobe-clay	substance	accepted	sumo wordnet	
adobe-clay	supply	single	opencyc	
adobe-clay	universe	single	sumo	
advection	event	single	sumo	
advection	motion	accepted	claude wikidata	
advection	phenomenon	single	sumo	
advection	process	accepted	claude wordnet	
aegean-island	geographical-area	single	sumo	
aegean-island	island	accepted	sumo wordnet	
aegean-island	land	accepted	sumo wordnet	
aegean-island	phenomenon	single	sumo	
aegean-island	physical-object	single	wordnet	
aegean-island	place	single	sumo	
aegean-island	universe	single	sumo	
aegean-island	yard	single	sumo	
aeolian-deflation	geological-erosion	accepted	claude claude-ruling wordnet	
aeolian-deflation	geological-process	single	wordnet	
aeolian-deflation	process	single	wordnet	
aerial-photography	photography	accepted	claude-ruling	
aerology	cognition	single	wordnet	
aerology	earth-science	single	wordnet	
aerology	field-of-study	accepted	sumo wordnet	
aerology	meteorology	accepted	claude wordnet	
aerology	natural-science	single	wordnet	
aerology	science	single	wordnet	
aerology	signified	single	sumo	
aeronautical-chart	chart	accepted	claude-ruling	
aeronautical-chart	topographic-map	dissented	wikidata	
africa	continent	accepted	claude-ruling	
afro-eurasia	landmass	accepted	claude-ruling	
afterglow	event	single	sumo	
afterglow	luminosity	single	sumo	
afterglow	natural-event	accepted	claude wordnet	
afterglow	phenomenon	accepted	sumo wordnet	
afterglow	process	single	wordnet	
aftershock	earthquake	accepted	opencyc wordnet	
aftershock	event	single	opencyc	
aftershock	geological-phenomenon	single	wordnet	
aftershock	natural-event	single	wordnet	
aftershock	phenomenon	single	wordnet	
aftershock	process	single	wordnet	
aftershock	situation	single	opencyc	
aftershock	tremor	accepted	claude wordnet	
air-mass	atmosphere	accepted	claude-ruling	
air-mass	atmospheric-state	accepted	claude wordnet	
air-mass	natural-event	single	wordnet	
air-mass	phenomenon	accepted	sumo wordnet	
air-mass	process	single	wordnet	
air-mass	universe	single	sumo	
air-mass	weather	single	wordnet	
air-pocket	natural-event	accepted	claude wordnet	
air-pocket	phenomenon	accepted	sumo wordnet	
air-pocket	place	single	sumo	
air-pocket	process	single	wordnet	
air-pocket	universe	single	sumo	
airstream	natural-event	single	wordnet	
airstream	phenomenon	single	wordnet	
airstream	process	single	wordnet	
airstream	weather	single	wordnet	
airstream	wind	accepted	claude wordnet	
aisle	geographical-area	single	sumo	
albers-projection	conic-projection	accepted	claude-ruling	
alluvial-fan	body-of-water	single	sumo	
alluvial-fan	geographical-area	single	sumo	
alluvial-fan	geological-formation	accepted	claude-ruling	
alluvial-fan	geological-phenomenon	dissented	wordnet	
alluvial-fan	natural-event	single	wordnet	
alluvial-fan	phenomenon	accepted	sumo wordnet	
alluvial-fan	place	single	sumo	
alluvial-fan	process	single	wordnet	
alluvial-fan	stream	single	sumo	
alluvial-fan	universe	single	sumo	
alluvial-flat	flatland	accepted	claude wordnet	
alluvial-flat	geographical-area	single	sumo	
alluvial-flat	land	accepted	sumo wordnet	
alluvial-flat	phenomenon	single	sumo	
alluvial-flat	physical-object	single	wordnet	
alluvial-flat	place	single	sumo	
alluvial-flat	plain	single	wordnet	
alluvial-flat	universe	single	sumo	
alluvial-flat	yard	single	sumo	
alluvial-sediment	phenomenon	single	sumo	
alluvial-sediment	sediment	accepted	claude wordnet	
alluvial-sediment	substance	single	wordnet	
alluvial-sediment	universe	single	sumo	
alluvial-soil	material	accepted	sumo wordnet	
alluvial-soil	part	single	wordnet	
alluvial-soil	phenomenon	single	sumo	
alluvial-soil	soil	accepted	claude wordnet	
alluvial-soil	substance	accepted	sumo wordnet	
alluvial-soil	universe	single	sumo	
ally	geographical-area	single	sumo	
alp	geographical-area	single	sumo	
alp	geological-formation	single	wordnet	
alp	land	single	sumo	
alp	mountain	accepted	claude wordnet	
alp	natural-elevation	single	wordnet	
alp	phenomenon	single	sumo	
alp	physical-object	single	wordnet	
alp	place	single	sumo	
alp	universe	single	sumo	
alp	yard	single	sumo	
alpine-glacier	geographical-feature	single	wikidata	
alpine-glacier	geological-formation	single	wordnet	
alpine-glacier	glacier	accepted	claude wikidata wordnet	
alpine-glacier	ice-mass	single	wordnet	
alpine-glacier	landform	single	wikidata	
alpine-glacier	physical-object	single	wordnet	
alps	mountain-range	accepted	claude-ruling	
altimeter	artifact	accepted	opencyc wordnet	
altimeter	device	accepted	opencyc wordnet	
altimeter	instrument	accepted	claude wordnet	
altimeter	physical-object	single	wordnet	
altitude	geographic-coordinate	accepted	claude-ruling	
altitude	quantity	accepted	claude-ruling	
altocumulus	cloud	accepted	sumo wikidata wordnet	
altocumulus	cumulus	accepted	wikidata wordnet	
altocumulus	material	single	sumo	
altocumulus	natural-event	single	wordnet	
