kind	sub	sup	detail
disputed	compass	gyrocompass	for wikidata; reversed by opencyc sumo wordnet
disputed	geographical-area	region	for wordnet; reversed by sumo
disputed	gyrocompass	compass	for opencyc sumo wordnet; reversed by wikidata
disputed	region	geographical-area	for sumo; reversed by wordnet
disputed	soil-horizon	soil-horizon	for claude; reversed by claude
single	abyssal-plain	geographical-feature	only wikidata
single	abyssal-plain	landform	only wikidata
single	abyssal-zone	body-of-water	only sumo
single	abyssal-zone	geographical-area	only sumo
single	abyssal-zone	geological-formation	only wordnet
single	abyssal-zone	natural-depression	only wordnet
single	abyssal-zone	physical-object	only wordnet
single	abyssal-zone	place	only sumo
single	abyssal-zone	waterbody-bed	only wordnet
single	achondrite	material	only sumo
single	achondrite	mineral	only sumo
single	achondrite	natural-object	only wordnet
single	achondrite	physical-object	only wordnet
single	achondrite	substance	only sumo
single	address	geographical-area	only sumo
single	adobe-clay	artifact	only opencyc
single	adobe-clay	soil	only wordnet
single	advection	event	only sumo
single	aegean-island	geographical-area	only sumo
single	aegean-island	physical-object	only wordnet
single	aegean-island	place	only sumo
single	aegean-island	yard	only sumo
single	aeolian-deflation	geological-process	only wordnet
single	aeolian-deflation	process	only wordnet
single	aerology	cognition	only wordnet
single	aerology	earth-science	only wordnet
single	aerology	natural-science	only wordnet
single	aerology	science	only wordnet
single	afterglow	event	only sumo
single	afterglow	luminosity	only sumo
single	afterglow	process	only wordnet
single	aftershock	event	only opencyc
single	aftershock	geological-phenomenon	only wordnet
single	aftershock	natural-event	only wordnet
single	aftershock	process	only wordnet
single	aftershock	situation	only opencyc
single	air-mass	natural-event	only wordnet
single	air-mass	process	only wordnet
single	air-mass	weather	only wordnet
single	air-pocket	place	only sumo
single	air-pocket	process	only wordnet
single	airstream	natural-event	only wordnet
single	airstream	process	only wordnet
single	airstream	weather	only wordnet
single	aisle	geographical-area	only sumo
single	alluvial-fan	body-of-water	only sumo
single	alluvial-fan	geographical-area	only sumo
single	alluvial-fan	natural-event	only wordnet
single	alluvial-fan	place	only sumo
single	alluvial-fan	process	only wordnet
single	alluvial-fan	stream	only sumo
single	alluvial-flat	geographical-area	only sumo
single	alluvial-flat	physical-object	only wordnet
single	alluvial-flat	place	only sumo
single	alluvial-flat	plain	only wordnet
single	alluvial-flat	yard	only sumo
single	alluvial-sediment	substance	only wordnet
single	ally	geographical-area	only sumo
single	alp	geographical-area	only sumo
single	alp	geological-formation	only wordnet
single	alp	land	only sumo
single	alp	natural-elevation	only wordnet
single	alp	physical-object	only wordnet
single	alp	place	only sumo
single	alp	yard	only sumo
single	alpine-glacier	geographical-feature	only wikidata
single	alpine-glacier	geological-formation	only wordnet
single	alpine-glacier	ice-mass	only wordnet
single	alpine-glacier	landform	only wikidata
single	alpine-glacier	physical-object	only wordnet
single	altimeter	physical-object	only wordnet
single	altocumulus	material	only sumo
single	altocumulus	natural-event	only wordnet
single	altocumulus	process	only wordnet
single	altocumulus	substance	only sumo
single	altocumulus	weather	only wikidata
single	altostratus	material	only sumo
single	altostratus	natural-event	only wordnet
single	altostratus	process	only wordnet
single	altostratus	substance	only sumo
single	altostratus	weather	only wikidata
single	ammonite	accomplishment	only sumo
single	ammonite	act	only sumo
single	ammonite	activity	only sumo
single	ammonite	communication	only sumo
single	ammonite	event	only sumo
single	ammonite	information	only sumo
single	ammonite	motion	only sumo
single	ammonite	physical-object	only wordnet
single	ammonite	procedure	only sumo
single	ammonite	volition	only sumo
single	anemometer	physical-object	only wordnet
single	anticyclone	event	only sumo
single	anticyclone	process	only wordnet
single	antitrade-wind	event	only sumo
single	antitrade-wind	natural-event	only wordnet
single	antitrade-wind	process	only wordnet
single	antitrade-wind	weather	only wordnet
single	antitrade-wind	wind	only wordnet
single	antitrades	event	only sumo
single	antitrades	natural-event	only wordnet
single	antitrades	process	only wordnet
single	antitrades	weather	only wordnet
single	antitrades	wind	only wordnet
single	apartment	geographical-area	only sumo
single	aquifer	body-of-water	only yago
single	aquifer	compound	only sumo
single	aquifer	landform	only yago
single	aquifer	material	only sumo
single	aquifer	physical-object	only wordnet
single	aquifer	place	only yago
single	aquifer	substance	only sumo
single	aquifer	water	only sumo
single	archipelago	geographical-feature	only wikidata
single	archipelago	physical-object	only wordnet
single	archipelago	place	only yago
single	arete	geographical-area	only sumo
single	arete	geological-formation	only wordnet
single	arete	land	only sumo
single	arete	physical-object	only wordnet
single	arete	place	only sumo
single	arete	yard	only sumo
single	arroyo	cavity	only opencyc
single	arroyo	geological-formation	only wordnet
single	arroyo	natural-depression	only wordnet
single	arroyo	physical-object	only wordnet
single	arroyo	route	only opencyc
single	arroyo	valley	only wordnet
single	artificial-horizon	physical-object	only wordnet
single	ascent	geographical-area	only sumo
single	ascent	geological-formation	only wordnet
single	ascent	land	only sumo
single	ascent	physical-object	only wordnet
single	ascent	place	only sumo
single	ascent	yard	only sumo
single	astrolabe	artifact	only wikidata
single	astrolabe	equipment	only wikidata
single	astrolabe	physical-object	only wikidata
single	astrolabe	tool	only wikidata
single	atlas	component	only sumo
single	atlas	contract-condition	only sumo
single	atlas	data-file	only sumo
single	atlas	device	only sumo
single	atlas	indication	only sumo
single	atlas	line-of-text	only sumo
single	atlas	mechanism	only sumo
single	atlas	news	only sumo
single	atlas	note	only sumo
single	atlas	text	only sumo
single	atmospheric-electricity	process	only wordnet
single	atmospheric-halo	event	only sumo
single	atmospheric-halo	luminosity	only sumo
single	atmospheric-halo	process	only wordnet
single	atmospheric-science	field-of-study	only opencyc
single	atmospheric-science	information	only opencyc
single	atmospheric-state	attribute	only sumo
single	atmospheric-state	natural-event	only wordnet
single	atmospheric-state	process	only wordnet
single	atmospheric-state	property	only sumo
single	atoll	geographical-feature	only wikidata
single	atoll	geological-formation	only wordnet
single	atoll	landform	only wikidata
single	atoll	landmass	only opencyc
single	atoll	natural-elevation	only wordnet
single	atoll	natural-ridge	only wordnet
single	atoll	physical-object	only wordnet
