name	issue	ids
range-of-a-function	name collision with 'image' — (mathematics) the set of values of the dependent variable fo	08000304
plane-section	name collision with 'section' — (geometry) the area created by a plane cutting through a sol	08648153
angle-of-inclination	name collision with 'inclination' — (geometry) the angle formed by the x-axis and a given line (	13889602
identity-element	name collision with 'identity' — an operator that leaves unchanged the element on which it op	13786748
mathematical-group	name collision with 'group' — a set that is closed, associative, has an identity element a	06016853
binary-relation	opencyc: 2 classes match ['binary-relation']	Mx4rvnXI-ZwpEbGdrcN5Y29ycA Mx8Ngh4rvzYQWJwpEbGdrcN5Y29ycII
calculus	wikidata: 2 classes match ['calculus']	Q144037 Q617079
generating-function	wikidata: 2 classes match ['generating-function']	Q845581 Q860609
lemma	wikidata: 2 classes match ['lemma']	Q207505 Q3089146
quantifier	opencyc: 2 classes match ['quantifier']	Mx4rvVjCcZwpEbGdrcN5Y29ycA Mx4rwPKqk5wpEbGdrcN5Y29ycA
tautology	wikidata: 2 classes match ['tautology']	Q209555 Q7688964
tensor	wikidata: 2 classes match ['tensor']	Q188524 Q3518150
transformation	wikidata: 5 classes match ['transformation']	Q12202238 Q2449090 Q461499 Q47038484 Q65757353
transformation	opencyc: 2 classes match ['transformation']	Mx4r7-JZ_McDScORT1PNYpZpJw Mx4rYhN8mskkEdmAAAACs6hRjg
transitive-closure	wikidata: 2 classes match ['transitive-closure']	Q1501387 Q15851379
