sub	sup	status	for	against
abelian-group	algebraic-magma	single	wikidata	
abelian-group	algebraic-structure	single	wikidata	
abelian-group	logical-relation	single	sumo	
abelian-group	mathematical-group	accepted	claude wikidata wordnet	
abelian-group	mathematical-module	dissented	wikidata	
abelian-group	mathematical-set	accepted	sumo wordnet	
abelian-group	mathematical-structure	single	wikidata	
abelian-group	module	dissented	wikidata	
abelian-group	monoid	single	wikidata	
abelian-group	quasigroup	single	wikidata	
abelian-group	semigroup	single	wikidata	
abelian-group	subset	single	sumo	
abelian-group	topological-space	dissented	wikidata	
ability	logical-relation	single	sumo	
acceptance-sampling	accomplishment	single	sumo	
acceptance-sampling	act	accepted	sumo wordnet	
acceptance-sampling	activity	accepted	sumo wordnet	
acceptance-sampling	cognition	single	wordnet	
acceptance-sampling	event	accepted	sumo wordnet	
acceptance-sampling	phenomenon	single	sumo	
acceptance-sampling	procedure	single	sumo	
acceptance-sampling	sample-distribution	dissented	wordnet	
acceptance-sampling	statistical-distribution	single	wordnet	
acceptance-sampling	statistical-method	accepted	claude-ruling	
acceptance-sampling	volition	single	sumo	
access	logical-relation	single	sumo	
acknowledgment	logical-relation	single	sumo	
acquaintance	logical-relation	single	sumo	
action	logical-relation	single	sumo	
activeness	logical-relation	single	sumo	
acute-triangle	attribute	single	wordnet	
acute-triangle	polygon	single	wordnet	
acute-triangle	shape	single	wordnet	
acute-triangle	triangle	accepted	claude wordnet	
addiction	logical-relation	single	sumo	
additive-inverse	amateur	single	sumo	
additive-inverse	ambiance	single	sumo	
additive-inverse	attribute	single	sumo	
additive-inverse	circumstance	single	sumo	
additive-inverse	civilisation	single	sumo	
additive-inverse	crowd	single	sumo	
additive-inverse	custom	single	sumo	
additive-inverse	danger	single	sumo	
additive-inverse	expert	single	sumo	
additive-inverse	freedom	single	sumo	
additive-inverse	hero	single	sumo	
additive-inverse	lap	single	sumo	
additive-inverse	literary-works	single	sumo	
additive-inverse	logical-relation	single	sumo	
additive-inverse	normal	single	sumo	
additive-inverse	number	accepted	claude-ruling	
additive-inverse	point-of-view	single	sumo	
additive-inverse	practice	single	sumo	
additive-inverse	property	single	sumo	
additive-inverse	society	single	sumo	
additive-inverse	status	single	sumo	
additive-inverse	tension	single	sumo	
additive-inverse	way	single	sumo	
adeptness	logical-relation	single	sumo	
adjacency-matrix	data-structure	single	wikidata	
adjacency-matrix	matrix	accepted	claude-ruling wikidata	
adjacency-matrix	tensor	single	wikidata	
administrator	logical-relation	single	sumo	
admiration	logical-relation	single	sumo	
admonition	logical-relation	single	sumo	
advancement	logical-relation	single	sumo	
advantage	logical-relation	single	sumo	
adventure	logical-relation	single	sumo	
adversity	logical-relation	single	sumo	
adviser	logical-relation	single	sumo	
aes	block-cipher	accepted	claude-ruling	
affine-geometry	cognition	single	wordnet	
affine-geometry	field-of-study	accepted	sumo wordnet	
affine-geometry	geometry	accepted	claude wordnet	
affine-geometry	logical-relation	single	sumo	
affine-geometry	mathematics	single	wordnet	
affine-geometry	science	single	wordnet	
affine-geometry	signified	single	sumo	
affine-transformation	algebraic-structure	single	wikidata	
affine-transformation	automorphism	dissented	wikidata	
affine-transformation	bijection	accepted	claude wikidata	
affine-transformation	binary-relation	single	wikidata	
affine-transformation	endomorphism	single	wikidata	
affine-transformation	function	accepted	wikidata wordnet	
affine-transformation	homomorphism	single	wikidata	
