kind	sub	sup	detail
disputed	expression	information	for sumo wordnet; reversed by opencyc
disputed	information	expression	for opencyc; reversed by sumo wordnet
disputed	mathematical-statement	expression	for opencyc; reversed by wordnet
single	abelian-group	algebraic-magma	only wikidata
single	abelian-group	algebraic-structure	only wikidata
single	abelian-group	logical-relation	only sumo
single	abelian-group	mathematical-structure	only wikidata
single	abelian-group	monoid	only wikidata
single	abelian-group	quasigroup	only wikidata
single	abelian-group	semigroup	only wikidata
single	abelian-group	subset	only sumo
single	ability	logical-relation	only sumo
single	academy	expression	only opencyc
single	acceptance-sampling	accomplishment	only sumo
single	acceptance-sampling	cognition	only wordnet
single	acceptance-sampling	procedure	only sumo
single	acceptance-sampling	statistical-distribution	only wordnet
single	acceptance-sampling	volition	only sumo
single	account	expression	only opencyc
single	accuracy	disposition	only opencyc
single	acknowledgment	expression	only opencyc
single	acknowledgment	logical-relation	only sumo
single	acquaintance	logical-relation	only sumo
single	acquisition	expression	only opencyc
single	action	expression	only opencyc
single	action	logical-relation	only sumo
single	activeness	logical-relation	only sumo
single	actor	expression	only opencyc
single	acute-triangle	attribute	only wordnet
single	acute-triangle	polygon	only wordnet
single	acute-triangle	shape	only wordnet
single	acyclic-graph	hypergraph	only wikidata
single	acyclic-graph	mathematical-graph	only wikidata
single	acyclic-graph	mathematical-structure	only wikidata
single	adaptation	expression	only opencyc
single	addiction	logical-relation	only sumo
single	additive-inverse	amateur	only sumo
single	additive-inverse	ambiance	only sumo
single	additive-inverse	attribute	only sumo
single	additive-inverse	circumstance	only sumo
single	additive-inverse	civilisation	only sumo
single	additive-inverse	crowd	only sumo
single	additive-inverse	custom	only sumo
single	additive-inverse	danger	only sumo
single	additive-inverse	expert	only sumo
single	additive-inverse	freedom	only sumo
single	additive-inverse	lap	only sumo
single	additive-inverse	literary-works	only sumo
single	additive-inverse	logical-relation	only sumo
single	additive-inverse	normal	only sumo
single	additive-inverse	practice	only sumo
single	additive-inverse	property	only sumo
single	additive-inverse	society	only sumo
single	additive-inverse	status	only sumo
single	additive-inverse	tension	only sumo
single	additive-inverse	way	only sumo
single	address	expression	only opencyc
single	adeptness	logical-relation	only sumo
single	adjacency-matrix	tensor	only wikidata
single	administrator	logical-relation	only sumo
single	admiration	logical-relation	only sumo
single	admission	expression	only opencyc
single	admonition	logical-relation	only sumo
single	advantage	logical-relation	only sumo
single	adventure	logical-relation	only sumo
single	adversity	logical-relation	only sumo
single	advice	expression	only opencyc
single	adviser	logical-relation	only sumo
single	affine-geometry	cognition	only wordnet
single	affine-geometry	logical-relation	only sumo
single	affine-geometry	mathematics	only wordnet
single	affine-geometry	science	only wordnet
single	affine-transformation	algebraic-structure	only wikidata
single	affine-transformation	binary-relation	only wikidata
single	affine-transformation	endomorphism	only wikidata
single	affine-transformation	homomorphism	only wikidata
single	affine-transformation	isomorphism	only wikidata
single	affine-transformation	logical-relation	only sumo
single	affine-transformation	mathematical-relation	only wordnet
single	affine-transformation	mathematical-set	only wikidata
single	affine-transformation	mathematical-structure	only wikidata
single	affine-transformation	surjective-function	only wikidata
single	affinity	logical-relation	only sumo
single	affirmation	expression	only opencyc
single	age	logical-relation	only sumo
single	age-norm	cognition	only wordnet
single	age-norm	logical-relation	only sumo
single	age-norm	quantity	only sumo
single	age-norm	statistic	only wordnet
single	agony	logical-relation	only sumo
single	aids	expression	only opencyc
single	airline	expression	only opencyc
single	algebra	cognition	only wordnet
single	algebra	logical-relation	only sumo
single	algebra	science	only wordnet
single	algebra-over-a-field	algebraic-structure	only wikidata
single	algebra-over-a-field	mathematical-module	only wikidata
single	algebra-over-a-field	mathematical-structure	only wikidata
single	algebraic-magma	mathematical-structure	only wikidata
single	algebraic-number	algebraic-structure	only wikidata
single	algebraic-number	interval	only opencyc
single	algebraic-number	join-semilattice	only wikidata
single	algebraic-number	mathematical-lattice	only wikidata
single	algebraic-number	mathematical-structure	only wikidata
single	algebraic-number	meet-semilattice	only wikidata
single	algebraic-number	partially-ordered-set	only wikidata
single	algebraic-number	quaternion	only wikidata
single	algebraic-number	real-number	only opencyc
single	algebraic-number	totally-ordered-set	only wikidata
single	algorithm	act	only wordnet
single	algorithm	activity	only wordnet
single	algorithm	event	only wordnet
single	algorithm	expression	only opencyc
single	algorithm	information	only opencyc
single	algorithm	logical-relation	only sumo
single	algorithm	measure	only sumo
single	algorithm	routine	only sumo
single	allotment	expression	only opencyc
single	allowance	expression	only opencyc
single	aloofness	logical-relation	only sumo
single	amateur	logical-relation	only sumo
single	ambiance	logical-relation	only sumo
single	ambiguity	logical-relation	only sumo
single	ambition	logical-relation	only sumo
single	amphetamine	expression	only opencyc
single	analogue	logical-relation	only sumo
single	analysis-of-variance	cognition	only wordnet
single	analysis-of-variance	field-of-study	only sumo
single	analysis-of-variance	logical-relation	only sumo
single	analysis-of-variance	method	only wordnet
single	analysis-of-variance	statistical-method	only wordnet
single	analyst	expression	only opencyc
single	analyst	logical-relation	only sumo
single	analytic-geometry	cognition	only wordnet
single	analytic-geometry	logical-relation	only sumo
single	analytic-geometry	mathematics	only wordnet
single	analytic-geometry	science	only wordnet
single	ancestor	logical-relation	only sumo
single	angle	logical-relation	only sumo
single	angle-of-inclination	attribute	only wordnet
single	angle-of-inclination	empty-space	only wordnet
single	angle-of-inclination	logical-relation	only sumo
single	angle-of-inclination	physical-object	only wordnet
single	angle-of-inclination	place	only wordnet
single	angle-of-inclination	quantity	only sumo
single	angle-of-inclination	shape	only wordnet
single	annotation	expression	only opencyc
single	antichain	algebraic-structure	only wikidata
single	antichain	mathematical-set	only wikidata
single	antichain	mathematical-structure	only wikidata
single	anticipation	logical-relation	only sumo
single	antisymmetric-relation	algebraic-structure	only wikidata
single	antisymmetric-relation	mathematical-set	only wikidata
single	antisymmetric-relation	mathematical-structure	only wikidata
single	apathy	logical-relation	only sumo
single	appeal	logical-relation	only sumo
single	appearance	logical-relation	only sumo
single	appendix	expression	only opencyc
single	appetite	logical-relation	only sumo
single	applicant	expression	only opencyc
single	applicant	logical-relation	only sumo
single	application	expression	only opencyc
single	application	logical-relation	only sumo
single	appointment	expression	only opencyc
single	appraisal	expression	only opencyc
single	appraisal-report	expression	only opencyc
single	arc-cosecant	function	only wordnet
single	arc-cosecant	logical-relation	only sumo
single	arc-cosecant	mathematical-relation	only wordnet
single	arc-cosine	function	only wordnet
single	arc-cosine	logical-relation	only sumo
single	arc-cosine	mathematical-relation	only wordnet
single	arc-cotangent	function	only wordnet
single	arc-cotangent	logical-relation	only sumo
single	arc-cotangent	mathematical-relation	only wordnet
single	arc-secant	function	only wordnet
single	arc-secant	logical-relation	only sumo
single	arc-secant	mathematical-relation	only wordnet
single	arc-sine	function	only wordnet
single	arc-sine	logical-relation	only sumo
single	arc-sine	mathematical-relation	only wordnet
single	arc-tangent	function	only wordnet
single	arc-tangent	logical-relation	only sumo
single	arc-tangent	mathematical-relation	only wordnet
single	architect	expression	only opencyc
single	architecture	expression	only opencyc
single	architecture	logical-relation	only sumo
single	ardor	logical-relation	only sumo
single	arithmetic	cognition	only wordnet
single	arithmetic	logical-relation	only sumo
single	arithmetic	science	only wordnet
single	arithmetic-mean	average	only wordnet
single	arithmetic-mean	cognition	only wordnet
single	arithmetic-mean	logical-relation	only sumo
single	arithmetic-mean	statistic	only wordnet
single	arithmetic-operation	accomplishment	only sumo
single	arithmetic-operation	algebraic-structure	only wikidata
single	arithmetic-operation	binary-relation	only wikidata
single	arithmetic-operation	calculation	only sumo
single	arithmetic-operation	function	only wikidata
single	arithmetic-operation	information	only sumo
single	arithmetic-operation	mathematical-set	only wikidata
single	arithmetic-operation	mathematical-structure	only wikidata
single	arithmetic-operation	volition	only sumo
single	arithmetic-progression	logical-relation	only sumo
single	arity	logical-relation	only sumo
single	arity	quantity	only sumo
single	army-division	expression	only opencyc
single	arrangement-scheme	logical-relation	only sumo
single	article	expression	only opencyc
single	artist	expression	only opencyc
single	aspect	logical-relation	only sumo
single	aspiration	logical-relation	only sumo
single	assistant	expression	only opencyc
single	association	expression	only opencyc
single	astronomy	logical-relation	only sumo
single	asymmetry	logical-relation	only sumo
single	asymmetry	property	only sumo
single	asymmetry	shape	only sumo
single	athlete	expression	only opencyc
single	attention	expression	only opencyc
single	attention	logical-relation	only sumo
single	attitude	logical-relation	only sumo
single	attraction	logical-relation	only sumo
single	attribute	logical-relation	only sumo
single	auction	expression	only opencyc
single	auditor	expression	only opencyc
single	augury	logical-relation	only sumo
single	aunt	logical-relation	only sumo
single	authorities	logical-relation	only sumo
single	automorphism	algebraic-structure	only wikidata
single	automorphism	binary-relation	only wikidata
single	automorphism	function	only wikidata
single	automorphism	homomorphism	only wikidata
single	automorphism	mathematical-set	only wikidata
single	automorphism	mathematical-structure	only wikidata
single	autonomy	logical-relation	only sumo
single	average	logical-relation	only sumo
single	axiom	context	only opencyc
single	axiom	expression	only opencyc
single	axiom	line-of-text	only sumo
single	axiom	sentence	only sumo
single	axiom	theorem	only wikidata
single	axis	manifold	only opencyc
single	bail-bond	logical-relation	only sumo
single	balance	logical-relation	only sumo
single	ballet	expression	only opencyc
single	ballot	expression	only opencyc
single	band	expression	only opencyc
single	bankruptcy	expression	only opencyc
single	banquet	expression	only opencyc
single	bark	expression	only opencyc
single	baron	expression	only opencyc
single	barrel-shape	logical-relation	only sumo
single	barter	expression	only opencyc
single	bayes'-postulate	line-of-text	only sumo
single	bayes'-postulate	sentence	only sumo
single	bayes'-theorem	cognition	only wordnet
single	bayes'-theorem	logical-relation	only sumo
single	beam	manifold	only opencyc
single	bearing	logical-relation	only sumo
single	bearing	range-of-a-function	only sumo
single	belief	logical-relation	only sumo
single	belongings	logical-relation	only sumo
single	beneficiary	logical-relation	only sumo
single	benefit	logical-relation	only sumo
single	bernoulli's-law	cognition	only wordnet
single	bernoulli's-law	idea	only wordnet
single	bernoulli's-law	logical-relation	only sumo
single	betrothal	expression	only opencyc
single	bible	expression	only opencyc
single	bijection	algebraic-structure	only wikidata
single	bijection	binary-relation	only wikidata
single	bijection	function	only wikidata
single	bijection	mathematical-set	only wikidata
single	bijection	mathematical-structure	only wikidata
single	binary-relation	algebraic-structure	only wikidata
single	binary-relation	mathematical-structure	only wikidata
single	binomial	cognition	only wordnet
single	binomial	concept	only wordnet
single	binomial	idea	only wordnet
single	binomial	logical-relation	only sumo
single	binomial-distribution	cognition	only wordnet
single	binomial-distribution	logical-relation	only sumo
single	binomial-theorem	information	only wordnet
single	binomial-theorem	logical-relation	only sumo
single	binomial-theorem	proposition	only wordnet
single	biology	logical-relation	only sumo
single	bipartite-graph	hypergraph	only wikidata
single	bipartite-graph	mathematical-graph	only wikidata
single	bipartite-graph	mathematical-structure	only wikidata
single	biquadratic	function	only wordnet
single	biquadratic	logical-relation	only sumo
single	biquadratic	mathematical-relation	only wordnet
single	biquadratic	quantity	only sumo
single	biquadratic-equation	information	only wordnet
single	biquadratic-equation	mathematical-statement	only wordnet
single	birth	expression	only opencyc
single	biserial-correlation-coefficient	cognition	only wordnet
single	biserial-correlation-coefficient	logical-relation	only sumo
single	biserial-correlation-coefficient	parametric-statistic	only wordnet
single	biserial-correlation-coefficient	quantity	only sumo
single	biserial-correlation-coefficient	statistic	only wordnet
single	blackmail	expression	only opencyc
single	blessing	expression	only opencyc
single	bloodshed	expression	only opencyc
single	board-of-directors	expression	only opencyc
single	boldness	logical-relation	only sumo
single	boldness	range-of-a-function	only sumo
single	bolt	manifold	only opencyc
single	boolean-algebra	algebraic-magma	only wikidata
single	boolean-algebra	algebraic-structure	only wikidata
single	boolean-algebra	bounded-lattice	only wikidata
single	boolean-algebra	distributive-lattice	only wikidata
single	boolean-algebra	join-semilattice	only wikidata
single	boolean-algebra	mathematical-module	only wikidata
single	boolean-algebra	mathematical-ring	only wikidata
single	boolean-algebra	mathematical-structure	only wikidata
single	boolean-algebra	meet-semilattice	only wikidata
single	boolean-algebra	partially-ordered-set	only wikidata
single	boolean-algebra	semigroup	only wikidata
single	boolean-function	algebraic-structure	only wikidata
single	boolean-function	binary-relation	only wikidata
single	boolean-function	mathematical-set	only wikidata
single	boolean-function	mathematical-structure	only wikidata
single	boom	logical-relation	only sumo
single	boundary-condition	information	only wordnet
single	boundary-condition	logical-relation	only sumo
single	boundary-condition	postulate	only wordnet
single	boundary-condition	premise	only wordnet
single	boundary-condition	proposition	only wordnet
single	bounded-lattice	algebraic-structure	only wikidata
single	bounded-lattice	join-semilattice	only wikidata
single	bounded-lattice	mathematical-structure	only wikidata
single	bounded-lattice	meet-semilattice	only wikidata
single	bounded-lattice	partially-ordered-set	only wikidata
single	branch	expression	only opencyc
single	brand	logical-relation	only sumo
single	breakdown	logical-relation	only sumo
single	brewery	expression	only opencyc
single	bride	expression	only opencyc
single	brilliance	logical-relation	only sumo
single	brother	logical-relation	only sumo
single	bureaucracy	expression	only opencyc
single	bureaucracy	logical-relation	only sumo
single	bus-ticket	expression	only opencyc
single	businessman	expression	only opencyc
single	businessman	logical-relation	only sumo
single	calamity	logical-relation	only sumo
single	calculus	cognition	only wordnet
single	calculus	logical-relation	only sumo
single	calculus	science	only wordnet
single	calculus-of-variations	cognition	only wordnet
single	calculus-of-variations	logical-relation	only sumo
single	calculus-of-variations	mathematics	only wordnet
single	calculus-of-variations	science	only wordnet
single	calendar	logical-relation	only sumo
single	call	expression	only opencyc
single	campaign	expression	only opencyc
single	campaigner	logical-relation	only sumo
single	capital-city	expression	only opencyc
single	caprice	logical-relation	only sumo
single	caption	expression	only opencyc
single	card	expression	only opencyc
single	cardinality	logical-relation	only sumo
single	cardinality	quantity	only sumo
single	care	expression	only opencyc
single	career	logical-relation	only sumo
single	carriage	logical-relation	only sumo
single	case	expression	only opencyc
single	cash	expression	only opencyc
single	catch	logical-relation	only sumo
single	category	logical-relation	only sumo
single	caution	logical-relation	only sumo
single	census	expression	only opencyc
single	certificate	expression	only opencyc
single	challenging-situation	logical-relation	only sumo
single	championship	expression	only opencyc
single	championship	logical-relation	only sumo
single	chaos	logical-relation	only sumo
single	chapter	expression	only opencyc
single	characteristic	logical-relation	only sumo
single	charity	expression	only opencyc
single	charm	logical-relation	only sumo
single	chart	expression	only opencyc
single	charter	expression	only opencyc
single	chemistry	logical-relation	only sumo
single	chief	logical-relation	only sumo
single	church	expression	only opencyc
single	circle	algebraic-structure	only wikidata
single	circle	mathematical-set	only wikidata
single	circle	mathematical-structure	only wikidata
single	circumstance	logical-relation	only sumo
single	citizen	expression	only opencyc
single	city	expression	only opencyc
single	civilian	expression	only opencyc
single	civilisation	logical-relation	only sumo
single	civilization	logical-relation	only sumo
single	class	expression	only opencyc
single	clemency	expression	only opencyc
single	clemency	logical-relation	only sumo
single	climate	logical-relation	only sumo
single	clipping	expression	only opencyc
single	closed-interval	logical-relation	only sumo
single	closed-interval	subset	only sumo
single	closure-operator	algebraic-structure	only wikidata
single	closure-operator	binary-relation	only wikidata
single	closure-operator	function	only wikidata
single	closure-operator	mathematical-set	only wikidata
single	closure-operator	mathematical-structure	only wikidata
single	coach	expression	only opencyc
single	coach	logical-relation	only sumo
single	coating	expression	only opencyc
single	code	logical-relation	only sumo
single	coefficient-of-concordance	cognition	only wordnet
single	coefficient-of-concordance	logical-relation	only sumo
single	coefficient-of-concordance	nonparametric-statistic	only wordnet
single	coefficient-of-concordance	quantity	only sumo
single	coefficient-of-concordance	statistic	only wordnet
single	cognition	logical-relation	only sumo
single	coin	expression	only opencyc
single	cold	logical-relation	only sumo
single	coldness	logical-relation	only sumo
single	colleague	logical-relation	only sumo
single	college	expression	only opencyc
single	color	logical-relation	only sumo
single	column	expression	only opencyc
single	coma	expression	only opencyc
single	combinatorial-combination	act	only wordnet
single	combinatorial-combination	activity	only wordnet
single	combinatorial-combination	procedure	only wordnet
single	comedy	expression	only opencyc
single	comfort	logical-relation	only sumo
single	comic-strip	expression	only opencyc
single	command	logical-relation	only sumo
single	commission	logical-relation	only sumo
single	commitment	logical-relation	only sumo
single	committee	expression	only opencyc
single	common-sense	logical-relation	only sumo
single	commutative-ring	algebraic-structure	only wikidata
single	commutative-ring	mathematical-structure	only wikidata
single	comparison	expression	only opencyc
single	compassion	logical-relation	only sumo
single	compassion	range-of-a-function	only sumo
single	competence	logical-relation	only sumo
single	competition	expression	only opencyc
single	competitive-edge	logical-relation	only sumo
single	competitive-lead	logical-relation	only sumo
single	complete-graph	hypergraph	only wikidata
single	complete-graph	mathematical-graph	only wikidata
single	complete-graph	mathematical-structure	only wikidata
single	complete-graph	undirected-graph	only wikidata
single	complete-lattice	algebraic-structure	only wikidata
single	complete-lattice	join-semilattice	only wikidata
single	complete-lattice	mathematical-structure	only wikidata
single	complete-lattice	meet-semilattice	only wikidata
single	complete-lattice	partially-ordered-set	only wikidata
single	complex-number	algebraic-structure	only wikidata
single	complex-number	join-semilattice	only wikidata
single	complex-number	logical-relation	only sumo
single	complex-number	mathematical-lattice	only wikidata
single	complex-number	mathematical-structure	only wikidata
single	complex-number	meet-semilattice	only wikidata
single	complex-number	partially-ordered-set	only wikidata
single	complex-number	quantity	only sumo
single	complication	logical-relation	only sumo
single	composer	expression	only opencyc
single	compromise	expression	only opencyc
single	computer	expression	only opencyc
single	computer-memory	expression	only opencyc
single	computer-program	logical-relation	only sumo
single	computer-science	logical-relation	only sumo
single	computer-virus	expression	only opencyc
single	computer-virus	logical-relation	only sumo
single	computer-worm	logical-relation	only sumo
single	concave-polygon	curve	only sumo
single	concave-polygon	logical-relation	only sumo
single	concave-polygon	property	only sumo
single	concept	expression	only opencyc
single	concept	logical-relation	only sumo
single	concession	expression	only opencyc
single	condition	logical-relation	only sumo
single	conditional-probability	logical-relation	only sumo
single	conductor	expression	only opencyc
single	conductor	logical-relation	only sumo
single	conference	expression	only opencyc
single	confession	expression	only opencyc
single	confidence	logical-relation	only sumo
single	conformity	expression	only opencyc
single	conformity	logical-relation	only sumo
single	conic-section	algebraic-structure	only wikidata
single	conic-section	logical-relation	only sumo
single	conic-section	mathematical-structure	only wikidata
single	conic-section	property	only sumo
single	connected-component	algebraic-structure	only wikidata
single	connected-component	hypergraph	only wikidata
single	connected-component	mathematical-graph	only wikidata
single	connected-component	mathematical-set	only wikidata
single	connected-component	mathematical-structure	only wikidata
single	connected-component	subset	only wikidata
single	connected-component	undirected-graph	only wikidata
single	connected-graph	hypergraph	only wikidata
single	connected-graph	mathematical-graph	only wikidata
single	connected-graph	mathematical-structure	only wikidata
single	connectedness	logical-relation	only sumo
single	consciousness	logical-relation	only sumo
single	consensus	expression	only opencyc
single	consideration	logical-relation	only sumo
single	conspiracy	logical-relation	only sumo
single	constitution	logical-relation	only sumo
single	constraint	logical-relation	only sumo
single	consumer	expression	only opencyc
single	context	expression	only opencyc
single	context	logical-relation	only sumo
single	contract	expression	only opencyc
single	contract	logical-relation	only sumo
single	contradiction	logical-relation	only sumo
single	conventionality	logical-relation	only sumo
single	convergence	algebraic-structure	only wikidata
single	convergence	binary-relation	only wikidata
single	convergence	increase	only sumo
single	convergence	mathematical-relation	only wordnet
single	convergence	mathematical-set	only wikidata
single	convergence	mathematical-structure	only wikidata
single	convergence	polynomial	only wordnet
