# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- medicine batch 1: wordnet  ---
abarticulation	dislocation	accept		14294271	14291561
abdominoplasty	plastic-surgery	accept		00034777	00690501
abortionist	doctor	reject	not necessarily a doctor, by the gloss itself	09757175	10020890
abscess	symptom	accept		14312172	14299637
acting-out	information	reject	a behaviour, not information	06887962	00033020
actinomycin	antibacterial	accept		02677602	02716205
acute-leukemia	leukemia	accept		14243268	14242922
acute-lymphocytic-leukemia	acute-leukemia	accept		14243393	14243268
acute-myelocytic-leukemia	acute-leukemia	accept		14243649	14243268
acute-myelocytic-leukemia	myelocytic-leukemia	accept		14243649	14245163
acute-schizophrenic-episode	schizophrenia	accept		14400325	14398523
acyclovir	medication	accept		02678528	03740161
adenoidectomy	ablation	accept		00665970	00393369
administration	medication.act	accept		00694990	00664110
adrenalectomy	ablation	accept		00666107	00393369
aeromedicine	biomedicine	accept		06046037	06046898
ague	symptom	accept		14340462	14299637
aids	communicable-disease	accept		14127782	14122053
albuminuria	symptom	accept		14265958	14299637
alcoholic-dementia	dementia	accept		14395597	14395403
alendronate	medication	accept		02696384	03740161
alienism	psychiatry	accept		06056787	06055946
alienist	psychiatrist	accept		09783653	10488016
alkalinuria	symptom	accept		14021118	14299637
allergology	medical-specialty	accept		06046245	06043075
allopurinol	medication	accept		02698036	03740161
alveolar-rhabdomyosarcoma	rhabdomyosarcoma	accept		14245758	14245405
alzheimer's-disease	presenile-dementia	accept		14396096	14395955
amastia	condition	accept		14022369	13920835
amebiasis	protozoal-infection	accept		14175165	14178913
amebic-dysentery	amebiasis	accept		14175313	14175165
amebic-dysentery	communicable-disease	accept		14175313	14122053
amenorrhea	symptom	accept		14302261	14299637
aminoaciduria	symptom	accept		14266168	14299637
ammoniuria	symptom	accept		14266313	14299637
amphotericin	antibacterial	accept		02705558	02716205
amputation	operation	accept		00666350	00671351
amputator	surgeon	accept		09789449	10679174
amrinone	medication	accept		02706373	03740161
amygdalotomy	psychosurgery	accept		00683722	00667384
analyst	psychiatrist	reject	a psychoanalyst need not be a physician	09790278	10488016
anemia	symptom	reject	WordNet's 'lack of vitality' sense; the blood disorder is the one everyone means — overridden	14372738	14299637
anesthesiology	medical-specialty	accept		06046383	06043075
angiogenesis-inhibitor	medication	accept		02711422	03740161
angiology	medical-specialty	accept		06046528	06043075
anorexia-nervosa	condition	accept		14061263	13920835
anthrax	disease	accept		14072423	14070360
anti-inflammatory	medication	accept		02721538	03740161
antibacterial	medication	accept		02716205	03740161
anticholinesterase	medication	accept		02718084	03740161
antidiabetic	medication	accept		02719105	03740161
antidiarrheal	medication	accept		02719294	03740161
antidiuretic	medication	accept		02719450	03740161
antiemetic	medication	accept		02719750	03740161
antigenic-determinant	place	reject	a site on a molecule is not a place	15037664	00027167
antihistamine	medication	accept		02720725	03740161
antihypertensive	medication	accept		02721160	03740161
antimycin	antibacterial	accept		02722349	02716205
antineoplastic-antibiotic	antibacterial	accept		02722997	02716205
antineoplastic-antibiotic	cytotoxic-drug	accept		02722997	03157987
antiprotozoal	medication	accept		02723292	03740161
antipyresis	medication.act	accept		00664285	00664110
antipyretic	medication	accept		02723595	03740161
antiseptic	medication	accept		02724207	03740161
antispasmodic	medication	accept		02724533	03740161
antiviral	medication	accept		02725367	03740161
apc	medication	accept		02726861	03740161
apnea	symptom	accept		14369408	14299637
appendectomy	ablation	accept		00666232	00393369
areflexia	symptom	accept		14406465	14299637
arthrodesis	arthroplasty	accept		00666600	00666733
arthroscope	endoscope	accept		02744961	03286572
artificial-kidney	dialyzer	accept		02746008	03187751
aspergillosis	opportunistic-infection	accept		14182871	14178482
aspergillosis.state	disease	accept		14071559	14070360
assertiveness-training	behavior-therapy	accept		00701325	00700979
astringent	medication	accept		02750835	03740161
atomic-cocktail	medication	accept		02753569	03740161
atrophy	symptom	accept		14365741	14299637
attention-deficit-disorder	syndrome	accept		14056280	14304060
audiology	otology	accept		06060732	06054700
aura	symptom	accept		14302460	14299637
autism	syndrome	accept		05896998	14304060
autoimmune-disease	disease	accept		14187378	14070360
autoinjector	hypodermic-syringe	accept		02759700	03555662
autoplasty	plastic-surgery	accept		00667096	00690501
aversion-therapy	behavior-therapy	accept		00701491	00700979
azathioprine	medication	accept		02765247	03740161
aztreonam	antibacterial	accept		02765868	02716205
bacitracin	antibacterial	accept		02767240	02716205
bacteriology	medical-specialty	accept		06046692	06043075
ballistocardiograph	instrument	accept		02781764	03574816
bedlam	mental-hospital	reject	dropped — a pejorative	02820798	03746574
