# offset-or-name	reason
14314756	cloudy urine is a sign, not a category worth a name (nebula)
01460108	obsolete and offensive (monster)
05696941	obscure (succedaneum)
14074267	slang (crud)
14397889	slang (craziness)
02820798	pejorative (bedlam)
13322113	not medicine (licensing-fee)
02726861	an obscure abbreviation (apc)
00673494	a duplicate of neurectomy under a misleading word (enervation)
10106642	a nanny, not medicine (foster-nurse)
14286435	religious marks, not medicine (stigmata)
14397563	a state of mind, not a disorder (irrationality)
