name	issue	ids
medical-specialty	name collision with 'medicine' — the branches of medical science that deal with nonsurgical t	06043075
emasculation	name collision with 'castration' — neutering a male animal by removing the testicles	00692349
medical-specialist	name collision with 'specialist' — practices one branch of medicine	10632576
cramp	name collision with 'spasm' — a painful and involuntary muscular contraction	14360459
anemia	wikidata: 2 classes match ['anemia']	Q3353348 Q5445
anthrax	opencyc: 4 classes match ['anthrax']	Mx4rv7ukd5wpEbGdrcN5Y29ycA Mx4rwNDvQpwpEbGdrcN5Y29ycA Mx8Ngh4rwC0k0JwpEbGdrcN5Y29ycB4rwNDvQpwpEbGdrcN5Y29ycA Mx8Ngh4rwU6E5pwpEbGdrcN5Y29ycB4rwNDvQpwpEbGdrcN5Y29ycA
bleeding	opencyc: 3 classes match ['bleeding']	Mx4rj_ftdLJ4EdmAhAACs6hRjg Mx4rplsTtC0GEdiLGQACs5b6-g Mx4rvVjPypwpEbGdrcN5Y29ycA
breast-cancer	opencyc: 2 classes match ['breast-cancer']	Mx4rA2TF17MRS5udFx8sqHoPnA Mx8Ngh4rwP3n95wpEbGdrcN5Y29ycB4rvVjV7ZwpEbGdrcN5Y29ycA
chelation	wikidata: 2 classes match ['chelation']	Q20827056 Q319827
colon-cancer	opencyc: 2 classes match ['colon-cancer']	Mx4rvnet_5wpEbGdrcN5Y29ycA Mx8Ngh4rwP3n95wpEbGdrcN5Y29ycB4rvgLEM5wpEbGdrcN5Y29ycA
cough	opencyc: 2 classes match ['cough']	Mx4rvVjRFJwpEbGdrcN5Y29ycA Mx4rwOExopwpEbGdrcN5Y29ycA
debridement	opencyc: 2 classes match ['debridement']	Mx4r9i0IVOyWEdyAAAACs6hRXg Mx4rY-FTRhJTEd2AAADggVfs8g
endemic-disease	wikidata: 2 classes match ['endemic-disease']	Q131351764 Q506680
inflammation	opencyc: 2 classes match ['inflammation']	Mx4rkQ2EfHS5EdaAAACgyZzFrg Mx4rzqELKi_sQdiMQcWjZGeuCQ
lymphoma	opencyc: 2 classes match ['lymphoma']	Mx4r-gbvJPZwSzCLbBJtAKD6aw Mx4rwDhYNZwpEbGdrcN5Y29ycA
pancreatic-cancer	opencyc: 2 classes match ['pancreatic-cancer']	Mx4ralfPU7ooTkymrq5ih14-ng Mx8Ngh4rwP3n95wpEbGdrcN5Y29ycB4rvVimZZwpEbGdrcN5Y29ycA
prostate-cancer	opencyc: 2 classes match ['prostate-cancer']	Mx4rB1B5fFBHQ9uI7bHCDJqprQ Mx8Ngh4rwP3n95wpEbGdrcN5Y29ycB4rv6trqZwpEbGdrcN5Y29ycA
prostatectomy	opencyc: 2 classes match ['prostatectomy']	Mx4rQm-ddtyZQdaCr9YfmQvIIA Mx8Ngh4rvVjGQZwpEbGdrcN5Y29ycB4rv6trqZwpEbGdrcN5Y29ycA
sanatorium	opencyc: 2 classes match ['sanatorium']	Mx4rhZjN-qoLEdqAAAAOpmP6tw Mx8Ngh4rc6oKzFsKEdaAAACQJ5pZBx4rhZjN-qoLEdqAAAAOpmP6tw
skin-disease	opencyc: 2 classes match ['skin-disease']	Mx4rvmBu25wpEbGdrcN5Y29ycA Mx8NhB4rwP1IC5wpEbGdrcN5Y29ycB4rwQw4WZwpEbGdrcN5Y29ycB4rvjgp25wpEbGdrcN5Y29ycB4rvVjX3ZwpEbGdrcN5Y29ycA
sneeze	opencyc: 2 classes match ['sneeze']	Mx4rvVjSW5wpEbGdrcN5Y29ycA Mx4rwRN-sJwpEbGdrcN5Y29ycA
swelling	opencyc: 3 classes match ['swelling']	Mx4ra9BFCDAcQdiRMIgf-W9jMQ Mx4rdMYhULaeEdmFRQACs6hRjg Mx4rv7045ZwpEbGdrcN5Y29ycA
