# QID	depth	note — bounded P279 walks for medicine; every QID verified by label 2026-09-03
Q12136	1	disease (250 direct)
Q2057971	1	health problem
Q169872	1	symptom
Q1441305	1	clinical sign
Q179630	1	syndrome (406 direct)
Q18123741	1	infectious disease
Q12078	1	cancer
Q12135	1	mental disorder
Q389735	1	cardiovascular disease
Q193078	1	injury
Q11190	1	medicine (the fields)
Q930752	2	medical specialty
Q796194	1	medical procedure
Q40821	1	surgery
Q2671652	1	medical test
Q177719	1	medical diagnosis
Q931309	1	medical imaging
Q179661	1	therapy
Q131130	1	anaesthesia
Q12140	1	medication (324 direct)
Q134808	1	vaccine
Q12187	1	antibiotic
Q173235	1	analgesic
Q6554101	1	medical device
Q39631	1	physician
Q11974939	1	health professional
Q16917	1	hospital
