sub	sup	status	for	against
abarticulation	attribute	single	wordnet	
abarticulation	condition	single	wordnet	
abarticulation	event	single	sumo	
abarticulation	injury	accepted	sumo wikidata wordnet	
abarticulation	joint-dislocation	accepted	claude wordnet	
abarticulation	phenomenon	single	sumo	
abarticulation	state	single	wordnet	
abdominoplasty	accomplishment	single	sumo	
abdominoplasty	act	accepted	sumo wordnet	
abdominoplasty	activity	accepted	sumo wordnet	
abdominoplasty	event	accepted	sumo wordnet	
abdominoplasty	operation	accepted	sumo wordnet	
abdominoplasty	phenomenon	single	sumo	
abdominoplasty	plastic-surgery	accepted	claude wordnet	
abdominoplasty	procedure	accepted	sumo wordnet	
abdominoplasty	therapy	single	sumo	
abdominoplasty	volition	single	sumo	
ablation	accomplishment	single	sumo	
ablation	act	accepted	sumo wordnet	
ablation	activity	accepted	sumo wordnet	
ablation	event	accepted	sumo wordnet	
ablation	operation	accepted	sumo wordnet	
ablation	phenomenon	single	sumo	
ablation	procedure	accepted	sumo wordnet	
ablation	therapy	single	sumo	
ablation	volition	single	sumo	
abortionist	adult	single	wordnet	
abortionist	agent	single	wordnet	
abortionist	doctor	dissented	wordnet	
abortionist	medical-practitioner	single	wordnet	
abortionist	organism	single	wordnet	
abortionist	person	accepted	claude-ruling wordnet	
abortionist	physical-object	single	wordnet	
abortionist	professional	single	wordnet	
abrasion	attribute	single	wordnet	
abrasion	condition	single	wordnet	
abrasion	event	single	sumo	
abrasion	injury	accepted	sumo wordnet	
abrasion	part	single	opencyc	
abrasion	phenomenon	single	sumo	
abrasion	state	single	wordnet	
abrasion	structure	single	opencyc	
abrasion	system	single	opencyc	
abrasion	wound	accepted	wikidata wordnet	
abscess	cognition	single	wordnet	
abscess	event	single	opencyc	
abscess	evidence	single	wordnet	
abscess	illness	single	opencyc	
abscess	phenomenon	single	sumo	
abscess	physical-object	single	sumo	
abscess	situation	single	opencyc	
abscess	symptom	accepted	claude wordnet	
abscess	universe	single	sumo	
achromia	attribute	accepted	sumo wordnet	
achromia	property	single	sumo	
acknowledgment	quack	single	sumo	
acting-out	accomplishment	single	sumo	
acting-out	act	accepted	claude-ruling sumo	
acting-out	activity	single	sumo	
acting-out	event	single	sumo	
acting-out	information	dissented	wordnet	
acting-out	phenomenon	single	sumo	
acting-out	procedure	single	sumo	
acting-out	volition	single	sumo	
actinomycin	agent	single	wordnet	
actinomycin	antibacterial	accepted	claude wordnet	
actinomycin	drug	single	wordnet	
actinomycin	material	single	sumo	
actinomycin	medication	single	wordnet	
actinomycin	phenomenon	single	sumo	
actinomycin	substance	accepted	sumo wordnet	
actinomycin	universe	single	sumo	
acute-leukemia	attribute	accepted	sumo wordnet	
acute-leukemia	cancer	single	wordnet	
