kind	sub	sup	detail
disputed	carcinoma	epithelioma	for wikidata; reversed by wordnet
disputed	epithelioma	carcinoma	for wordnet; reversed by wikidata
single	abdominoplasty	accomplishment	only sumo
single	abdominoplasty	therapy	only sumo
single	abdominoplasty	volition	only sumo
single	ablation	accomplishment	only sumo
single	ablation	therapy	only sumo
single	ablation	volition	only sumo
single	abortionist	adult	only wordnet
single	abortionist	agent	only wordnet
single	abortionist	medical-practitioner	only wordnet
single	abortionist	organism	only wordnet
single	abortionist	physical-object	only wordnet
single	abortionist	professional	only wordnet
single	abrasion	attribute	only wordnet
single	abrasion	condition	only wordnet
single	abrasion	event	only sumo
single	abrasion	state	only wordnet
single	abrasion	structure	only opencyc
single	abscess	cognition	only wordnet
single	abscess	event	only opencyc
single	abscess	evidence	only wordnet
single	abscess	illness	only opencyc
single	abscess	physical-object	only sumo
single	abscess	situation	only opencyc
single	achromia	property	only sumo
single	acknowledgment	quack	only sumo
single	acting-out	accomplishment	only sumo
single	acting-out	activity	only sumo
single	acting-out	event	only sumo
single	acting-out	procedure	only sumo
single	acting-out	volition	only sumo
single	actinomycin	agent	only wordnet
single	actinomycin	drug	only wordnet
single	actinomycin	material	only sumo
single	actinomycin	medication	only wordnet
single	acute-leukemia	cancer	only wordnet
single	acute-leukemia	condition	only wordnet
single	acute-leukemia	disease	only wordnet
single	acute-leukemia	illness	only wordnet
single	acute-leukemia	malignancy	only wordnet
single	acute-leukemia	property	only sumo
single	acute-leukemia	state	only wordnet
single	acute-leukemia	symptomatic-effect	only sumo
single	acute-leukemia	tissue-growth	only wordnet
single	acute-leukemia	tumor	only wordnet
single	acute-lymphocytic-leukemia	cancer	only wordnet
single	acute-lymphocytic-leukemia	condition	only wordnet
single	acute-lymphocytic-leukemia	disease	only wordnet
single	acute-lymphocytic-leukemia	illness	only wordnet
single	acute-lymphocytic-leukemia	leukemia	only wordnet
single	acute-lymphocytic-leukemia	malignancy	only wordnet
single	acute-lymphocytic-leukemia	property	only sumo
single	acute-lymphocytic-leukemia	state	only wordnet
single	acute-lymphocytic-leukemia	symptomatic-effect	only sumo
single	acute-lymphocytic-leukemia	tissue-growth	only wordnet
single	acute-lymphocytic-leukemia	tumor	only wordnet
single	acute-myelocytic-leukemia	cancer	only wordnet
single	acute-myelocytic-leukemia	condition	only wordnet
single	acute-myelocytic-leukemia	disease	only wordnet
single	acute-myelocytic-leukemia	illness	only wordnet
single	acute-myelocytic-leukemia	leukemia	only wordnet
single	acute-myelocytic-leukemia	malignancy	only wordnet
single	acute-myelocytic-leukemia	property	only sumo
single	acute-myelocytic-leukemia	state	only wordnet
single	acute-myelocytic-leukemia	symptomatic-effect	only sumo
single	acute-myelocytic-leukemia	tissue-growth	only wordnet
single	acute-myelocytic-leukemia	tumor	only wordnet
single	acute-schizophrenic-episode	condition	only wordnet
single	acute-schizophrenic-episode	inclination	only sumo
single	acute-schizophrenic-episode	mentality	only sumo
single	acute-schizophrenic-episode	property	only sumo
single	acute-schizophrenic-episode	psychosis	only wordnet
single	acute-schizophrenic-episode	state	only wordnet
single	acute-schizophrenic-episode	symptomatic-effect	only sumo
single	acute-schizophrenic-episode	trait	only sumo
single	acyclovir	agent	only wordnet
single	acyclovir	drug	only wordnet
single	acyclovir	material	only sumo
single	acyclovir	medicine	only opencyc
single	addiction	symptomatic-effect	only sumo
single	adenocarcinoma	cancer	only wordnet
single	adenocarcinoma	condition	only wordnet
single	adenocarcinoma	disease	only wordnet
single	adenocarcinoma	epithelioma	only wikidata
single	adenocarcinoma	illness	only wordnet
single	adenocarcinoma	malignancy	only wordnet
single	adenocarcinoma	property	only sumo
single	adenocarcinoma	state	only wordnet
single	adenocarcinoma	symptomatic-effect	only sumo
single	adenocarcinoma	tissue-growth	only wordnet
single	adenocarcinoma	tumor	only wordnet
single	adenoidectomy	act	only wordnet
single	adenoidectomy	activity	only wordnet
single	adenoidectomy	operation	only wordnet
single	adenoidectomy	procedure	only wordnet
single	adenoidectomy	visit	only sumo
single	adrenalectomy	act	only wordnet
single	adrenalectomy	activity	only wordnet
single	adrenalectomy	procedure	only wordnet
single	adrenalectomy	therapy	only wikidata
single	adrenalectomy	visit	only sumo
single	advantage	quack	only sumo
single	adventure	quack	only sumo
single	adversity	quack	only sumo
single	aeromedicine	cognition	only wordnet
single	aeromedicine	medical-specialty	only wordnet
single	aeromedicine	medicine	only wordnet
single	aeromedicine	natural-science	only wordnet
single	aeromedicine	science	only wordnet
single	affinity	quack	only sumo
single	ague	cognition	only wordnet
single	ague	event	only sumo
single	ague	evidence	only wordnet
single	aids	hiv-infection	only opencyc
single	aids	viral-infection	only opencyc
single	albuminuria	attribute	only sumo
single	albuminuria	cognition	only wordnet
single	albuminuria	evidence	only wordnet
single	albuminuria	property	only sumo
single	albuminuria	symptomatic-effect	only sumo
single	alcoholic-dementia	condition	only wordnet
single	alcoholic-dementia	inclination	only sumo
single	alcoholic-dementia	insanity	only wordnet
single	alcoholic-dementia	mentality	only sumo
single	alcoholic-dementia	property	only sumo
single	alcoholic-dementia	state	only wordnet
single	alcoholic-dementia	symptomatic-effect	only sumo
single	alcoholic-dementia	trait	only sumo
single	alendronate	agent	only wordnet
single	alendronate	drug	only wordnet
single	alendronate	material	only sumo
single	alienism	amateur	only sumo
single	alienism	ambiance	only sumo
single	alienism	attribute	only sumo
single	alienism	circumstance	only sumo
single	alienism	civilisation	only sumo
single	alienism	cognition	only wordnet
single	alienism	crowd	only sumo
single	alienism	custom	only sumo
single	alienism	danger	only sumo
single	alienism	expert	only sumo
single	alienism	field-of-study	only wordnet
single	alienism	freedom	only sumo
single	alienism	lap	only sumo
single	alienism	literary-works	only sumo
single	alienism	medical-specialty	only wordnet
single	alienism	medicine	only wordnet
single	alienism	natural-science	only wordnet
single	alienism	normal	only sumo
single	alienism	practice	only sumo
single	alienism	property	only sumo
single	alienism	quack	only sumo
single	alienism	science	only wordnet
single	alienism	society	only sumo
single	alienism	status	only sumo
single	alienism	tension	only sumo
single	alienism	way	only sumo
single	alienist	adult	only wordnet
single	alienist	agent	only wordnet
single	alienist	attribute	only sumo
single	alienist	doctor	only wordnet
single	alienist	medical-practitioner	only wordnet
single	alienist	medical-specialist	only wordnet
single	alienist	organism	only wordnet
single	alienist	person	only wordnet
