# offset	name	isco	note — GENERATED by tools/align_isco.py
09608377		3339	Auctioneer — an agent who conducts an auction
09608520		2131	Behaviourist, animal — a psychologist who subscribes to behaviorism
09609746		7	Caster, central control; Caster, concrete: products; Caster, electrotype … — a worker who casts molten metal into finished products
09609871		4211	"Changer, money — a person who changes something; ""an inveterate changer of th"
09610660		2641	Communicator, technical — a person who communicates with others
09616573		2145	Oenologist — a specialist in wine making
09624559		2423	Mediator, workplace — a negotiator who acts as a link between parties
09629752		3322	Traveller, commercial  — a person who changes location
09754217		2636	Abbess; Superior, mother — the superior of a group of nuns
09754404		2636	Abbot — the superior of an abbey of monks
09756500		8350	Seaman, able — a seaman in the merchant marine; trained in special skills
09760913		2652	Accompanist — a person who provides musical accompaniment (usually on a pi
09761753		243	Executive, account: advertising; Executive, account: marketing; Executive, account: public relations … — someone in charge of a client's account for an advertising a
09764381		2659	Acrobat — an athlete who performs acts requiring skill and agility and
09767592		3339	Agent, theatrical — a business agent for an actor
09770179		5	Aide, community health ; Aide, dental; Aide, home care … — an officer who acts as military assistant to a more senior o
09775663		2611	Counsel, legal — a lawyer who pleads cases in court
09775907		2144	Engineer, aeronautical — an engineer concerned with the design and construction of ai
09776079		2144	Engineer, aerospace — an engineer of aircraft and space vehicles
09777012		33	Broker, cargo; Broker, commodities; Broker, customs … — a businessman who buys or sells for another in exchange for 
09778144		3339	Agent, literary — an agent who represents an author in dealings with publisher
09779790		6	Agriculturist; Cultivator, algae; Cultivator, mushroom … — someone concerned with the science or art or business of cul
09780120		2132	Agronomist — an expert in soil management and field-crop production
09780249		3251	Auxiliary, dental — someone who acts as assistant
09782397		1111	Alderman — a member of a municipal legislative body (as a city council)
09787534		1112	Ambassador — a diplomat of the highest rank; accredited as representative
09790482		2	Analyst, IT helpdesk; Analyst, PC support; Analyst, SAP … — someone who is skilled at analyzing data
09790666		3312	Analyst, credit: assessing credit or loans — an analyst who studies the financial statements and financia
09790865		2413	Analyst, financial: assessing credit worthiness of clients; Analyst, financial: investments ; Analyst, securities — an analyst who studies the financial performance of corporat
09791248		2431	Analyst, market: research — an analyst of conditions affecting a market (especially the 
09792237		2131	Anatomist — an expert in anatomy
09792969		2656	Anchor, news — a television reporter who coordinates a broadcast to which s
09795334		2656	Announcer, news; Announcer, radio; Announcer, sports … — someone who proclaims a message publicly
09796323		2632	Anthropologist — a social scientist who specializes in anthropology
09802050		3315	Appraiser; Appraiser, real estate — one who estimates officially the worth or value or quality o
09803429		2423	"Arbitrator, industrial relations — someone chosen to judge and decide a disputed issue; ""the cr"
09804343		2636	Archdeacon — (Anglican Church) an ecclesiastical dignitary usually rankin
09804806		2632	Archaeologist — an anthropologist who studies prehistoric people and their c
09805151		2636	Archbishop — a bishop of highest rank
09806944		2621	Archivist — a person in charge of collecting and cataloguing archives
09810867		2642	Critic, art — a critic of paintings
09812068		3118	Illustrator; Illustrator, engineering; Illustrator, technical — an artist who makes illustrations (for books or magazines or
09813219		5241	Model, artist's — a person who poses for a painter or sculptor
09814252		2146	Assayer — an analyst who assays (performs chemical tests on) metals
09815455		2411	Assignee, bankruptcy; Assignee, insolvency — (law) the party to whom something is assigned (e.g., someone
09816771		2131	Associate, research: clinical; Associate, research: medical — a person who joins with others in some activity or endeavor;
09817816		5161	Astrologer — someone who predicts the future by the positions of the plan
09819291		2111	Astrophysicist — an astronomer who studies the physical properties of celesti
09825750		7231	Mechanic, automobile — someone whose occupation is repairing and maintaining automo
09825939		2144	Engineer, automotive — an engineer concerned with the design and construction of au
09826821		53	Ayah, creche; Ayah, home; Ayah, hospital — (in India) a native nursemaid who looks after children
09829305		5311	Babysitter; Sitter, baby — a person engaged to care for children when the parents are n
09831411		2131	Bacteriologist — a biologist who studies bacteria
09833111		3411	Bailiff — an officer of the court who is employed to execute writs and
09833751		7311	Balancer, scale — an acrobat who balances himself in difficult positions
