# name	source	id — GENERATED above the marker by tools/align_isco.py
actor	isco	2655
adviser	isco	2
advocate	isco	2611
analyst	isco	2634
applicant	isco	7522
architect	isco	2
artist	isco	2
athlete	isco	3421
bishop	isco	2636
brother	isco	3413
chairman	isco	11
chief	isco	1
clerk	isco	4
coach	isco	23
composer	isco	2652
congressman	isco	1111
couturier	isco	2163
craftsman	isco	7
critic	isco	2642
dentist	isco	2261
detective	isco	3
doctor	isco	22
driver	isco	83
economist	isco	2631
engineer	isco	2
expert	isco	2
farmer	isco	6
fireman	isco	5411
fisherman	isco	6
foreman	isco	3121
goalkeeper	isco	3421
governor	isco	1
guard	isco	5
hired-hand	isco	9
historian	isco	2633
host	isco	5
hunter	isco	6
judge	isco	2612
laborer	isco	9
lawyer	isco	2611
maid	isco	911
mailman	isco	4412
male-child	isco	9
man	isco	3
manager	isco	1
mannequin	isco	5241
mayor	isco	1111
member	isco	11
mime	isco	2655
miner	isco	8111
minister	isco	1111
monk	isco	3413
mother	isco	2636
music-director	isco	5112
nun	isco	3413
nurse	isco	2221
painter	isco	7
philosopher	isco	2633
photographer	isco	3431
pilot	isco	315
player	isco	3421
policeman	isco	5412
porter	isco	9
poser	isco	5241
professional	isco	2
professor	isco	2310
psychologist	isco	2634
reporter	isco	26
research-worker	isco	2
resident	isco	221
retailer	isco	5221
salesclerk	isco	52
scientist	isco	2
secretary	isco	3344
seller	isco	52
singer	isco	2652
speaker	isco	1111
specialist	isco	2
steward	isco	5111
stunt-man	isco	3435
supervisor	isco	3
surgeon	isco	22
teacher	isco	23
trader	isco	33
treasurer	isco	1211
trustee	isco	2411
waiter	isco	5131
woman	isco	3
worker	isco	isco-root
writer	isco	2
# --- hand lines below this marker are kept by tools/align_isco.py ---
