name	issue	ids
caster.person	name collision with 'caster' — a worker who casts molten metal into finished products	09609746
counsel	name collision with 'advocate' — a lawyer who pleads cases in court	09775663
broker	name collision with 'agent' — a businessman who buys or sells for another in exchange for 	09777012
analyst.person	name collision with 'analyst' — someone who is skilled at analyzing data	09790482
anchorman	name collision with 'anchor' — a television reporter who coordinates a broadcast to which s	09792969
reckoner	name collision with 'calculator' — an expert at calculation (or at operating calculating machin	09887034
headwaiter	name collision with 'captain' — a dining-room attendant who is in charge of the waiters and 	09892513
bearer	"name collision with 'carrier' — someone whose employment involves carrying something; ""the b"	09897696
fellow	"name collision with 'chap' — a boy or man; ""that chap is your host""; ""there's a fellow at"	09908025
compiler.person	name collision with 'compiler' — a person who compiles information (as for reference purposes	09946957
sales-demonstrator	name collision with 'demonstrator' — someone who demonstrates an article to a prospective buyer	10002982
deputy-sheriff	name collision with 'deputy' — someone authorized to exercise the powers of sheriff in emer	10005548
dishwasher.person	name collision with 'dishwasher' — someone who washes dishes	10017190
dispenser.person	name collision with 'dispenser' — a person who dispenses	10017794
ostiary	name collision with 'doorkeeper' — the lowest of the minor Holy Orders in the unreformed Wester	10026763
drawer.person	name collision with 'drawer' — the person who writes a check or draft instructing the drawe	10032524
executive-director	name collision with 'executive' — a person responsible for the administration of a business	10069645
glassworker	name collision with 'glass-cutter' — someone who cuts flat glass to size	10132145
glass-cutter.person	name collision with 'glass-cutter' — someone who cuts or grinds designs on glass	10132305
grip.person	name collision with 'grip' — worker who moves the camera around while a film or televisio	10147488
hanger.person	name collision with 'hanger' — a worker who hangs something	10159434
headhunter.person	name collision with 'headhunter' — a recruiter of personnel (especially for corporations)	10163593
innkeeper	name collision with 'host' — the owner or manager of an inn	10186774
instrumentalist	name collision with 'musician' — someone who plays a musical instrument (as a profession)	10340312
orderly.person	name collision with 'orderly' — a soldier who serves as an attendant to a superior officer; 	10381981
plantation-owner	name collision with 'planter' — the owner or manager of a plantation	10438619
politician.person	name collision with 'politician' — a leader engaged in civil administration	10451263
president.person	name collision with 'president' — an executive officer of a firm or corporation	10468559
pressman	name collision with 'printer' — someone whose occupation is printing	10475297
regulator.person	name collision with 'regulator' — an official responsible for control and supervision of a par	10517826
shooter	name collision with 'shot' — a person who shoots (usually with respect to their ability t	10593115
soprano.person	name collision with 'soprano' — a female singer	10625546
spinster	name collision with 'spinner' — someone who spins (who twists fibers into threads)	10636340
sportsman	name collision with 'sport' — someone who engages in sports	10638922
dispatcher	name collision with 'starter' — the official who signals the beginning of a race or competit	10649308
steward.person	name collision with 'steward' — someone who manages property or other affairs for someone el	10655442
tumbler.person	name collision with 'tumbler' — a gymnast who performs rolls and somersaults and twists etc.	10732967
usher.person	name collision with 'usher' — an official stationed at the entrance of a courtroom or legi	10742111
washer.person	name collision with 'washer' — someone who washes things for a living	10768903
party-whip	name collision with 'whip' — a legislator appointed by the party to enforce discipline	10776766
boxer	opencyc: 2 classes match ['boxer']	Mx4rvViXA5wpEbGdrcN5Y29ycA Mx4rvioStJwpEbGdrcN5Y29ycA
chief-financial-officer	opencyc: 2 classes match ['chief-financial-officer']	Mx4rv0A-9JwpEbGdrcN5Y29ycA Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rlwMCAgZsQdmKbu7-GrQnWx4rvViS05wpEbGdrcN5Y29ycA
commissioner	opencyc: 2 classes match ['commissioner']	Mx4rhHKMQTlSEdeUggACs2TnIQ Mx4rxRzgYi2VEdeasgACs2TnIQ
correspondent	wikidata: 2 classes match ['correspondent']	Q1155838 Q3589290
drummer	opencyc: 2 classes match ['drummer']	Mx4rwLrP3JwpEbGdrcN5Y29ycA Mx8Ngh4rvW-_IZwpEbGdrcN5Y29ycB4rvVmSe5wpEbGdrcN5Y29ycA
ecologist	opencyc: 2 classes match ['ecologist']	Mx4rwQCEL5wpEbGdrcN5Y29ycA Mx8Ngh4rv9ZSD5wpEbGdrcN5Y29ycB4rwQCEJZwpEbGdrcN5Y29ycA
gambler	opencyc: 2 classes match ['gambler']	Mx4reDFjPqRUQdiJNIYwXGW4HQ Mx8Ngh4rvVipPJwpEbGdrcN5Y29ycB4rvgDMuJwpEbGdrcN5Y29ycA
