offset	lemma	issue	gloss
09623038	leader	codes span major groups: 0110 1114 2652 3341 3423	a person who rules or guides or inspires others
09629477	ticket_agent	held by the economics pack as 'ticket-agent' (isco 4221)	someone who sells tickets (e.g., theater seats or travel acc
09632518	worker	codes span major groups: 2635 3253 3258 3412 3413 5164 5169 5244 5311 5322 6111 6112 6113 6114 6121 6122 6123 6129 6130 6210 6221 6222 6223 6330 7113 7114 7119 7122 7124 7126 7213 7214 7215 7221 7315 7317 7318 7319 7323 7413 7422 7511 7512 7516 7521 7523 7541 8111 8112 8132 9214 9215 9334 9612	"a person who works at a specific occupation; ""he is a good w"
09759069	academician	codes span major groups: 1345 2310	an educator who works at a college or university
09761403	accountant	codes span major groups: 1322 2411 3139 3154 3312 3341 4323 4412 7543 7544	someone who maintains and audits business accounts
09764598	aerialist	codes span major groups: 2659 3421	an acrobat who performs in the air (as on a rope or trapeze)
09769929	adjuster	codes span major groups: 3315 7311	one who investigates insurance claims or claims for damages 
09770949	administrator	codes span major groups: 1112 1342 2511 2521 2522 3332 3341 3514	someone who administers a business
09771204	admiral	armed forces (0110): ranks stay out unless ruled in	the supreme commander of a fleet; ranks above a vice admiral
09777353	agent	codes span major groups: 2132 2432 2433 2434 3321 3322 3323 3331 3333 3334 3339 3355 3411 3512 4221 4222 5223 5230	a representative who acts on behalf of other persons or orga
09780676	aircrewman	armed forces (0310): ranks stay out unless ruled in	a member of an aircrew
09780828	air_force_officer	armed forces (0110): ranks stay out unless ruled in	an officer in the airforce
09781171	air_marshal	armed forces (0110): ranks stay out unless ruled in	a person trained by the government in hijacking and terroris
09784306	allergist	held by the medicine pack as 'allergist' (isco 2212)	a physician skilled in the diagnosis and treatment of allerg
09785236	almoner	codes span major groups: 2635 3412	an official in a British hospital who looks after the social
09793495	anesthesiologist	held by the medicine pack as 'anesthesiologist' (isco 22)	a specialist who administers an anesthetic to a patient befo
09809749	army_officer	armed forces (0110): ranks stay out unless ruled in	"an officer in the armed forces; ""he's a retired army officer"
09810983	art_dealer	held by the economics pack as 'art-dealer' (isco 3339)	a dealer in works of art requiring esthetic evaluation
09811852	artilleryman	armed forces (0310): ranks stay out unless ruled in	a serviceman in the artillery
09815790	assistant	codes span major groups: 2240 3114 3213 3240 3251 3253 3255 3256 3259 3313 3314 3342 3343 3344 3411 3433 3511 3512 3513 3521 4211 4222 4227 4312 4411 4416 5211 5223 5230 5249 5311 5312 5321 5322 5329 9111 9213 9214 9313 9334 9412	a person who contributes to the fulfillment of a need or fur
09818022	astronaut	held by the space pack as 'astronaut' (isco 3153)	"a person trained to travel in a spacecraft; ""the Russians ca"
09818343	astronomer	held by the physics pack as 'astronomer' (isco 2111)	a physicist who studies astronomy
09821831	attendant	codes span major groups: 3132 3258 4221 4321 5111 5112 5131 5132 5142 5163 5164 5223 5230 5245 5246 5312 5321 5322 5329 5419 6122 7521 8112 8182 8322 8343 8350 9112 9333 9412 9621 9622 9629	someone who waits on or tends to or attends to the needs of 
09826204	aviator	armed forces (0): ranks stay out unless ruled in	someone who operates an aircraft
09826605	aviatrix	armed forces (0): ranks stay out unless ruled in	a woman aviator
09828760	baby_doctor	held by the medicine pack as 'baby-doctor' (isco 2212)	a specialist in the care of babies
09833651	baker	held by the economics pack as 'baker' (isco 7512)	someone who bakes commercially
09855630	biologist	held by the biology pack as 'biologist' (isco 2131)	(biology) a scientist who studies living organisms
09862183	boatswain	codes span major groups: 0210 8350	a petty officer on a merchant ship who controls the work of 
09864429	bombardier	armed forces (0310): ranks stay out unless ruled in	a noncommissioned officer in the British artillery
09865547	bonesetter	held by the medicine pack as 'bonesetter' (isco 3230)	someone (not necessarily a licensed physician) who sets brok
09875540	brigadier	armed forces (0110): ranks stay out unless ruled in	a general officer ranking below a major general
09884391	butcher	held by the economics pack as 'butcher' (isco 7511)	a retailer of meat
09886540	cadet	armed forces (0110): ranks stay out unless ruled in	a military trainee (as at a military academy)
09890894	candlemaker	codes span major groups: 7319 8131	a person who makes or sells candles
09893191	captain	codes span major groups: 0110 1312 1324 3152 3153 6222 6223 9334	an officer holding a rank below a major but above a lieutena
09894445	cardiologist	held by the medicine pack as 'cardiologist' (isco 2212)	a specialist in cardiology; a specialist in the structure an
09902611	cavalryman	armed forces (0310): ranks stay out unless ruled in	a soldier in a motorized army unit
09913824	chemist	held by the chemistry pack as 'chemist' (isco 2)	a scientist who specializes in chemistry
09917345	chief_petty_officer	armed forces (0210): ranks stay out unless ruled in	a person with the senior noncommissioned naval rank
09919297	chiropodist	held by the medicine pack as 'chiropodist' (isco 2269)	a specialist in care for the feet
09927305	cleaner	held by the economics pack as 'dry-cleaner' (isco 9)	the operator of dry-cleaning establishment
09931640	coach	codes span major groups: 2354 2355 2359 2424 3422 4222	(sports) someone in charge of training an athlete or a team
09936620	collector	codes span major groups: 3352 4214 5230 6340 9212 9611 9623 9624 9629	a person who collects things
09937250	colonel	armed forces (0110): ranks stay out unless ruled in	a commissioned military officer in the United States Army or
09939313	combatant	codes span major groups: 3421 5411	someone who fights (or is fighting)
09941964	commanding_officer	armed forces (0110): ranks stay out unless ruled in	an officer in command of a military unit
09942275	commando	armed forces (0310): ranks stay out unless ruled in	a member of a military unit trained as shock troops for hit-
09945021	commodore	armed forces (0110): ranks stay out unless ruled in	a commissioned naval officer who ranks above a captain and b
09953178	conditioner	codes span major groups: 7516 8151	a trainer of athletes
09959142	constable	codes span major groups: 1112 3355 5412	a lawman with less authority and jurisdiction than a sheriff
09960688	contractor	codes span major groups: 1323 3333 6113 7544 9112 9214	someone (a person or firm) who contracts to build things
09963320	cook	codes span major groups: 3434 5120 7514 9411	someone who cooks food
09963914	coordinator	codes span major groups: 1213 1342 1343 2133 2351 2519 2522 3121 3122 3123 3332 3341 3435 3514 4416	someone whose task is to see that work goes harmoniously
09966139	corporal	armed forces (0310): ranks stay out unless ruled in	a noncommissioned officer in the Army or Air Force or Marine
09967270	cosmetic_surgeon	held by the medicine pack as 'cosmetic-surgeon' (isco 2212)	a surgeon who beautifies the body (especially the face)
09969062	counselor	codes span major groups: 2359 2423 2635 3259 4221	someone who has supervisory duties at a summer camp
09973624	coxswain	armed forces (0): ranks stay out unless ruled in	the helmsman of a ship's boat or a racing crew
09983572	curate	codes span major groups: 1111 1120 2636	"a person authorized to conduct religious worship; ""clergymen"
09986189	cyclist	codes span major groups: 3421 9331	a person who rides a bicycle
10003120	demonstrator	codes span major groups: 3142 5242	a teacher or teacher's assistant who demonstrates the princi
10004171	dental_surgeon	held by the medicine pack as 'dental-surgeon' (isco 2261)	a dentist qualified to perform surgical procedures
10006177	dermatologist	held by the medicine pack as 'dermatologist' (isco 2212)	a doctor who specializes in the physiology and pathology of 
